id,name,starton,endon,description,parentboundaryset,appliesto,definedby
9,Boundary set for Northern Ireland (1997-04-09 - 2010-04-12),1997-04-09,2010-04-12,,,4,14
10,Boundary set for England (1997-04-09 - 2010-04-12),1997-04-09,2010-04-12,,,2,15
11,Boundary set for Scotland (1997-04-09 - 2005-04-11),1997-04-09,2005-04-11,,,5,16
12,Boundary set for Wales (1997-04-09 - 2010-04-12),1997-04-09,2010-04-12,,,6,17
14,Boundary set for Scotland (1983-05-14 - 1997-04-08),1983-05-14,1997-04-08,,,5,19
15,Boundary set for Wales (1983-05-14 - 1997-04-08),1983-05-14,1997-04-08,,,6,20
17,Boundary set for Northern Ireland (1983-05-14 - 1997-04-08),1983-05-14,1997-04-08,,,4,22
18,Boundary set for Scotland (1974-02-09 - 1983-05-13),1974-02-09,1983-05-13,,,5,23
19,Boundary set for Northern Ireland (1974-02-09 - 1983-05-13),1974-02-09,1983-05-13,,,4,24
20,Boundary set for Wales (1974-02-09 - 1983-05-13),1974-02-09,1983-05-13,,,6,25
21,Boundary set for England (1974-02-09 - 1983-05-13),1974-02-09,1983-05-13,,,2,26
22,Boundary set for Wales (1955-05-07 - 1974-02-08),1955-05-07,1974-02-08,,,6,"27, 28, 29"
23,Boundary set for England (1955-05-07 - 1974-02-08),1955-05-07,1974-02-08,,,2,"30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78"
24,Boundary set for Scotland (1955-05-07 - 1974-02-08),1955-05-07,1974-02-08,,,5,"49, 50, 51, 52, 53, 54, 55, 56, 57, 58"
25,Boundary set for England (1945-06-16 - 1950-02-03),1945-06-16,1950-02-03,,,2,79
26,Boundary set for England (1950-02-04 - 1955-05-06),1950-02-04,1955-05-06,,,2,4
27,Boundary set for Wales (1950-02-04 - 1955-05-06),1950-02-04,1955-05-06,,,6,4
28,Boundary set for Scotland (1950-02-04 - 1955-05-06),1950-02-04,1955-05-06,,,5,4
29,Boundary set for Northern Ireland (1950-02-04 - 1974-02-08),1950-02-04,1974-02-08,,,4,4
30,Boundary set for Northern Ireland (1922-10-27 - 1950-02-03),1922-10-27,1950-02-03,,,4,6
31,Boundary set for Ireland (1918-11-26 - 1922-10-26),1918-11-26,1922-10-26,,,3,7
32,Boundary set for England (1918-11-26 - 1945-06-15),1918-11-26,1945-06-15,,,2,8
33,Boundary set for Wales (1918-11-26 - 1950-02-03),1918-11-26,1950-02-03,,,6,8
34,Boundary set for Scotland (1918-11-26 - 1950-02-03),1918-11-26,1950-02-03,,,5,8
5,Boundary set for Northern Ireland (2010-04-13 - 2024-05-30),2010-04-13,2024-05-30,,,4,10
6,Boundary set for England (2010-04-13 - 2024-05-30),2010-04-13,2024-05-30,,,2,11
7,Boundary set for Wales (2010-04-13 - 2024-05-30),2010-04-13,2024-05-30,,,6,12
8,Boundary set for Scotland (2005-04-12 - 2024-05-30),2005-04-12,2024-05-30,,,5,13
1,Boundary set for England (2024-05-31 - ),2024-05-31,,,,2,9
2,Boundary set for Wales (2024-05-31 - ),2024-05-31,,,,6,9
3,Boundary set for Scotland (2024-05-31 - ),2024-05-31,,,,5,9
4,Boundary set for Northern Ireland (2024-05-31 - ),2024-05-31,,,,4,9
16,Boundary set for England (1983-05-14 - 1997-04-08),1983-05-14,1997-04-08,,,2,21
13,Boundary set for England (1992-03-17 - 1997-04-08),1992-03-17,1997-04-08,Post interim boundary change boundary set,16,2,18
35,Boundary set for England (1983-05-14 - 1992-03-16),1983-05-14,1992-03-16,Pre interim boundary change boundary set,16,2,21
