id,name,starton,endon,description,parentconstituencygroupset,constituencygroupsetincountry,establishedby
29,Constituency group set for Ireland (1918-11-26 - 1922-10-26),1918-11-26,1922-10-26,,,3,7
4,Constituency group set for Northern Ireland (2010-04-13 - 2024-05-30),2010-04-13,2024-05-30,,,4,10
34,Constituency group set for England (1992-03-17 - 1997-04-08),1992-03-17,1997-04-08,Post interim boundary change boundary set,33,2,18
32,Constituency group set for Scotland (1918-11-26 - 1950-02-03),1918-11-26,1950-02-03,,,5,8
10,Constituency group set for Scotland (1997-04-09 - 2005-04-11),1997-04-09,2005-04-11,,,5,16
9,Constituency group set for Wales (1997-04-09 - 2010-04-12),1997-04-09,2010-04-12,,,6,17
7,Constituency group set for England (2024-05-31 - ),2024-05-31,,,,2,9
35,Constituency group set for England (1983-05-14 - 1992-03-16),1983-05-14,1992-03-16,Pre interim boundary change boundary set,33,2,21
15,Constituency group set for Northern Ireland (1983-05-14 - 1997-04-08),1983-05-14,1997-04-08,,,4,22
6,Constituency group set for Scotland (2024-05-31 - ),2024-05-31,,,,5,9
26,Constituency group set for Scotland (1950-02-04 - 1955-05-06),1950-02-04,1955-05-06,,,5,4
12,Constituency group set for Northern Ireland (1997-04-09 - 2010-04-12),1997-04-09,2010-04-12,,,4,14
24,Constituency group set for England (1950-02-04 - 1955-05-06),1950-02-04,1955-05-06,,,2,4
19,Constituency group set for England (1974-02-09 - 1983-05-13),1974-02-09,1983-05-13,,,2,26
25,Constituency group set for Wales (1950-02-04 - 1955-05-06),1950-02-04,1955-05-06,,,6,4
31,Constituency group set for Wales (1918-11-26 - 1950-02-03),1918-11-26,1950-02-03,,,6,8
30,Constituency group set for England (1918-11-26 - 1945-06-15),1918-11-26,1945-06-15,,,2,8
21,Constituency group set for England (1955-05-07 - 1974-02-08),1955-05-07,1974-02-08,,,2,"30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 59, 60, 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78"
14,Constituency group set for Wales (1983-05-14 - 1997-04-08),1983-05-14,1997-04-08,,,6,20
3,Constituency group set for England (2010-04-13 - 2024-05-30),2010-04-13,2024-05-30,,,2,11
17,Constituency group set for Northern Ireland (1974-02-09 - 1983-05-13),1974-02-09,1983-05-13,,,4,24
28,Constituency group set for Northern Ireland (1922-10-27 - 1950-02-03),1922-10-27,1950-02-03,,,4,6
22,Constituency group set for Scotland (1955-05-07 - 1974-02-08),1955-05-07,1974-02-08,,,5,"49, 50, 51, 52, 53, 54, 55, 56, 57, 58"
20,Constituency group set for Wales (1955-05-07 - 1974-02-08),1955-05-07,1974-02-08,,,6,"27, 28, 29"
33,Constituency group set for England (1983-05-14 - 1997-04-08),1983-05-14,1997-04-08,,,2,21
13,Constituency group set for Scotland (1983-05-14 - 1997-04-08),1983-05-14,1997-04-08,,,5,19
1,Constituency group set for Wales (2010-04-13 - 2024-05-30),2010-04-13,2024-05-30,,,6,12
5,Constituency group set for Wales (2024-05-31 - ),2024-05-31,,,,6,9
18,Constituency group set for Wales (1974-02-09 - 1983-05-13),1974-02-09,1983-05-13,,,6,25
2,Constituency group set for Scotland (2005-04-12 - 2024-05-30),2005-04-12,2024-05-30,,,5,13
16,Constituency group set for Scotland (1974-02-09 - 1983-05-13),1974-02-09,1983-05-13,,,5,23
27,Constituency group set for Northern Ireland (1950-02-04 - 1974-02-08),1950-02-04,1974-02-08,,,4,4
23,Constituency group set for England (1945-06-16 - 1950-02-03),1945-06-16,1950-02-03,,,2,79
11,Constituency group set for England (1997-04-09 - 2010-04-12),1997-04-09,2010-04-12,,,2,15
8,Constituency group set for Northern Ireland (2024-05-31 - ),2024-05-31,,,,4,9
