id,label,candidategivenname,candidatefamilyname,issittingmp,isformermp,isstandingascommonsspeaker,isstandingasindependent,isnotionalpoliticalpartyaggregate,votecount,votechange,iswinningcandidacy,democracyclubpersonidentifier,inelection,ofmember,havinggender
14,beep,Dafydd,Meurig,false,false,false,false,false,3536,-0.060947,false,,2,,1
25,beep,Anne,Begg,true,true,false,false,false,12991,-0.097765,false,,4,5,2
31,beep,Pamela,Nash,true,true,false,false,false,15108,-0.240432,false,,5,7,2
37,beep,Gary,Puffett,false,false,false,false,false,8468,0.06238,false,,6,,1
42,beep,John,Fisher,false,false,false,false,false,8835,0.025753,false,,7,,1
48,beep,James,Wright,false,false,false,false,false,13481,0.042679,false,,8,,1
56,beep,Blair,Smillie,false,false,false,false,false,7260,0.150454,false,,9,,1
59,beep,Kevin,Gillott,false,false,false,false,false,15901,-0.026659,false,,10,,1
62,beep,Derek,Wann,false,false,false,false,false,12900,-0.019235,false,,11,,1
69,beep,Alun,Pugh,false,false,false,false,false,8122,-0.001369,false,,12,,1
76,beep,Alan,Reid,true,true,false,false,false,14486,-0.036941,false,,13,16,1
83,beep,Peter,Grace,false,false,false,false,false,8154,0.087716,false,,14,,1
88,beep,Simon,Ashcroft,false,false,false,false,false,10150,0.194736,false,,15,,1
93,beep,Gerald,O'Brien,false,false,false,false,false,10798,0.142763,false,,16,,1
94,beep,Tracy,Sutton,false,false,false,false,false,8610,-0.026216,false,,17,,2
20,beep,Kirsty,Blackman,false,false,false,false,false,24793,0.34189,true,,3,3,2
16,beep,Sanjoy,Sen,false,false,false,false,false,5304,-0.003042,false,,3,,1
21,beep,Tyrinne,Rutherford,false,false,false,false,false,206,,false,,3,,1
19,beep,Christopher,Willett,false,false,false,false,false,186,,false,,3,,1
27,beep,Callum,McCaig,false,false,false,false,false,20221,0.297932,true,,4,6,1
22,beep,Ross,Thomson,false,false,false,false,false,11087,0.021219,false,,4,4,1
26,beep,Dennis,Rixson,false,false,false,false,false,2252,-0.237484,false,,4,,1
23,beep,Dan,Yeats,false,false,false,false,false,964,0.010258,false,,4,,1
28,beep,Sandra,Skinner,false,false,false,false,false,897,,false,,4,,2
24,beep,Christopher,Gray,false,false,false,true,false,139,,false,,4,,1
35,beep,Gerald,Howarth,true,true,false,false,false,23369,0.03873,true,,6,9,1
38,beep,Alan,Hilliar,false,false,false,false,false,4076,-0.255866,false,,6,,1
36,beep,Carl,Hewitt,false,false,false,false,false,2025,,false,,6,,1
40,beep,Wendy,Morton,false,false,false,false,false,20558,-0.072583,true,,7,10,2
45,beep,Anthony,Thompson,false,false,false,false,false,7751,,false,,7,,1
43,beep,Ian,Garrett,false,false,false,false,false,1330,-0.143191,false,,7,,1
41,beep,Martyn,Curzey,false,false,false,false,false,826,-0.001011,false,,7,,1
44,beep,Mark,Beech,false,false,false,false,false,197,,false,,7,,1
53,beep,Mark,Tami,true,true,false,false,false,16540,0.004487,true,,9,12,1
54,beep,Tudor,Jones,false,false,false,false,false,1733,-0.141105,false,,9,,1
55,beep,Jacqueline,Hurst,false,false,false,false,false,1608,0.000122,false,,9,,2
52,beep,Alasdair,Ibbotson,false,false,false,false,false,976,,false,,9,,1
57,beep,Nigel,Mills,true,true,false,false,false,20106,0.053657,true,,10,13,1
61,beep,Stuart,Bent,false,false,false,false,false,7263,0.139155,false,,10,,1
60,beep,Kate,Smith,false,false,false,false,false,1360,-0.114644,false,,10,,2
58,beep,John,Devine,false,false,false,false,false,1087,,false,,10,,1
68,beep,Anwen,Barry,false,false,false,false,false,3521,-0.038139,false,,12,,2
73,beep,Simon,Wall,false,false,false,false,false,2277,0.058578,false,,12,,1
70,beep,Mohammed,Shultan,false,false,false,false,false,718,-0.113824,false,,12,,1
72,beep,Kathrine,Jones,false,false,false,false,false,409,,false,,12,,2
77,beep,Brendan,O'Hara,false,false,false,false,false,22959,0.253097,true,,13,17,1
74,beep,Alastair,Redman,false,false,false,false,false,7733,-0.091204,false,,13,,1
75,beep,Mary,Galbraith,false,false,false,false,false,5394,-0.123301,false,,13,,2
78,beep,Caroline,Santos,false,false,false,false,false,1311,,false,,13,,2
86,beep,Gloria,De Piero,true,true,false,false,false,19448,0.073281,true,,15,19,2
87,beep,Philip,Smith,false,false,false,false,false,7030,-0.184669,false,,15,,1
85,beep,Mike,Buchanan,false,false,false,false,false,153,,false,,15,,1
89,beep,Damian,Green,true,true,false,false,false,30094,-0.016874,true,,16,20,1
91,beep,Brendan,Chilton,false,false,false,false,false,10580,0.017626,false,,16,,1
92,beep,Debbie,Enever,false,false,false,false,false,3433,-0.168141,false,,16,,2
90,beep,Mandy,Rossi,false,false,false,false,false,2467,0.024626,false,,16,,2
9,beep,Peter,Bush,false,false,false,false,false,4971,0.141899,false,,1,,1
6,beep,Duncan,Higgitt,false,false,false,false,false,3663,0.045201,false,,1,,1
5,beep,Helen,Clarke,false,false,false,false,false,1397,-0.118291,false,,1,,2
3,beep,Captain,Beany,false,false,false,true,false,1137,,false,,1,,1
2,beep,Jonathan,Tier,false,false,false,false,false,711,,false,,1,,1
7,beep,Andrew,Jordan,false,false,false,false,false,352,,false,,1,,1
8,beep,Owen,Herbert,false,false,false,false,false,134,,false,,1,,1
10,beep,Guto,Bebb,true,true,false,false,false,12513,0.056846,true,,2,2,1
15,beep,Andrew,Haigh,false,false,false,false,false,3467,0.093909,false,,2,,1
13,beep,Victor,Babu,false,false,false,false,false,1391,-0.146946,false,,2,,1
11,beep,Petra,Haig,false,false,false,false,false,727,,false,,2,,2
33,beep,Neil,Gray,false,false,false,false,false,23887,0.303921,true,,5,8,1
29,beep,Eric,Holford,false,false,false,false,false,3389,-0.010869,false,,5,,1
