id,label,ordinality,forgeneralelection,inboundaryset
1,2010-05-06 was general election number 1 in England (2010-04-13 - 2024-05-30),1,1,6
2,2010-05-06 was general election number 1 in Wales (2010-04-13 - 2024-05-30),1,1,7
3,2010-05-06 was general election number 2 in Scotland (2005-04-12 - 2024-05-30),2,1,8
4,2010-05-06 was general election number 1 in Northern Ireland (2010-04-13 - 2024-05-30),1,1,5
5,2015-05-07 was general election number 2 in England (2010-04-13 - 2024-05-30),2,2,6
6,2015-05-07 was general election number 2 in Wales (2010-04-13 - 2024-05-30),2,2,7
7,2015-05-07 was general election number 3 in Scotland (2005-04-12 - 2024-05-30),3,2,8
8,2015-05-07 was general election number 2 in Northern Ireland (2010-04-13 - 2024-05-30),2,2,5
9,2017-06-08 was general election number 3 in England (2010-04-13 - 2024-05-30),3,3,6
10,2017-06-08 was general election number 3 in Wales (2010-04-13 - 2024-05-30),3,3,7
11,2017-06-08 was general election number 4 in Scotland (2005-04-12 - 2024-05-30),4,3,8
12,2017-06-08 was general election number 3 in Northern Ireland (2010-04-13 - 2024-05-30),3,3,5
13,2019-12-12 was general election number 4 in England (2010-04-13 - 2024-05-30),4,4,6
14,2019-12-12 was general election number 4 in Wales (2010-04-13 - 2024-05-30),4,4,7
15,2019-12-12 was general election number 5 in Scotland (2005-04-12 - 2024-05-30),5,4,8
16,2019-12-12 was general election number 4 in Northern Ireland (2010-04-13 - 2024-05-30),4,4,5
17,2024-07-04 was general election number 1 in England (2024-05-31 - ),1,6,1
18,2024-07-04 was general election number 1 in Wales (2024-05-31 - ),1,6,2
19,2024-07-04 was general election number 1 in Scotland (2024-05-31 - ),1,6,3
20,2024-07-04 was general election number 1 in Northern Ireland (2024-05-31 - ),1,6,4
