id,given_name,family_name,mnis_id,label
1,Stephen,Kinnock,4359,"Kinnock, Stephen"
2,Guto,Bebb,3910,"Bebb, Guto"
3,Kirsty,Blackman,4357,"Blackman, Kirsty"
4,Ross,Thomson,4599,"Thomson, Ross"
5,Anne,Begg,572,"Begg, Anne"
6,Callum,McCaig,4364,"McCaig, Callum"
7,Pamela,Nash,3909,"Nash, Pamela"
8,Neil,Gray,4365,"Gray, Neil"
9,Gerald,Howarth,47,"Howarth, Gerald"
10,Wendy,Morton,4358,"Morton, Wendy"
11,Graham,Brady,435,"Brady, Graham"
12,Mark,Tami,1383,"Tami, Mark"
13,Nigel,Mills,4136,"Mills, Nigel"
14,Mike,Weir,1384,"Weir, Mike"
15,Hywel,Williams,1397,"Williams, Hywel"
16,Alan,Reid,1385,"Reid, Alan"
17,Brendan,O'Hara,4371,"O'Hara, Brendan"
18,Nick,Herbert,1479,"Herbert, Nick"
19,Gloria,De Piero,3915,"De Piero, Gloria"
20,Damian,Green,76,"Green, Damian"
21,Angela,Rayner,4356,"Rayner, Angela"
22,David,Lidington,15,"Lidington, David"
23,Sandra,Osborne,576,"Osborne, Sandra"
24,Corri,Wilson,4448,"Wilson, Corri"
25,Victoria,Prentis,4401,"Prentis, Victoria"
26,Eilidh,Whiteford,3911,"Whiteford, Eilidh"
27,Margaret,Hodge,140,"Hodge, Margaret"
28,Dan,Jarvis,4243,"Jarvis, Dan"
29,Michael,Dugher,3916,"Dugher, Michael"
30,Simon,Fell,4744,"Fell, Simon"
31,John,Woodcock,3917,"Woodcock, John"
32,John,Baron,1390,"Baron, John"
33,Maria,Miller,1480,"Miller, Maria"
34,John,Mann,1387,"Mann, John"
35,Ben,Howlett,4445,"Howlett, Ben"
36,Jo,Cox,4375,"Cox, Jo"
37,Jane,Ellison,3918,"Ellison, Jane"
38,Dominic,Grieve,16,"Grieve, Dominic"
39,Bob,Stewart,3919,"Stewart, Bob"
40,Richard,Fuller,3912,"Fuller, Richard"
41,Patrick,Hall,1,"Hall, Patrick"
42,Naomi,Long,3920,"Long, Naomi"
43,Gavin,Robinson,4360,"Robinson, Gavin"
44,Nigel,Dodds,1388,"Dodds, Nigel"
45,Alasdair,McDonnell,1596,"McDonnell, Alasdair"
46,Paul,Maskey,4245,"Maskey, Paul"
47,Neil,Coyle,4368,"Coyle, Neil"
48,Simon,Hughes,194,"Hughes, Simon"
49,John,Lamont,4608,"Lamont, John"
50,Michael,Moore,638,"Moore, Michael"
51,Calum,Kerr,4379,"Kerr, Calum"
52,Anne-Marie,Trevelyan,4531,"Trevelyan, Anne-Marie"
53,Rushanara,Ali,4138,"Ali, Rushanara"
