id,title,uri,url_key,made_on,royal_assent_on,statute_book_on,legislation_type_id,enabled_by
1,Parliamentary Constituencies Act 1986,https://www.legislation.gov.uk/id/ukpga/1986/56,ukpga-1986-56,,1986-11-07,1986-11-07,1,
2,House of Commons (Redistribution of Seats Act) 1949,,ukpga-1949-66,,1949-11-24,1949-11-24,1,
3,Northern Ireland Constitution Act 1973,https://www.legislation.gov.uk/id/ukpga/1973/36,ukpga-1973-36,,1973-07-18,1973-07-18,1,
4,Representation of the People Act 1948,https://www.legislation.gov.uk/id/ukpga/1948/65,ukpga-1948-65,,1948-07-30,1948-07-30,1,
5,House of Commons (Redistribution of Seats Act) 1944,,ukpga-1944-41,,1944-10-26,1944-10-26,1,
6,Government of Ireland Act 1920,https://www.legislation.gov.uk/id/ukpga/Geo5/10-11/67,ukpga-1920-67,,1920-12-23,1920-12-23,1,
7,Redistribution of Seats (Ireland) Act 1918,,ukpga-1918-65,,1918-02-06,1918-02-06,1,
8,Representation of the People Act 1918,https://www.legislation.gov.uk/id/ukpga/1918/64,ukpga-1918-64,,1918-02-06,1918-02-06,1,
9,Parliamentary Constituencies Order 2023,https://www.legislation.gov.uk/id/uksi/2023/1230,uksi-2023-1230,2023-11-15,,2023-11-15,2,1
10,Parliamentary Constituencies (Northern Ireland) Order 2008,https://www.legislation.gov.uk/id/uksi/2008/1486,uksi-2008-1486,2008-06-11,,2008-06-11,2,1
11,Parliamentary Constituencies (England) Order 2007,https://www.legislation.gov.uk/id/uksi/2007/1681,uksi-2007-1681,2007-06-13,,2007-06-13,2,1
12,Parliamentary Constituencies and Assembly Electoral Regions (Wales) Order 2006,https://www.legislation.gov.uk/id/uksi/2006/1041,uksi-2006-1041,2006-04-11,,2006-04-11,2,1
13,Parliamentary Constituencies (Scotland) Order 2005,https://www.legislation.gov.uk/id/uksi/2005/250,uksi-2005-250,2005-02-09,,2005-02-09,2,1
14,Parliamentary Constituencies (Northern Ireland) Order 1995,https://www.legislation.gov.uk/id/uksi/1995/2992,uksi-1995-2992,1995-11-23,,1995-11-23,2,"1, 3"
15,Parliamentary Constituencies (England) Order 1995,https://www.legislation.gov.uk/id/uksi/1995/1626,uksi-1995-1626,1995-06-28,,1995-06-28,2,1
16,Parliamentary Constituencies (Scotland) Order 1995,https://www.legislation.gov.uk/id/uksi/1995/1037,uksi-1995-1037,1995-04-11,,1995-04-11,2,1
17,Parliamentary Constituencies (Wales) Order 1995,https://www.legislation.gov.uk/id/uksi/1995/1036,uksi-1995-1036,1995-04-11,,1995-04-11,2,1
18,Parliamentary Constituencies (England) (Miscellaneous Changes) Order 1990,https://www.legislation.gov.uk/id/uksi/1990/1307,uksi-1990-1307,1990-06-26,,1990-06-26,2,1
19,Parliamentary Constituencies (Scotland) Order 1983,https://www.legislation.gov.uk/id/uksi/1983/422,uksi-1983-422,1983-03-16,,1983-03-16,2,2
20,Parliamentary Constituencies (Wales) Order 1983,https://www.legislation.gov.uk/id/uksi/1983/418,uksi-1983-418,1983-03-16,,1983-03-16,2,2
21,Parliamentary Constituencies (England) Order 1983,https://www.legislation.gov.uk/id/uksi/1983/417,uksi-1983-417,1983-03-16,,1983-03-16,2,2
22,Parliamentary Constituencies (Northern Ireland) Order 1982,https://www.legislation.gov.uk/id/uksi/1982/1838,uksi-1982-1838,1982-12-22,,1982-12-22,2,"2, 3"
23,Parliamentary Constituencies (Scotland) Order 1970,https://www.legislation.gov.uk/id/uksi/1970/1680,uksi-1970-1680,1970-11-11,,1970-11-11,2,2
24,Parliamentary Constituencies (Northern Ireland) Order 1970,https://www.legislation.gov.uk/id/uksi/1970/1678,uksi-1970-1678,1970-11-11,,1970-11-11,2,2
25,Parliamentary Constituencies (Wales) Order 1970,https://www.legislation.gov.uk/id/uksi/1970/1675,uksi-1970-1675,1970-11-11,,1970-11-11,2,2
26,Parliamentary Constituencies (England) Order 1970,https://www.legislation.gov.uk/id/uksi/1970/1674,uksi-1970-1674,1970-11-11,,1970-11-11,2,2
27,Parliamentary Constituencies (Newport and Monmouth) Order 1955,,uksi-1955-186,1955-02-01,,1955-02-01,2,2
28,Parliamentary Constituencies (Swansea) Order 1955,,uksi-1955-185,1955-02-01,,1955-02-01,2,2
29,Parliamentary Constituencies (Carmarthenshire) Order 1955,,uksi-1955-184,1955-02-01,,1955-02-01,2,2
30,Parliamentary Constituencies (Sheffield) Order 1955,,uksi-1955-183,1955-02-01,,1955-02-01,2,2
31,Parliamentary Constituencies (Leeds) Order 1955,,uksi-1955-182,1955-02-01,,1955-02-01,2,2
