List, Description, Who should own it?
Houses, Houses within Parliament. Commons and Lords (obviously), Parliament
Members, Members of Commons and / or Lords (past and present), Parliament
Constituencies, Geographic parliamentary constituencies, Boundary Commissions?
Parties, Political parties, Electoral Commission
Committees, Assorted types of Parliamentary committee, Parliament
Committee memberships, Members who've been part of committees (past and present), Parliament
Committee chairs, Members who've chaired committees (past and present), Parliament
Committee clerks, Clerks allocated to a committee, Parliament
Government departments, Past and present government departments (some intricacies around name changes), Government?
Government positions, Jobs in government (some intricacies around name changes), Government?
Government incumbencies, People occupying Government positions, Government?
Official opposition positions, Jobs in HM Official Opposition, Parliament?
Official opposition incumbencies, People occupying Hm Official Opposition positions, Parliament?
Parliamentary positions, Defined jobs in Parliament, Parliament
Parliamentary incumbencies, People occupying Parliament positions, Parliament
Other Parliaments, Non-UK parliaments, ?
Members of other parliaments, Members of the UK Parliament who have also been members of other parliaments, ?
