






<http://data.parliament.uk/bills/54945> ,skos:prefLabel ,http://data.parliament.uk/bills/54945
<http://data.parliament.uk/bills/54945> ,<http://data.parliament.uk/schema/parl#department> ,<http://data.parliament.uk/terms/25060>
<http://data.parliament.uk/bills/54945> ,<http://data.parliament.uk/schema/parl#internalLocation> ,<http://oasis.parliament.uk/OasisDocument/view/54945>
<http://data.parliament.uk/bills/54945> ,<http://data.parliament.uk/schema/parl#containsStatistics> ,FALSE
<http://data.parliament.uk/bills/54945> ,dc-term:relation ,<http://hansard.intranet.data.parliament.uk/Lords/2022-04-27/22042789000095>
<http://data.parliament.uk/bills/54945> ,dc-term:relation ,<http://hansard.intranet.data.parliament.uk/Lords/2022-04-28/22042815000323>
<http://data.parliament.uk/bills/54945> ,dc-term:relation ,<http://hansard.intranet.data.parliament.uk/Commons/2022-04-28/22042823000002>
<http://data.parliament.uk/bills/54945> ,<http://data.parliament.uk/schema/parl#dateFirstIndexed> ,2022-04-28T11:39:15.2986732Z
<http://data.parliament.uk/bills/54945> ,<http://data.parliament.uk/schema/parl#firstIndexedBy> ,BAINBRIDGEE^^xsd:string
<http://data.parliament.uk/bills/54945> ,<http://data.parliament.uk/schema/parl#subtype> ,<http://data.parliament.uk/terms/91436>
<http://data.parliament.uk/bills/54945> ,<http://data.parliament.uk/schema/parl#containsEM> ,FALSE
<http://data.parliament.uk/bills/54945> ,<http://data.parliament.uk/schema/parl#billNumber> ,HL Bill 152 2021-22
<http://data.parliament.uk/bills/54945> ,<http://data.parliament.uk/schema/parl#datePublished> ,2022-04-25T23:00:00.00Z
<http://data.parliament.uk/bills/54945> ,<http://data.parliament.uk/schema/parl#location> ,<https://bills.parliament.uk/publications/46276/documents/1756>
<http://data.parliament.uk/bills/54945> ,dc-term:isVersionOf ,<http://data.parliament.uk/bills/54898>
<http://data.parliament.uk/bills/54945> ,<http://data.parliament.uk/schema/parl#datePublishedDisplay> ,26/04/2022
<http://data.parliament.uk/bills/54945> ,<http://data.parliament.uk/schema/parl#searchDate> ,26/04/2022
<http://hansard.intranet.data.parliament.uk/Lords/2022-04-27/22042789000095> ,dc-term:relation ,<http://data.parliament.uk/bills/54945>
<http://hansard.intranet.data.parliament.uk/Lords/2022-04-28/22042815000323> ,dc-term:relation ,<http://data.parliament.uk/bills/54945>
<http://hansard.intranet.data.parliament.uk/Commons/2022-04-28/22042823000002> ,dc-term:relation ,<http://data.parliament.uk/bills/54945>

_:node1gu7b0hkax28032 ,rdf:object ,<http://data.parliament.uk/bills/54945>
_:node1gu7b0hkax28033 ,rdf:object ,<http://data.parliament.uk/bills/54945>
_:node1gu7b0hkax28034 ,rdf:object ,<http://data.parliament.uk/bills/54945>
_:node1gu7b0hkax28035 ,rdf:object ,<http://data.parliament.uk/bills/54945>
_:node1gu7b0hkax28036 ,rdf:subject ,<http://data.parliament.uk/bills/54945>
_:node1gu7b0hkax28037 ,rdf:subject ,<http://data.parliament.uk/bills/54945>
_:node1gu7b0hkax28038 ,rdf:subject ,<http://data.parliament.uk/bills/54945>
_:node1gu7b0hkax28039 ,rdf:subject ,<http://data.parliament.uk/bills/54945>
_:node1gu7b0hkax28040 ,rdf:subject ,<http://data.parliament.uk/bills/54945>
_:node1gu7b0hkax28041 ,rdf:subject ,<http://data.parliament.uk/bills/54945>
_:node1gu7b0hkax28042 ,rdf:subject ,<http://data.parliament.uk/bills/54945>
_:node1gu7b0hkax28043 ,rdf:subject ,<http://data.parliament.uk/bills/54945>
<http://data.parliament.uk/publicgeneralact/2022/36> ,dc-term:isVersionOf ,<http://data.parliament.uk/bills/54945>
