# IDMS workflow data

<http://data.parliament.uk/bills/54945> ,<http://data.parliament.uk/schema/parl#dateLastModified> ,2022-05-10T10:37:45.2850682Z
<http://data.parliament.uk/bills/54945> ,<http://data.parliament.uk/schema/parl#indexStatus> ,Indexed
<http://data.parliament.uk/bills/54945> ,<http://data.parliament.uk/schema/parl#lastModifiedBy> ,daviesmo^^xsd:string
<http://data.parliament.uk/bills/54945> ,<http://data.parliament.uk/schema/parl#humanIndexable> ,TRUE
<http://data.parliament.uk/bills/54945> ,<http://data.parliament.uk/schema/parl#published> ,TRUE
<http://data.parliament.uk/bills/54945> ,<http://data.parliament.uk/schema/parl#uncontrolled> ,TRUE
<http://data.parliament.uk/bills/54945> ,<http://data.parliament.uk/schema/parl#internalLocation> ,<http://oasis.parliament.uk/OasisDocument/view/54945>
<http://data.parliament.uk/bills/54945> ,<http://data.parliament.uk/schema/parl#dateFirstIndexed> ,2022-04-28T11:39:15.2986732Z
<http://data.parliament.uk/bills/54945> ,<http://data.parliament.uk/schema/parl#firstIndexedBy> ,BAINBRIDGEE^^xsd:string
<http://data.parliament.uk/bills/54945> ,<http://data.parliament.uk/schema/parl#datePublishedDisplay> ,26/04/2022
<http://data.parliament.uk/bills/54945> ,<http://data.parliament.uk/schema/parl#searchDate> ,26/04/2022
