subject,predicate,object
<http://data.parliament.uk/depositedpapers/2285266> ,rdf:type ,<http://data.parliament.uk/schema/parl#DepositedPaper>
<http://data.parliament.uk/depositedpapers/2285266> ,dc-term:subject ,<http://data.parliament.uk/terms/90235>
<http://data.parliament.uk/depositedpapers/2285266> ,dc-term:subject ,<http://data.parliament.uk/terms/90617>
<http://data.parliament.uk/depositedpapers/2285266> ,dc-term:subject ,<http://data.parliament.uk/terms/91352>
<http://data.parliament.uk/depositedpapers/2285266> ,dc-term:subject ,<http://data.parliament.uk/terms/91257>
<http://data.parliament.uk/depositedpapers/2285266> ,dc-term:subject ,<http://data.parliament.uk/terms/92451>
<http://data.parliament.uk/depositedpapers/2285266> ,dc-term:subject ,<http://data.parliament.uk/terms/92456>
<http://data.parliament.uk/depositedpapers/2285266> ,dc-term:subject ,<http://data.parliament.uk/terms/92753>
<http://data.parliament.uk/depositedpapers/2285266> ,dc-term:subject ,<http://data.parliament.uk/terms/91975>
<http://data.parliament.uk/depositedpapers/2285266> ,dc-term:subject ,<http://data.parliament.uk/terms/12492>
<http://data.parliament.uk/depositedpapers/2285266> ,dc-term:subject ,<http://data.parliament.uk/terms/91777>
<http://data.parliament.uk/depositedpapers/2285266> ,dc-term:subject ,<http://data.parliament.uk/terms/290708>
<http://data.parliament.uk/depositedpapers/2285266> ,<http://data.parliament.uk/schema/parl#dateLastModified> ,2023-04-28T14:48:56.9274714Z
<http://data.parliament.uk/depositedpapers/2285266> ,<http://data.parliament.uk/schema/parl#indexStatus> ,Indexed
<http://data.parliament.uk/depositedpapers/2285266> ,<http://data.parliament.uk/schema/parl#lastModifiedBy> ,Harvester^^xsd:string
<http://data.parliament.uk/depositedpapers/2285266> ,<http://data.parliament.uk/schema/parl#humanIndexable> ,TRUE
<http://data.parliament.uk/depositedpapers/2285266> ,<http://data.parliament.uk/schema/parl#legislature> ,<http://data.parliament.uk/terms/25259>
<http://data.parliament.uk/depositedpapers/2285266> ,<http://data.parliament.uk/schema/parl#published> ,TRUE
<http://data.parliament.uk/depositedpapers/2285266> ,dc-term:abstract ,I. Universal Credit Programme Board papers from January 2021 and March 2021. Incl. the Independent Review of Move to Universal Credit (Atkins Review) (17 docs). II. Letter dated 20/04/2023 from Guy Opperman MP to the Deposited Papers Clerk regarding documents for deposit in the House libraries. 2p.
<http://data.parliament.uk/depositedpapers/2285266> ,dc-term:date ,2023-04-19T23:00:00Z
<http://data.parliament.uk/depositedpapers/2285266> ,dc-term:identifier ,DEP2023-0366
<http://data.parliament.uk/depositedpapers/2285266> ,dc-term:publisher ,<http://data.parliament.uk/terms/25259>
<http://data.parliament.uk/depositedpapers/2285266> ,dc-term:title ,Deposited Paper DEP2023-0366
<http://data.parliament.uk/depositedpapers/2285266> ,dc-term:creator ,<http://data.parliament.uk/terms/28667>
<http://data.parliament.uk/depositedpapers/2285266> ,<http://data.parliament.uk/schema/parl#status> ,Published
<http://data.parliament.uk/depositedpapers/2285266> ,<http://data.parliament.uk/schema/parl#department> ,<http://data.parliament.uk/terms/28667>
<http://data.parliament.uk/depositedpapers/2285266> ,<http://data.parliament.uk/schema/parl#dateReceived> ,2023-04-19T23:00:00Z
<http://data.parliament.uk/depositedpapers/2285266> ,<http://data.parliament.uk/schema/parl#internalLocation> ,<https://admin.depositedpapers.parliament.uk/depositedpaper/view/2285266>
<http://data.parliament.uk/depositedpapers/2285266> ,<http://data.parliament.uk/schema/parl#corporateAuthor> ,<http://data.parliament.uk/terms/28667>
<http://data.parliament.uk/depositedpapers/2285266> ,<http://data.parliament.uk/schema/parl#dateOfOrigin> ,2020-10-28T00:00:00Z
<http://data.parliament.uk/depositedpapers/2285266> ,<http://data.parliament.uk/schema/parl#containsStatistics> ,TRUE
<http://data.parliament.uk/depositedpapers/2285266> ,<http://data.parliament.uk/schema/parl#dateFirstIndexed> ,2023-04-28T14:13:31.0108699Z
<http://data.parliament.uk/depositedpapers/2285266> ,<http://data.parliament.uk/schema/parl#firstIndexedBy> ,REILLYAA^^xsd:string
<http://data.parliament.uk/depositedpapers/2285266> ,<http://data.parliament.uk/schema/parl#dateOfCommittmentToDeposit> ,2023-04-19T23:00:00Z
<http://data.parliament.uk/depositedpapers/2285266> ,<http://data.parliament.uk/schema/parl#depositedFile> ,<https://data.parliament.uk/DepositedPapers/files/DEP2023-0366/001A_-_UCPB_28_01_21_-_Agenda.pdf>
