subject,predicate,object
<http://data.parliament.uk/depositedpapers/2285263> ,rdf:type ,<http://data.parliament.uk/schema/parl#DepositedPaper>
<http://data.parliament.uk/depositedpapers/2285263> ,<http://data.parliament.uk/schema/parl#legislationTitle> ,<http://data.parliament.uk/terms/513529>
<http://data.parliament.uk/depositedpapers/2285263> ,dc-term:subject ,<http://data.parliament.uk/terms/90502>
<http://data.parliament.uk/depositedpapers/2285263> ,dc-term:subject ,<http://data.parliament.uk/terms/90234>
<http://data.parliament.uk/depositedpapers/2285263> ,dc-term:subject ,<http://data.parliament.uk/terms/90273>
<http://data.parliament.uk/depositedpapers/2285263> ,dc-term:subject ,<http://data.parliament.uk/terms/90867>
<http://data.parliament.uk/depositedpapers/2285263> ,dc-term:subject ,<http://data.parliament.uk/terms/90151>
<http://data.parliament.uk/depositedpapers/2285263> ,dc-term:subject ,<http://data.parliament.uk/terms/90380>
<http://data.parliament.uk/depositedpapers/2285263> ,dc-term:subject ,<http://data.parliament.uk/terms/91226>
<http://data.parliament.uk/depositedpapers/2285263> ,dc-term:subject ,<http://data.parliament.uk/terms/91815>
<http://data.parliament.uk/depositedpapers/2285263> ,dc-term:subject ,<http://data.parliament.uk/terms/91611>
<http://data.parliament.uk/depositedpapers/2285263> ,dc-term:subject ,<http://data.parliament.uk/terms/91194>
<http://data.parliament.uk/depositedpapers/2285263> ,dc-term:subject ,<http://data.parliament.uk/terms/91327>
<http://data.parliament.uk/depositedpapers/2285263> ,dc-term:subject ,<http://data.parliament.uk/terms/92226>
<http://data.parliament.uk/depositedpapers/2285263> ,dc-term:subject ,<http://data.parliament.uk/terms/92640>
<http://data.parliament.uk/depositedpapers/2285263> ,dc-term:subject ,<http://data.parliament.uk/terms/92530>
<http://data.parliament.uk/depositedpapers/2285263> ,dc-term:subject ,<http://data.parliament.uk/terms/93028>
<http://data.parliament.uk/depositedpapers/2285263> ,<http://data.parliament.uk/schema/parl#dateLastModified> ,2023-04-27T16:02:48.8887209Z
<http://data.parliament.uk/depositedpapers/2285263> ,<http://data.parliament.uk/schema/parl#indexStatus> ,Indexed
<http://data.parliament.uk/depositedpapers/2285263> ,<http://data.parliament.uk/schema/parl#lastModifiedBy> ,REILLYAA^^xsd:string
<http://data.parliament.uk/depositedpapers/2285263> ,<http://data.parliament.uk/schema/parl#humanIndexable> ,TRUE
<http://data.parliament.uk/depositedpapers/2285263> ,<http://data.parliament.uk/schema/parl#legislature> ,<http://data.parliament.uk/terms/25259>
<http://data.parliament.uk/depositedpapers/2285263> ,<http://data.parliament.uk/schema/parl#published> ,TRUE
<http://data.parliament.uk/depositedpapers/2285263> ,dc-term:abstract ,"Letter dated 24/04/2023 from Robert Jenrick MP to Stephen Kinnock MP and others regarding the Government amendments tabled for Report stage of the Illegal Migration Bill on 26 April : unaccompanied children, modern slavery, foreign national offenders, ban on re-entry, settlement and citizenship, age assessments, restricting interim relief, 'serious and irreversible harm', legal aid, safe and legal routes for those needing protection, electronic devices and identity documents. Incl. annex. 10p."
<http://data.parliament.uk/depositedpapers/2285263> ,dc-term:date ,2023-04-23T23:00:00Z
<http://data.parliament.uk/depositedpapers/2285263> ,dc-term:identifier ,DEP2023-0363
<http://data.parliament.uk/depositedpapers/2285263> ,dc-term:publisher ,<http://data.parliament.uk/terms/25259>
<http://data.parliament.uk/depositedpapers/2285263> ,dc-term:title ,Deposited Paper DEP2023-0363
<http://data.parliament.uk/depositedpapers/2285263> ,dc-term:creator ,<http://data.parliament.uk/terms/25060>
<http://data.parliament.uk/depositedpapers/2285263> ,<http://data.parliament.uk/schema/parl#uncontrolled> ,TRUE
<http://data.parliament.uk/depositedpapers/2285263> ,skos:prefLabel ,http://data.parliament.uk/depositedpapers/2285263
<http://data.parliament.uk/depositedpapers/2285263> ,<http://data.parliament.uk/schema/parl#status> ,Published
<http://data.parliament.uk/depositedpapers/2285263> ,<http://data.parliament.uk/schema/parl#department> ,<http://data.parliament.uk/terms/25060>
<http://data.parliament.uk/depositedpapers/2285263> ,<http://data.parliament.uk/schema/parl#dateReceived> ,2023-04-24T23:00:00Z
<http://data.parliament.uk/depositedpapers/2285263> ,<http://data.parliament.uk/schema/parl#internalLocation> ,<https://admin.depositedpapers.parliament.uk/depositedpaper/view/2285263>
<http://data.parliament.uk/depositedpapers/2285263> ,<http://data.parliament.uk/schema/parl#corporateAuthor> ,<http://data.parliament.uk/terms/25060>
<http://data.parliament.uk/depositedpapers/2285263> ,<http://data.parliament.uk/schema/parl#dateOfOrigin> ,2023-04-23T23:00:00Z
<http://data.parliament.uk/depositedpapers/2285263> ,<http://data.parliament.uk/schema/parl#containsStatistics> ,FALSE
<http://data.parliament.uk/depositedpapers/2285263> ,dc-term:relation ,<http://data.parliament.uk/bills/60097>
