subject,predicate,object
<http://data.parliament.uk/writtenparliamentaryquestion/commons/2019-21/183274> ,rdf:type ,<http://data.parliament.uk/schema/parl#WrittenParliamentaryQuestion>
<http://data.parliament.uk/writtenparliamentaryquestion/commons/2019-21/183274> ,dc-term:subject ,<http://data.parliament.uk/terms/91554>
<http://data.parliament.uk/writtenparliamentaryquestion/commons/2019-21/183274> ,dc-term:subject ,<http://data.parliament.uk/terms/91243>
<http://data.parliament.uk/writtenparliamentaryquestion/commons/2019-21/183274> ,dc-term:subject ,<http://data.parliament.uk/terms/92341>
<http://data.parliament.uk/writtenparliamentaryquestion/commons/2019-21/183274> ,dc-term:subject ,<http://data.parliament.uk/terms/91923>
<http://data.parliament.uk/writtenparliamentaryquestion/commons/2019-21/183274> ,dc-term:subject ,<http://data.parliament.uk/terms/466384>
<http://data.parliament.uk/writtenparliamentaryquestion/commons/2019-21/183274> ,<http://data.parliament.uk/schema/parl#statisticsIndicated> ,FALSE
<http://data.parliament.uk/writtenparliamentaryquestion/commons/2019-21/183274> ,<http://data.parliament.uk/schema/parl#dateLastModified> ,2021-04-26T15:40:31.645Z
<http://data.parliament.uk/writtenparliamentaryquestion/commons/2019-21/183274> ,<http://data.parliament.uk/schema/parl#indexStatus> ,Indexed
<http://data.parliament.uk/writtenparliamentaryquestion/commons/2019-21/183274> ,<http://data.parliament.uk/schema/parl#lastModifiedBy> ,Harvester^^xsd:string
<http://data.parliament.uk/writtenparliamentaryquestion/commons/2019-21/183274> ,<http://data.parliament.uk/schema/parl#humanIndexable> ,TRUE
<http://data.parliament.uk/writtenparliamentaryquestion/commons/2019-21/183274> ,<http://data.parliament.uk/schema/parl#legislature> ,<http://data.parliament.uk/terms/25259>
<http://data.parliament.uk/writtenparliamentaryquestion/commons/2019-21/183274> ,<http://data.parliament.uk/schema/parl#published> ,TRUE
<http://data.parliament.uk/writtenparliamentaryquestion/commons/2019-21/183274> ,<http://data.parliament.uk/schema/parl#session> ,2019-21
<http://data.parliament.uk/writtenparliamentaryquestion/commons/2019-21/183274> ,dc-term:date ,2021-04-22T00:00:00Z
<http://data.parliament.uk/writtenparliamentaryquestion/commons/2019-21/183274> ,dc-term:identifier ,183274
<http://data.parliament.uk/writtenparliamentaryquestion/commons/2019-21/183274> ,dc-term:publisher ,<http://data.parliament.uk/terms/25259>
<http://data.parliament.uk/writtenparliamentaryquestion/commons/2019-21/183274> ,dc-term:title ,Hospitals: Parking
<http://data.parliament.uk/writtenparliamentaryquestion/commons/2019-21/183274> ,dc-term:creator ,<http://data.parliament.uk/members/4362>
<http://data.parliament.uk/writtenparliamentaryquestion/commons/2019-21/183274> ,<http://data.parliament.uk/schema/parl#uncontrolled> ,TRUE
<http://data.parliament.uk/writtenparliamentaryquestion/commons/2019-21/183274> ,skos:prefLabel ,http://data.parliament.uk/writtenparliamentaryquestion/commons/2019-21/183274
<http://data.parliament.uk/writtenparliamentaryquestion/commons/2019-21/183274> ,<http://data.parliament.uk/schema/parl#externalLocation> ,<http://www.parliament.uk/written-questions-answers-statements/written-question/commons/2021-04-19/183274>
<http://data.parliament.uk/writtenparliamentaryquestion/commons/2019-21/183274> ,<http://data.parliament.uk/schema/parl#askingMember> ,<http://data.parliament.uk/members/4656>
