"Subject","Predicate","Object"
"http://parliament.uk/ontologies/person-name/HouseSeat","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://parliament.uk/ontologies/person-name/hasGender","http://www.w3.org/2000/01/rdf-schema#comment",""
"http://parliament.uk/ontologies/person-name/PostNominal","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/person-name/"
"http://parliament.uk/ontologies/person-name/personNamingHasPreNominal","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty"
"http://parliament.uk/ontologies/person-name/familyName","http://www.w3.org/2000/01/rdf-schema#label","familyName"
"http://parliament.uk/ontologies/person-name/hasHouse","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/person-name/"
"http://parliament.uk/ontologies/person-name/patronymic","http://www.w3.org/2000/01/rdf-schema#comment",""
"http://parliament.uk/ontologies/person-name/postNominalOrdering","http://www.w3.org/2000/01/rdf-schema#label","postNominalOrdering"
"http://parliament.uk/ontologies/person-name/hasHouse","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty"
"http://parliament.uk/ontologies/person-name/peerageHasHouseSeat","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/person-name/Peerage"
"http://parliament.uk/ontologies/person-name/CulturalOrdering","http://www.w3.org/2000/01/rdf-schema#label","CulturalOrdering"
"http://parliament.uk/ontologies/person-name/personNamingHasPreNominal","http://www.w3.org/2000/01/rdf-schema#label","personNamingHasPreNominal"
"http://parliament.uk/ontologies/person-name/namingQualificationHasPreNominal","http://www.w3.org/2000/01/rdf-schema#comment",""
"http://parliament.uk/ontologies/person-name/House","http://www.w3.org/2000/01/rdf-schema#label","House"
"http://parliament.uk/ontologies/person-name/hasPeerageNaming","http://www.w3.org/2000/01/rdf-schema#label","hasPeerageNaming"
"http://parliament.uk/ontologies/person-name/hasIncumbencyPersonNaming","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/person-name/"
"http://parliament.uk/ontologies/person-name/givenName","http://www.w3.org/2000/01/rdf-schema#comment",""
"http://parliament.uk/ontologies/person-name/PeerageRank","http://www.w3.org/2000/01/rdf-schema#comment","The peerage system is explicitly ranked, with a Baron being junior to an Earl.  This level number will allow clients to display the more senior peergae where a peer has more than one peerage per Lords convention "
"http://parliament.uk/ontologies/person-name/hasGenderIdentity","http://www.w3.org/2000/01/rdf-schema#range","http://parliament.uk/ontologies/person-name/GenderIdentity"
"http://parliament.uk/ontologies/person-name/namingQualificationHasPostNominal","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/person-name/"
"http://parliament.uk/ontologies/person-name/hasIncumbencyPersonNaming","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty"
"http://parliament.uk/ontologies/person-name/personNamingHasPostNominal","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty"
"http://parliament.uk/ontologies/person-name/namingQualificationHasPostNominal","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty"
