"Subject","Predicate","Object"
"http://parliament.uk/ontologies/bill/carriedOverTo","http://www.w3.org/2000/01/rdf-schema#range","http://parliament.uk/ontologies/bill/Bill"
"http://parliament.uk/ontologies/bill/DraftBill","http://www.w3.org/2000/01/rdf-schema#label","Draft Bill"
"n85c084ffe14a474397aa9caae48e91adb7","http://xmlns.com/foaf/0.1/homepage","https://smethur.st/"
"http://parliament.uk/ontologies/bill/parliamentActInvokedTo","http://www.w3.org/2000/01/rdf-schema#comment","Relates an invocation of the Parliament Act to a Public Bill in the new session."
"http://parliament.uk/ontologies/bill/MemberLeadership","http://www.w3.org/2000/01/rdf-schema#comment","The leadership of a Public Bill by a Member. It is possible for the leadership of a Public Bill to pass to a different Member, for example: if a Member is elevated to the House of Lords."
"http://parliament.uk/ontologies/bill/hasMemberLeadership","http://www.w3.org/2000/01/rdf-schema#label","Has Member leadership"
"http://parliament.uk/ontologies/bill/ParliamentActProcedureInvocation","http://www.w3.org/2000/01/rdf-schema#label","Parliament Act procedure invocation"
"http://parliament.uk/ontologies/bill/sponsorshipByGovernmentOrganisation","http://www.w3.org/2000/01/rdf-schema#range","http://parliament.uk/ontologies/bill/GovernmentOrganisation"
"http://parliament.uk/ontologies/bill/CarryOver","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/bill/"
"http://parliament.uk/ontologies/bill/ParliamentActProcedureInvocation","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://parliament.uk/ontologies/bill/MemberSponsorship","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/bill/"
"http://parliament.uk/ontologies/bill/carriedOverFrom","http://www.w3.org/2000/01/rdf-schema#label","Carried over from"
"http://parliament.uk/ontologies/bill/sponsorshipByGovernmentOrganisation","http://www.w3.org/2000/01/rdf-schema#comment","Relates a departmental sponsorship to the Government organisation sponsoring a Public Bill at a point in time."
"http://parliament.uk/ontologies/bill/DraftBill","http://www.w3.org/2000/01/rdf-schema#comment","A draft form of a Government bill issued before being introduced as a Public Bill to Parliament. A draft bill is available to be examined either by a Commons or Lords select committee, or by a joint committee of both Houses of Parliament created for that purpose. This process of examining the draft bill is known as 'pre-legislative scrutiny'"
"http://parliament.uk/ontologies/bill/isIn","http://www.w3.org/2000/01/rdf-schema#label","Is in"
"http://parliament.uk/ontologies/bill/ExplanatoryNote","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://parliament.uk/ontologies/bill/carriedOverFrom","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/bill/CarryOver"
"http://parliament.uk/ontologies/bill/MemberLeadership","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://parliament.uk/ontologies/bill/Session","http://www.w3.org/2000/01/rdf-schema#comment","A period during which Parliament is able to conduct business on days of its choosing. A session is within a Parliament period. The first session of a Parliament begins on the same day as the Parliament period and ends on a day named in a subsequent prorogation proclamation. Subsequent sessions within the Parliament period begin and end on dates named in subsequent prorogation proclamations. The final session of a Parliament ends either with prorogation followed by dissolution or with dissolution. Session periods are the same for both Houses."
"http://parliament.uk/ontologies/bill/isIn","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/bill/Bill"
"http://parliament.uk/ontologies/bill/MemberLeadership","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/bill/"
"http://parliament.uk/ontologies/bill/Session","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://parliament.uk/ontologies/bill/carriedOverTo","http://www.w3.org/2000/01/rdf-schema#label","Carried over to"
"http://parliament.uk/ontologies/bill/isIn","http://www.w3.org/2000/01/rdf-schema#comment","Relates a bill to the session in which it was presented. A bill will always be in one session."
"http://parliament.uk/ontologies/bill/Session","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/bill/"
"http://parliament.uk/ontologies/bill/","http://xmlns.com/foaf/0.1/maker","n85c084ffe14a474397aa9caae48e91adb1"
"http://parliament.uk/ontologies/bill/enactedAs","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/bill/"
"http://parliament.uk/ontologies/bill/hasMemberLeadership","http://www.w3.org/2000/01/rdf-schema#range","http://parliament.uk/ontologies/bill/MemberLeadership"
"http://parliament.uk/ontologies/bill/isIn","http://www.w3.org/2000/01/rdf-schema#range","http://parliament.uk/ontologies/bill/Session"
"http://parliament.uk/ontologies/bill/carriedOverTo","http://www.w3.org/2000/01/rdf-schema#comment","Relates the act of being carried over to the bill in the new session."
"http://parliament.uk/ontologies/bill/PublicBill","http://www.w3.org/2000/01/rdf-schema#comment","A proposal for a new Act of Parliament with general application across the whole population, without that application being limited to particular groups, people or places. A Public Bill is either a Government Bill or a Private Members' Bill."
"http://parliament.uk/ontologies/bill/Bill","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/bill/"
