"Subject","Predicate","Object"
"http://parliament.uk/ontologies/business-item/recordOf","http://www.w3.org/2000/01/rdf-schema#comment","Relates a document to the calendared event it records."
"http://parliament.uk/ontologies/business-item/partOfSeries","http://www.w3.org/2000/01/rdf-schema#comment","Relates a business item to a business item series it is part of."
"http://parliament.uk/ontologies/business-item/disposedOfAt","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/business-item/CalendaredEvent"
"http://parliament.uk/ontologies/business-item/cancelledAt","http://www.w3.org/2000/01/rdf-schema#comment","The time at which a calendared event was cancelled."
"http://parliament.uk/ontologies/business-item/CalendaredEvent","http://www.w3.org/2000/01/rdf-schema#label","Calendared event"
"http://parliament.uk/ontologies/business-item/calendarisation","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/business-item/BusinessItem"
"http://parliament.uk/ontologies/business-item/CalendaredEvent","http://www.w3.org/2000/01/rdf-schema#comment","An event during which business items happen."
"http://parliament.uk/ontologies/business-item/","http://purl.org/dc/terms/created","2018-10-13"
"http://parliament.uk/ontologies/business-item/containsBusinessItem","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/business-item/BusinessItem"
"http://parliament.uk/ontologies/business-item/Document","http://www.w3.org/2000/01/rdf-schema#label","Document"
"http://parliament.uk/ontologies/business-item/notReached","http://www.w3.org/2000/01/rdf-schema#comment","A boolean which is true when a calendared event was not reached or became unavailable for disposal."
"http://parliament.uk/ontologies/business-item/disposedOfAt","http://www.w3.org/2000/01/rdf-schema#range","http://www.w3.org/2001/XMLSchema#dateTime"
"http://parliament.uk/ontologies/business-item/","http://xmlns.com/foaf/0.1/maker","nca29758f4dad4cdaac4797fe77d4e952b4"
"http://parliament.uk/ontologies/business-item/BusinessItemSeries","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://parliament.uk/ontologies/business-item/CalendaredEvent","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/business-item/"
"http://parliament.uk/ontologies/business-item/disposedOfAt","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/business-item/"
"http://parliament.uk/ontologies/business-item/hasBusinessItemType","http://www.w3.org/2000/01/rdf-schema#comment","Relates a business item to its type."
"http://parliament.uk/ontologies/business-item/hasBusinessItemType","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/business-item/BusinessItem"
"http://parliament.uk/ontologies/business-item/followedBy","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/business-item/"
"http://parliament.uk/ontologies/business-item/notReached","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/business-item/CalendaredEvent"
"http://parliament.uk/ontologies/business-item/cancelledAt","http://www.w3.org/2000/01/rdf-schema#range","http://www.w3.org/2001/XMLSchema#dateTime"
"http://parliament.uk/ontologies/business-item/BusinessItemSeries","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/business-item/"
"http://parliament.uk/ontologies/business-item/BusinessItem","http://www.w3.org/2000/01/rdf-schema#comment","An item of business conducted either within or outside Parliament. For example: a second reading debate, the tabling of an early day motion, a laying of a paper or the making of a statutory instrument by a government minister."
"http://parliament.uk/ontologies/business-item/recordOf","http://www.w3.org/2000/01/rdf-schema#label","Record of"
"nca29758f4dad4cdaac4797fe77d4e952b1","http://xmlns.com/foaf/0.1/name","Robert Brook"
"http://parliament.uk/ontologies/business-item/takesPlaceIn","http://www.w3.org/2000/01/rdf-schema#comment","Relates a calendared event to the place it occurs."
"http://parliament.uk/ontologies/business-item/hasBusinessItemType","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty"
"nca29758f4dad4cdaac4797fe77d4e952b4","http://xmlns.com/foaf/0.1/name","Anya Somerville"
"http://parliament.uk/ontologies/business-item/notReached","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/business-item/"
"http://parliament.uk/ontologies/business-item/BusinessItemType","http://www.w3.org/2000/01/rdf-schema#comment","The type of a business item. For example: a committee visit, a committee evidence session or a chamber debate."
"http://parliament.uk/ontologies/business-item/","http://xmlns.com/foaf/0.1/depiction","https://ukparliament.github.io/ontologies/business-item/business-item.png"
"http://parliament.uk/ontologies/business-item/takesPlaceIn","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/business-item/"
"http://parliament.uk/ontologies/business-item/Document","http://www.w3.org/2000/01/rdf-schema#comment","A document being a FRBR work."
"http://parliament.uk/ontologies/business-item/hasBusinessItemType","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/business-item/"
"http://parliament.uk/ontologies/business-item/Document","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"nca29758f4dad4cdaac4797fe77d4e952b3","http://xmlns.com/foaf/0.1/name","Michael Smethurst"
"http://parliament.uk/ontologies/business-item/BusinessItemType","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://parliament.uk/ontologies/business-item/cancelledAt","http://www.w3.org/2000/01/rdf-schema#label","Cancelled at"
"http://parliament.uk/ontologies/business-item/Place","http://www.w3.org/2000/01/rdf-schema#comment","A place named in a geography."
"http://parliament.uk/ontologies/business-item/disposedOfAt","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#DatatypeProperty"
"http://parliament.uk/ontologies/business-item/BusinessItemType","http://www.w3.org/2000/01/rdf-schema#label","Business item type"
"http://parliament.uk/ontologies/business-item/calendarisation","http://www.w3.org/2000/01/rdf-schema#comment","Describes the process of setting a time or date at which a business item is expected to take place."
"http://parliament.uk/ontologies/business-item/","http://xmlns.com/foaf/0.1/maker","nca29758f4dad4cdaac4797fe77d4e952b2"
"http://parliament.uk/ontologies/business-item/takesPlaceIn","http://www.w3.org/2000/01/rdf-schema#label","Takes place in"
"http://parliament.uk/ontologies/business-item/","http://purl.org/dc/terms/description","A model describing items of business taking place in Parliament or outside Parliament - as part of a process involving Parliament - and their scheduling."
"http://parliament.uk/ontologies/business-item/disposedOfAt","http://www.w3.org/2000/01/rdf-schema#label","Disposed of at"
"http://parliament.uk/ontologies/business-item/disposedOfAt","http://www.w3.org/2000/01/rdf-schema#comment","The time at which an agenda item was completed."
"http://parliament.uk/ontologies/business-item/notReached","http://www.w3.org/2000/01/rdf-schema#range","http://www.w3.org/2001/XMLSchema#boolean"
"http://parliament.uk/ontologies/business-item/CalendaredEvent","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://parliament.uk/ontologies/business-item/BusinessItemSeries","http://www.w3.org/2000/01/rdf-schema#comment","A series of regularly recurring business items. For example: questions to the Department of Health and Social Care."
"http://parliament.uk/ontologies/business-item/recordOf","http://www.w3.org/2000/01/rdf-schema#range","http://parliament.uk/ontologies/business-item/CalendaredEvent"
"http://parliament.uk/ontologies/business-item/Place","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/business-item/"
"http://parliament.uk/ontologies/business-item/followedBy","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty"
"http://parliament.uk/ontologies/business-item/calendarisation","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty"
"http://parliament.uk/ontologies/business-item/notReached","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#DatatypeProperty"
"http://parliament.uk/ontologies/business-item/notReached","http://www.w3.org/2000/01/rdf-schema#label","Not reached"
"http://parliament.uk/ontologies/business-item/containsBusinessItem","http://www.w3.org/2000/01/rdf-schema#label","Contains business item"
"http://parliament.uk/ontologies/business-item/containsBusinessItem","http://www.w3.org/2000/01/rdf-schema#comment","Allows a business item to be nested inside another business item. For example, a committee meeting during a committee visit."
"nca29758f4dad4cdaac4797fe77d4e952b1","http://xmlns.com/foaf/0.1/homepage","https://robert-brook.com/"
"http://parliament.uk/ontologies/business-item/cancelledAt","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/business-item/CalendaredEvent"
"http://parliament.uk/ontologies/business-item/containsBusinessItem","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/business-item/"
"http://parliament.uk/ontologies/business-item/takesPlaceIn","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/business-item/CalendaredEvent"
"http://parliament.uk/ontologies/business-item/calendarisation","http://www.w3.org/2000/01/rdf-schema#label","Calendarisation"
"http://parliament.uk/ontologies/business-item/Place","http://www.w3.org/2000/01/rdf-schema#label","Place"
"http://parliament.uk/ontologies/business-item/containsBusinessItem","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty"
"http://parliament.uk/ontologies/business-item/partOfSeries","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/business-item/BusinessItem"
"http://parliament.uk/ontologies/business-item/cancelledAt","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/business-item/"
"http://parliament.uk/ontologies/business-item/followedBy","http://www.w3.org/2000/01/rdf-schema#range","http://parliament.uk/ontologies/business-item/CalendaredEvent"
"http://parliament.uk/ontologies/business-item/","http://xmlns.com/foaf/0.1/maker","nca29758f4dad4cdaac4797fe77d4e952b1"
"http://parliament.uk/ontologies/business-item/","http://purl.org/dc/terms/title","Business item ontology"
"http://parliament.uk/ontologies/business-item/","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Ontology"
"http://parliament.uk/ontologies/business-item/calendarisation","http://www.w3.org/2000/01/rdf-schema#range","http://parliament.uk/ontologies/business-item/CalendaredEvent"
"http://parliament.uk/ontologies/business-item/takesPlaceIn","http://www.w3.org/2000/01/rdf-schema#range","http://parliament.uk/ontologies/business-item/Place"
"http://parliament.uk/ontologies/business-item/BusinessItem","http://www.w3.org/2000/01/rdf-schema#label","Business item"
"http://parliament.uk/ontologies/business-item/followedBy","http://www.w3.org/2000/01/rdf-schema#comment","Relates a calendared event to a subsequent calendared event"
