"Subject","Predicate","Object"
"nd37c5a50144645eeaaf9c1fd7b5002fab1","http://xmlns.com/foaf/0.1/name","Robert Brook"
"nd37c5a50144645eeaaf9c1fd7b5002fab3","http://xmlns.com/foaf/0.1/homepage","http://smethur.st/"
"http://parliament.uk/ontologies/common/","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Ontology"
"http://parliament.uk/ontologies/common/","http://purl.org/dc/terms/created","2021-01-06"
"http://parliament.uk/ontologies/common/BusinessItem","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://parliament.uk/ontologies/common/Agent","http://www.w3.org/2000/01/rdf-schema#label","Agent"
"http://parliament.uk/ontologies/common/Person","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://parliament.uk/ontologies/common/Agent","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/common/"
"nd37c5a50144645eeaaf9c1fd7b5002fab1","http://xmlns.com/foaf/0.1/homepage","https://robert-brook.com/"
"http://parliament.uk/ontologies/common/Person","http://www.w3.org/2000/01/rdf-schema#label","Person"
"nd37c5a50144645eeaaf9c1fd7b5002fab2","http://xmlns.com/foaf/0.1/name","Silver Oliver"
"nd37c5a50144645eeaaf9c1fd7b5002fab3","http://xmlns.com/foaf/0.1/name","Michael Smethurst"
"http://parliament.uk/ontologies/common/","http://purl.org/dc/terms/title","Common ontology"
"http://parliament.uk/ontologies/common/Person","http://www.w3.org/2000/01/rdf-schema#subClassOf","http://parliament.uk/ontologies/common/Agent"
"http://parliament.uk/ontologies/common/Agent","http://www.w3.org/2000/01/rdf-schema#comment","Agents include people and groups, including those outside the Parliamentary Service, participating in parliamentary procedure and contributing to the wider work of Parliament."
"nd37c5a50144645eeaaf9c1fd7b5002fab4","http://xmlns.com/foaf/0.1/name","Anya Somerville"
"http://parliament.uk/ontologies/common/","http://xmlns.com/foaf/0.1/maker","nd37c5a50144645eeaaf9c1fd7b5002fab3"
"http://parliament.uk/ontologies/common/","http://purl.org/dc/terms/rights","Open Parliament Licence v3.0"
"http://parliament.uk/ontologies/common/","http://purl.org/dc/terms/description",""
"http://parliament.uk/ontologies/common/BusinessItem","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/common/"
"http://parliament.uk/ontologies/common/Person","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/common/"
"http://parliament.uk/ontologies/common/","http://xmlns.com/foaf/0.1/maker","nd37c5a50144645eeaaf9c1fd7b5002fab2"
"http://parliament.uk/ontologies/common/","http://xmlns.com/foaf/0.1/maker","nd37c5a50144645eeaaf9c1fd7b5002fab4"
"http://parliament.uk/ontologies/common/BusinessItem","http://www.w3.org/2000/01/rdf-schema#comment","An item of business conducted either within or outside Parliament. For example: a second reading debate, the tabling of an early day motion, a laying of a paper, the making of a statutory instrument by a government minister."
"http://parliament.uk/ontologies/common/","http://xmlns.com/foaf/0.1/maker","nd37c5a50144645eeaaf9c1fd7b5002fab1"
"http://parliament.uk/ontologies/common/BusinessItem","http://www.w3.org/2000/01/rdf-schema#label","Business item"
"http://parliament.uk/ontologies/common/Agent","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://parliament.uk/ontologies/common/Person","http://www.w3.org/2000/01/rdf-schema#comment","A person."
