"Subject","Predicate","Object"
"http://parliament.uk/ontologies/concept/","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Ontology"
"http://parliament.uk/ontologies/concept/annotatedBy","http://www.w3.org/2000/01/rdf-schema#comment","Relates an annotation to a agent."
"http://parliament.uk/ontologies/concept/hasFocus","http://www.w3.org/2000/01/rdf-schema#label","hasFocus"
"http://parliament.uk/ontologies/concept/hasConcept","http://www.w3.org/2000/01/rdf-schema#comment","Relates an annotation to a concept."
"http://parliament.uk/ontologies/concept/annotatedBy","http://www.w3.org/2000/01/rdf-schema#label","annotatedBy"
"http://parliament.uk/ontologies/concept/scopeNote","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/concept/Concept"
"http://parliament.uk/ontologies/concept/hasAnnotation","http://www.w3.org/2000/01/rdf-schema#range","http://parliament.uk/ontologies/concept/Annotation"
"http://parliament.uk/ontologies/concept/alternativeLabel","http://www.w3.org/2000/01/rdf-schema#label","alternativeLabel"
"http://parliament.uk/ontologies/concept/Agent","http://www.w3.org/2000/01/rdf-schema#label","Agent"
"http://parliament.uk/ontologies/concept/hasBroaderConcept","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty"
"http://parliament.uk/ontologies/concept/uncontrolledTag","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#DatatypeProperty"
"http://parliament.uk/ontologies/concept/scopeNote","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#DatatypeProperty"
"http://parliament.uk/ontologies/concept/hasRelatedConcept","http://www.w3.org/2000/01/rdf-schema#range","http://parliament.uk/ontologies/concept/Concept"
"http://parliament.uk/ontologies/concept/hasAnnotation","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/concept/AnnotatableThing"
"http://parliament.uk/ontologies/concept/uncontrolledTag","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/concept/"
"http://parliament.uk/ontologies/concept/scopeNote","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/concept/"
"http://parliament.uk/ontologies/concept/Annotation","http://www.w3.org/2000/01/rdf-schema#comment","A relationship between an annotatable thing and a concept or free-text tag. e.g. an act of subject indexing."
"http://parliament.uk/ontologies/concept/uncontrolledTag","http://www.w3.org/2000/01/rdf-schema#range","http://www.w3.org/1999/02/22-rdf-syntax-ns#langString"
"http://parliament.uk/ontologies/concept/uncontrolledTag","http://www.w3.org/2000/01/rdf-schema#label","uncontrolledTag"
"http://parliament.uk/ontologies/concept/AnnotatableThing","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/concept/"
"http://parliament.uk/ontologies/concept/annotatedAt","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#DatatypeProperty"
"http://parliament.uk/ontologies/concept/uncontrolledTag","http://www.w3.org/2000/01/rdf-schema#comment","To allow for annotations that reference free text tags rather than controlled concepts."
"http://parliament.uk/ontologies/concept/hasConcept","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/concept/Annotation"
"http://parliament.uk/ontologies/concept/uncontrolledTag","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/concept/Annotation"
"http://parliament.uk/ontologies/concept/hasBroaderConcept","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/concept/Concept"
"http://parliament.uk/ontologies/concept/annotatedAt","http://www.w3.org/2000/01/rdf-schema#comment","Date time an annotation was created."
"http://parliament.uk/ontologies/concept/hasBroaderConcept","http://www.w3.org/2000/01/rdf-schema#range","http://parliament.uk/ontologies/concept/Concept"
"http://parliament.uk/ontologies/concept/Concept","http://www.w3.org/2000/01/rdf-schema#comment","A concept. Similar to a SKOS concept / a library subject term."
"http://parliament.uk/ontologies/concept/Thing","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/concept/"
"http://parliament.uk/ontologies/concept/indexerNote","http://www.w3.org/2000/01/rdf-schema#comment","A note for indexers. Provides additional guidance on use of the concept."
"http://parliament.uk/ontologies/concept/annotatedAt","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/concept/Annotation"
