"Subject","Predicate","Object"
"http://parliament.uk/ontologies/contact-point/addressLine2","http://www.w3.org/2000/01/rdf-schema#comment","The second line of a postal address."
"http://parliament.uk/ontologies/contact-point/hasPostalAddress","http://www.w3.org/2000/01/rdf-schema#comment","Relates a contact point to its postal address."
"http://parliament.uk/ontologies/contact-point/email","http://www.w3.org/2000/01/rdf-schema#range","http://www.w3.org/2000/01/rdf-schema#Literal"
"http://parliament.uk/ontologies/contact-point/phoneNumber","http://www.w3.org/2000/01/rdf-schema#comment","Contact point has a phone number."
"http://parliament.uk/ontologies/contact-point/ContactPoint","http://www.w3.org/2000/01/rdf-schema#comment","A postal address or other contact details."
"http://parliament.uk/ontologies/contact-point/addressLine1","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/contact-point/"
"http://parliament.uk/ontologies/contact-point/addressLine1","http://www.w3.org/2000/01/rdf-schema#label","addressLine1"
"http://parliament.uk/ontologies/contact-point/addressLine5","http://www.w3.org/2000/01/rdf-schema#comment","The fifth line of a postal address."
"http://parliament.uk/ontologies/contact-point/availabilityNote","http://www.w3.org/2000/01/rdf-schema#label","availabilityNote"
"http://parliament.uk/ontologies/contact-point/addressLine5","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#DatatypeProperty"
"http://parliament.uk/ontologies/contact-point/hasContactPoint","http://www.w3.org/2000/01/rdf-schema#range","http://parliament.uk/ontologies/contact-point/ContactPoint"
"http://parliament.uk/ontologies/contact-point/hasPostalAddress","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/contact-point/"
"http://parliament.uk/ontologies/contact-point/ContactableThing","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/contact-point/"
"http://parliament.uk/ontologies/contact-point/phoneNumber","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#DatatypeProperty"
"http://parliament.uk/ontologies/contact-point/addressLine5","http://www.w3.org/2000/01/rdf-schema#range","http://www.w3.org/1999/02/22-rdf-syntax-ns#langString"
"http://parliament.uk/ontologies/contact-point/","http://purl.org/dc/terms/created","2017-01-27"
"http://parliament.uk/ontologies/contact-point/ContactableThing","http://www.w3.org/2000/01/rdf-schema#comment","A thing that can be contacted. Might be a person or a person in the context of a role or a group."
"http://parliament.uk/ontologies/contact-point/contactForm","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/contact-point/"
"http://parliament.uk/ontologies/contact-point/phoneNumber","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/contact-point/"
"http://parliament.uk/ontologies/contact-point/ContactableThing","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://parliament.uk/ontologies/contact-point/faxNumber","http://www.w3.org/2000/01/rdf-schema#label","faxNumber"
"http://parliament.uk/ontologies/contact-point/availabilityNote","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/contact-point/"
"http://parliament.uk/ontologies/contact-point/hasContactPoint","http://www.w3.org/2000/01/rdf-schema#label","hasContactPoint"
"http://parliament.uk/ontologies/contact-point/PostalAddress","http://www.w3.org/2000/01/rdf-schema#comment","A postal address."
