"Subject","Predicate","Object"
"http://parliament.uk/ontologies/contribution/hasContributionRole","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/contribution/"
"http://parliament.uk/ontologies/contribution/inCapacity","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/contribution/"
"http://parliament.uk/ontologies/contribution/Agent","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/contribution/"
"http://parliament.uk/ontologies/contribution/hasContributionRole","http://www.w3.org/2000/01/rdf-schema#label","hasContributionRole"
"http://parliament.uk/ontologies/contribution/inCapacity","http://www.w3.org/2000/01/rdf-schema#comment","Relates a contribution to an incumbency of the person making the contribution e.g. a person making a contribution in their capacity of holding a CEO position of an organisation."
"n20d397017275489a9081f791c79cdba7b3","http://xmlns.com/foaf/0.1/name","Anya Somerville"
"http://parliament.uk/ontologies/contribution/makesContribution","http://www.w3.org/2000/01/rdf-schema#label","makesContribution"
"http://parliament.uk/ontologies/contribution/Incumbency","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/contribution/"
"http://parliament.uk/ontologies/contribution/Incumbency","http://www.w3.org/2000/01/rdf-schema#comment","A position held by a person for a period of time. e.g. Philip Hammond occupying the position of Foreign Secretary between two dates."
"http://parliament.uk/ontologies/contribution/isPublic","http://www.w3.org/2000/01/rdf-schema#label","Is public"
"http://parliament.uk/ontologies/contribution/displayOrder","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#DatatypeProperty"
"http://parliament.uk/ontologies/contribution/ContributionRole","http://www.w3.org/2000/01/rdf-schema#label","ContributionRole"
"http://parliament.uk/ontologies/contribution/","http://xmlns.com/foaf/0.1/depiction","https://ukparliament.github.io/ontologies/contribution/contribution.png"
"http://parliament.uk/ontologies/contribution/displayOrder","http://www.w3.org/2000/01/rdf-schema#comment","Relates a contribution type to its display order."
"http://parliament.uk/ontologies/contribution/isPublic","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#DatatypeProperty"
"http://parliament.uk/ontologies/contribution/","http://purl.org/dc/terms/description","A model describing contributions made by people or groups."
"http://parliament.uk/ontologies/contribution/displayOrder","http://www.w3.org/2000/01/rdf-schema#range","http://www.w3.org/2001/XMLSchema#integer"
"http://parliament.uk/ontologies/contribution/","http://purl.org/dc/terms/rights","Open Parliament Licence v3.0"
"http://parliament.uk/ontologies/contribution/Agent","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://parliament.uk/ontologies/contribution/Contribution","http://www.w3.org/2000/01/rdf-schema#comment","A contribution by an individual or organisation to a document or committee inquiry etc."
"http://parliament.uk/ontologies/contribution/Incumbency","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://parliament.uk/ontologies/contribution/","http://xmlns.com/foaf/0.1/maker","n20d397017275489a9081f791c79cdba7b2"
"http://parliament.uk/ontologies/contribution/Incumbency","http://www.w3.org/2000/01/rdf-schema#label","Incumbency"
"http://parliament.uk/ontologies/contribution/hasContributionRole","http://www.w3.org/2000/01/rdf-schema#range","http://parliament.uk/ontologies/contribution/ContributionRole"
"http://parliament.uk/ontologies/contribution/isPublic","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/contribution/Contribution"
"http://parliament.uk/ontologies/contribution/inCapacity","http://www.w3.org/2000/01/rdf-schema#range","http://parliament.uk/ontologies/contribution/Incumbency"
"n20d397017275489a9081f791c79cdba7b1","http://xmlns.com/foaf/0.1/name","Robert Brook"
"http://parliament.uk/ontologies/contribution/isPublic","http://www.w3.org/2000/01/rdf-schema#range","http://www.w3.org/2001/XMLSchema#boolean"
"http://parliament.uk/ontologies/contribution/ContributionRole","http://www.w3.org/2000/01/rdf-schema#comment","The type of contribution made. Might be as an author or reviewer or inquiry witness etc."
"http://parliament.uk/ontologies/contribution/makesContribution","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/contribution/Agent"
"http://parliament.uk/ontologies/contribution/Contribution","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/contribution/"
"n20d397017275489a9081f791c79cdba7b2","http://xmlns.com/foaf/0.1/name","Michael Smethurst"
"http://parliament.uk/ontologies/contribution/hasContributionRole","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty"
"http://parliament.uk/ontologies/contribution/hasContributionRole","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/contribution/Contribution"
"http://parliament.uk/ontologies/contribution/isPublic","http://www.w3.org/2000/01/rdf-schema#comment","Relates a contribution to whether not that contribution is made public. The is public flag will by necessity not be public."
"http://parliament.uk/ontologies/contribution/inCapacity","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/contribution/Contribution"
"http://parliament.uk/ontologies/contribution/","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Ontology"
"http://parliament.uk/ontologies/contribution/Agent","http://www.w3.org/2000/01/rdf-schema#label","Agent"
"http://parliament.uk/ontologies/contribution/makesContribution","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/contribution/"
"http://parliament.uk/ontologies/contribution/inCapacity","http://www.w3.org/2000/01/rdf-schema#label","inCapacity"
"http://parliament.uk/ontologies/contribution/displayOrder","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/contribution/"
"n20d397017275489a9081f791c79cdba7b2","http://xmlns.com/foaf/0.1/homepage","http://smethur.st/"
"n20d397017275489a9081f791c79cdba7b1","http://xmlns.com/foaf/0.1/homepage","https://robert-brook.com/"
"http://parliament.uk/ontologies/contribution/","http://purl.org/dc/terms/created","2018-06-28"
"http://parliament.uk/ontologies/contribution/makesContribution","http://www.w3.org/2000/01/rdf-schema#comment","Relates a person or group to a contribution they've made."
