"Subject","Predicate","Object"
"http://parliament.uk/ontologies/election/voteShare","http://www.w3.org/2000/01/rdf-schema#range","http://www.w3.org/2001/XMLSchema#decimal"
"http://parliament.uk/ontologies/election/voteCount","http://www.w3.org/2000/01/rdf-schema#comment","The number of accepted votes recorded for a candidacy."
"n0fb11ec76bcc4f3090d9dc028ff4dcd2b5","http://xmlns.com/foaf/0.1/name","Michael Smethurst"
"http://parliament.uk/ontologies/election/partyGained","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#DatatypeProperty"
"http://parliament.uk/ontologies/election/WinningCandidacyResult","http://www.w3.org/2000/01/rdf-schema#label","Winning candidacy result"
"http://parliament.uk/ontologies/election/recordedSize","http://www.w3.org/2000/01/rdf-schema#range","http://www.w3.org/2001/XMLSchema#integer"
"http://parliament.uk/ontologies/election/ofPopulation","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/election/"
"http://parliament.uk/ontologies/election/issuedBy","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/election/"
"http://parliament.uk/ontologies/election/issuedBy","http://www.w3.org/2000/01/rdf-schema#label","Issued by"
"n0fb11ec76bcc4f3090d9dc028ff4dcd2b3","http://xmlns.com/foaf/0.1/name","Ned Morrell"
"http://parliament.uk/ontologies/election/inElection","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/election/"
"http://parliament.uk/ontologies/election/ballotsSpoiled","http://www.w3.org/2000/01/rdf-schema#comment","The number of spoiled ballots cast by an electorate in an election, for example: ballots on which votes are given for more candidates than the voter is entitled to vote for, ballots on which anything is written or marked by which the voter can be identified, or ballots which are unmarked or where a mark does not sufficiently identify the vote. The number of spoiled ballots may be included in a calculation of turnout. Turnout as calculated by the House of Commons Library - and generally in academic usage - is the total number of votes cast and not spoiled, divided by the size of the electorate. Turnout as calculated by Returning Officers is the total number of votes cast, divided by the size of the electorate."
"http://parliament.uk/ontologies/election/declarationTime","http://www.w3.org/2000/01/rdf-schema#label","Declaration time"
"http://parliament.uk/ontologies/election/Election","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://parliament.uk/ontologies/election/ParliamentPeriod","http://www.w3.org/2000/01/rdf-schema#comment","The time period of a single Parliament between the date of its first assembly after a general election and its dissolution. A Parliament period contains contiguous session and prorogation periods. During a parliament period Parliament is either in session or prorogued. The start date of a Parliament may be changed by subsequent proclamations. A Parliament ends at the next dissolution. While the Fixed-term Parliaments Act 2011 was in force, the date of dissolution was determined by that Act or was named in a proclamation following a vote in Parliament for an early general election. The next Parliament began on the date named in the proclamation issued following a dissolution. Before the Fixed-term Parliaments Act 2011 came into force and after that Act was repealed by the Dissolution and Calling of Parliament Act 2022, the date of dissolution is fixed by proclamation. The dissolution proclamation also names the date for Parliament to reassemble. Parliament periods are the same across both Houses. Parliaments are numbered ordinally from the first Parliament of the United Kingdom, sitting in 1801."
"http://parliament.uk/ontologies/election/","http://xmlns.com/foaf/0.1/maker","n0fb11ec76bcc4f3090d9dc028ff4dcd2b1"
"http://parliament.uk/ontologies/election/eligibleToVoteIn","http://www.w3.org/2000/01/rdf-schema#range","http://parliament.uk/ontologies/election/Election"
"http://parliament.uk/ontologies/election/recordedDate","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#DatatypeProperty"
"http://parliament.uk/ontologies/election/PoliticalParty","http://www.w3.org/2000/01/rdf-schema#label","Political party"
"http://parliament.uk/ontologies/election/partyGained","http://www.w3.org/2000/01/rdf-schema#label","Party gained"
"http://parliament.uk/ontologies/election/","http://purl.org/dc/terms/title","Election ontology"
"http://parliament.uk/ontologies/election/candidateName","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#DatatypeProperty"
"http://parliament.uk/ontologies/election/ofPopulation","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty"
"http://parliament.uk/ontologies/election/isPartOfGeneralElection","http://www.w3.org/2000/01/rdf-schema#comment","Relates a constituency election held as part of a general election to that general election. A constituency election is related to one general election, or none."
"http://parliament.uk/ontologies/election/hasElectorate","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/election/"
"http://parliament.uk/ontologies/election/ParliamentPeriod","http://www.w3.org/2000/01/rdf-schema#label","Parliament period"
"http://parliament.uk/ontologies/election/isPartOfGeneralElection","http://www.w3.org/2000/01/rdf-schema#range","http://parliament.uk/ontologies/election/GeneralElection"
"http://parliament.uk/ontologies/election/recordedSize","http://www.w3.org/2000/01/rdf-schema#label","Recorded size"
"n0fb11ec76bcc4f3090d9dc028ff4dcd2b4","http://xmlns.com/foaf/0.1/homepage","http://symroe.co.uk/"
"http://parliament.uk/ontologies/election/hasElectorate","http://www.w3.org/2000/01/rdf-schema#range","http://parliament.uk/ontologies/election/Electorate"
"http://parliament.uk/ontologies/election/voteShare","http://www.w3.org/2000/01/rdf-schema#label","Vote share"
"http://parliament.uk/ontologies/election/ParliamentPeriod","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://parliament.uk/ontologies/election/eligibleToVoteIn","http://www.w3.org/2000/01/rdf-schema#label","Eligible to vote in"
"http://parliament.uk/ontologies/election/inElection","http://www.w3.org/2000/01/rdf-schema#range","http://parliament.uk/ontologies/election/Election"
"n0fb11ec76bcc4f3090d9dc028ff4dcd2b5","http://xmlns.com/foaf/0.1/homepage","http://smethur.st/"
"http://parliament.uk/ontologies/election/intoParliamentPeriod","http://www.w3.org/2000/01/rdf-schema#range","http://parliament.uk/ontologies/election/ParliamentPeriod"
"http://parliament.uk/ontologies/election/ConstituencyGroup","http://www.w3.org/2000/01/rdf-schema#comment","A group of people represented by an election winner."
"http://parliament.uk/ontologies/election/hasCertification","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty"
"http://parliament.uk/ontologies/election/hasCandidate","http://www.w3.org/2000/01/rdf-schema#comment","Relates a candidacy to a person being a candidate. A candidacy is of one person."
"http://parliament.uk/ontologies/election/","http://xmlns.com/foaf/0.1/depiction","https://ukparliament.github.io/ontologies/election/election.svg"
"http://parliament.uk/ontologies/election/recordedSize","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/election/"
"http://parliament.uk/ontologies/election/adjunctTo","http://www.w3.org/2000/01/rdf-schema#comment","Relates a certification to another certification to which it is adjunct, for example: relating a Co-operative Party certification to a Labour Party certification."
"http://parliament.uk/ontologies/election/inElection","http://www.w3.org/2000/01/rdf-schema#label","In election"
"http://parliament.uk/ontologies/election/Electorate","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://parliament.uk/ontologies/election/hasPoliticalParty","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/election/Candidacy"
"http://parliament.uk/ontologies/election/","http://xmlns.com/foaf/0.1/maker","n0fb11ec76bcc4f3090d9dc028ff4dcd2b3"
"http://parliament.uk/ontologies/election/hasCertification","http://www.w3.org/2000/01/rdf-schema#label","Has certification"
"http://parliament.uk/ontologies/election/ballotsSpoiled","http://www.w3.org/2000/01/rdf-schema#range","http://www.w3.org/2001/XMLSchema#integer"
"http://parliament.uk/ontologies/election/eligibleToVoteIn","http://www.w3.org/2000/01/rdf-schema#comment","Relates a group of people - who at the time of an election are eligible to vote in that election - to that election. An election has one electorate. An electorate is eligible to take part in one or more elections."
"http://parliament.uk/ontologies/election/GeneralElection","http://www.w3.org/2000/01/rdf-schema#label","General election"
"http://parliament.uk/ontologies/election/voteShare","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#DatatypeProperty"
"http://parliament.uk/ontologies/election/PoliticalParty","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://parliament.uk/ontologies/election/hasCandidacyResult","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/election/Candidacy"
"http://parliament.uk/ontologies/election/resultPosition","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#DatatypeProperty"
"http://parliament.uk/ontologies/election/","http://purl.org/dc/terms/created","2016-10-06"
"http://parliament.uk/ontologies/election/hasElectorate","http://www.w3.org/2000/01/rdf-schema#label","Has electorate"
"http://parliament.uk/ontologies/election/CandidacyResult","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/election/"
"http://parliament.uk/ontologies/election/boundedBy","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty"
"http://parliament.uk/ontologies/election/PopulationSize","http://www.w3.org/2000/01/rdf-schema#label","Population size"
"http://parliament.uk/ontologies/election/totalVotesCast","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/election/Election"
"http://parliament.uk/ontologies/election/hasPoliticalParty","http://www.w3.org/2000/01/rdf-schema#comment","Relates a candidacy to a political party."
"http://parliament.uk/ontologies/election/hasCertification","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/election/Candidacy"
"http://parliament.uk/ontologies/election/hasCandidate","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/election/Candidacy"
"http://parliament.uk/ontologies/election/ofPopulation","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/election/PopulationSize"
"http://parliament.uk/ontologies/election/recordedDate","http://www.w3.org/2000/01/rdf-schema#comment","The date on which a population size was recorded."
"http://parliament.uk/ontologies/election/hasCertification","http://www.w3.org/2000/01/rdf-schema#comment","Relates a candidacy to a certification by a political party of that candidacy. A candidacy has one or more certifications, or none. A certification is of one candidacy."
"http://parliament.uk/ontologies/election/issuedBy","http://www.w3.org/2000/01/rdf-schema#range","http://parliament.uk/ontologies/election/PoliticalParty"
"http://parliament.uk/ontologies/election/PoliticalParty","http://www.w3.org/2000/01/rdf-schema#comment","An organisation registered with the Electoral Commission as a political party."
"http://parliament.uk/ontologies/election/hasPoliticalParty","http://www.w3.org/2000/01/rdf-schema#range","http://parliament.uk/ontologies/election/PoliticalParty"
"http://parliament.uk/ontologies/election/PopulationSize","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/election/"
"http://parliament.uk/ontologies/election/Electorate","http://www.w3.org/2000/01/rdf-schema#label","Electorate"
"http://parliament.uk/ontologies/election/recordedDate","http://www.w3.org/2000/01/rdf-schema#range","http://www.w3.org/2001/XMLSchema#date"
"http://parliament.uk/ontologies/election/issuedBy","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty"
"http://parliament.uk/ontologies/election/issuedBy","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/election/Certification"
"http://parliament.uk/ontologies/election/isPartOfGeneralElection","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/election/"
"http://parliament.uk/ontologies/election/ConstituencyArea","http://www.w3.org/2000/01/rdf-schema#label","Constituency area"
"http://parliament.uk/ontologies/election/ConstituencyArea","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/election/"
"http://parliament.uk/ontologies/election/boundedBy","http://www.w3.org/2000/01/rdf-schema#comment","Relates a constituency group to a geographic area. Constituency groups represented in the House of Commons are within a constituency area. Some historical constituency groups had no defined geographical extent, for example: Oxford University. A boundary set change will result in the creation of both a new constituency area and a new constituency group. A constituency group is bounded by one constituency area, or none. A constituency area bounds one constituency group."
"http://parliament.uk/ontologies/election/ballotsSpoiled","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/election/"
"http://parliament.uk/ontologies/election/hasPoliticalParty","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty"
"http://parliament.uk/ontologies/election/candidateName","http://www.w3.org/2000/01/rdf-schema#range","http://www.w3.org/1999/02/22-rdf-syntax-ns#langString"
"http://parliament.uk/ontologies/election/candidateName","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/election/Candidacy"
"http://parliament.uk/ontologies/election/WinningCandidacyResult","http://www.w3.org/2000/01/rdf-schema#comment","Used to record the winning candidacy in an election."
"http://parliament.uk/ontologies/election/adjunctTo","http://www.w3.org/2000/01/rdf-schema#range","http://parliament.uk/ontologies/election/Certification"
"http://parliament.uk/ontologies/election/partyGained","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/election/WinningCandidacyResult"
"http://parliament.uk/ontologies/election/hasCandidacyResult","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty"
"http://parliament.uk/ontologies/election/intoParliamentPeriod","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/election/"
"http://parliament.uk/ontologies/election/Certification","http://www.w3.org/2000/01/rdf-schema#label","Certification"
"http://parliament.uk/ontologies/election/voteCount","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/election/CandidacyResult"
"http://parliament.uk/ontologies/election/boundedBy","http://www.w3.org/2000/01/rdf-schema#range","http://parliament.uk/ontologies/election/ConstituencyArea"
"http://parliament.uk/ontologies/election/partyGained","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/election/"
"http://parliament.uk/ontologies/election/Population","http://www.w3.org/2000/01/rdf-schema#comment","A set of people."
"http://parliament.uk/ontologies/election/hasCandidate","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty"
"n0fb11ec76bcc4f3090d9dc028ff4dcd2b1","http://xmlns.com/foaf/0.1/homepage","https://robert-brook.com/"
