"Subject","Predicate","Object"
"http://parliament.uk/people/609","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://parliament.uk/ontologies/house-membership/Member"
"http://parliament.uk/people/609","http://parliament.uk/ontologies/agency/givenName","George"
"http://parliament.uk/seat-incumbencies-interuptions/id","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://parliament.uk/ontologies/house-membership/Suspension"
"http://parliament.uk/geometries/pointid-2","http://parliament.uk/ontologies/place/lat","51.613912"
"http://parliament.uk/addresses/id-address","http://parliament.uk/ontologies/agency/addressLine2","London"
"http://parliament.uk/people/609","http://parliament.uk/ontologies/agency/hasGenderIdentity","http://parliament.uk/gender-identities/id-for-this-gender-identity"
"http://parliament.uk/seats/id","http://parliament.uk/ontologies/house-membership/hasSeatType","http://parliament.uk/seat-types/...?"
"http://parliament.uk/people/609","http://parliament.uk/ontologies/core/sortLabel","Galloway, Mr George"
"http://parliament.uk/people/609","http://parliament.uk/ontologies/agency/familyName","Galloway"
"http://parliament.uk/houses/commons","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://parliament.uk/ontologies/house-membership/House"
"http://parliament.uk/seats/id","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://parliament.uk/ontologies/house-membership/HouseSeat"
"http://parliament.uk/addresses/id-address","http://parliament.uk/ontologies/agency/addressLine1","House of Commons"
"http://parliament.uk/contact-details/id-contact-details-phone-number","http://parliament.uk/ontologies/agency/hasContactDetailsType","http://parliament.uk/contact-details-type/parliamentary"
"http://parliament.uk/candidacies/candidacies-id","http://parliament.uk/ontologies/election/hasCandidacyResult","http://parliament.uk/candidacy-results/candidacy-result-id"
"http://parliament.uk/seats/id","http://parliament.uk/ontologies/house-membership/representsConstituencyGroup","http://parliament.uk/constituency-groups/3355"
"http://parliament.uk/addresses/id-address","http://parliament.uk/ontologies/agency/postcode","SW1A 0AA"
"http://parliament.uk/elections/357","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://parliament.uk/ontologies/election/Election"
"http://parliament.uk/candidacy-results/candidacy-result-id","http://parliament.uk/ontologies/election/establishesIncumbency","http://parliament.uk/seat-incumbencies/id"
"http://parliament.uk/geometries/geometry-id","http://parliament.uk/ontologies/place/hasPoint","http://parliament.uk/geometries/pointid-4"
"http://parliament.uk/memberships/id-membership","http://parliament.uk/ontologies/agency/hasMembershipType","http://parliament.uk/membership-types/party-membership"
"http://parliament.uk/gender-identities/id","http://parliament.uk/ontologies/agency/hasGender","http://parliament.uk/genders/male"
"http://parliament.uk/seat-incumbencies-interuptions/id","http://parliament.uk/ontologies/core/endDate","2007-10-31"
"http://parliament.uk/elections/357","http://parliament.uk/ontologies/election/hasElectionType","http://parliament.uk/election-types/by-election"
"http://parliament.uk/contact-details/id-contact-details-address","http://parliament.uk/ontologies/agency/hasAddress","http://parliament.uk/addresses/id-address"
"http://parliament.uk/gender-identities/id","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://parliament.uk/ontologies/agency/GenderIdentity"
"http://parliament.uk/seat-incumbencies-interuptions/id","http://parliament.uk/ontologies/core/startDate","2007-10-08"
"http://parliament.uk/contact-details/id-contact-details-address","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://parliament.uk/ontologies/agency/ContactDetails"
"http://parliament.uk/people/609","http://parliament.uk/ontologies/agency/title","Mr"
"http://parliament.uk/geometries/pointid-2","http://parliament.uk/ontologies/place/long","-3.886136"
"http://parliament.uk/people/609","http://parliament.uk/ontologies/agency/hasContactDetails","http://parliament.uk/contact-details/id-contact-details-email"
"http://parliament.uk/seats/id","http://parliament.uk/ontologies/house-membership/hasSeatIncumbency","http://parliament.uk/seat-incumbencies/id"
"http://parliament.uk/elections/357","http://parliament.uk/ontologies/core/startDate","2012-03-29"
"http://parliament.uk/constituency-groups/3355","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://parliament.uk/ontologies/house-membership/ConstituencyGroup"
"http://parliament.uk/houses/commons","http://parliament.uk/ontologies/house-membership/hasHouseSeat","http://parliament.uk/seats/id"
"http://parliament.uk/contact-details/id-contact-details-website","http://parliament.uk/ontologies/agency/url","http://www.georgegalloway.com/"
"http://parliament.uk/seat-incumbencies/id","http://parliament.uk/ontologies/core/startDate","2012-03-30"
