"Subject","Predicate","Object"
"http://parliament.uk/ontologies/formal-body-affiliation/","http://xmlns.com/foaf/0.1/maker","nc73689a2b2cf4215be40b76283a0daefb3"
"http://parliament.uk/ontologies/formal-body-affiliation/","http://xmlns.com/foaf/0.1/depiction","https://ukparliament.github.io/ontologies/formal-body-affiliation/formal-body-affiliation.png"
"http://parliament.uk/ontologies/formal-body-affiliation/","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Ontology"
"http://parliament.uk/ontologies/formal-body-affiliation/CooptedMembership","http://www.w3.org/2000/01/rdf-schema#subClassOf","http://parliament.uk/ontologies/formal-body-affiliation/FormalBodyMembership"
"http://parliament.uk/ontologies/formal-body-affiliation/InternalExpert","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://parliament.uk/ontologies/formal-body-affiliation/PrincipalClerk","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://parliament.uk/ontologies/formal-body-affiliation/ExOfficioMembership","http://www.w3.org/2000/01/rdf-schema#label","Ex-officio membership"
"http://parliament.uk/ontologies/formal-body-affiliation/InternalExpert","http://www.w3.org/2000/01/rdf-schema#label","Internal expert"
"nc73689a2b2cf4215be40b76283a0daefb6","http://xmlns.com/foaf/0.1/name","Michael Smethurst"
"http://parliament.uk/ontologies/formal-body-affiliation/InternalExpert","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/formal-body-affiliation/"
"http://parliament.uk/ontologies/formal-body-affiliation/FormalBodyMembership","http://www.w3.org/2000/01/rdf-schema#label","Formal body membership"
"nc73689a2b2cf4215be40b76283a0daefb3","http://xmlns.com/foaf/0.1/name","Robert Brook"
"http://parliament.uk/ontologies/formal-body-affiliation/AlternateMembership","http://www.w3.org/2000/01/rdf-schema#label","Alternate membership"
"http://parliament.uk/ontologies/formal-body-affiliation/ExternalExpert","http://www.w3.org/2000/01/rdf-schema#subClassOf","http://parliament.uk/ontologies/formal-body-affiliation/FormalBodyPosition"
"http://parliament.uk/ontologies/formal-body-affiliation/FormalBodyPosition","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/formal-body-affiliation/"
"nc73689a2b2cf4215be40b76283a0daefb5","http://xmlns.com/foaf/0.1/name","Silver Oliver"
"nc73689a2b2cf4215be40b76283a0daefb2","http://xmlns.com/foaf/0.1/name","Gordon Clarke"
"nc73689a2b2cf4215be40b76283a0daefb7","http://xmlns.com/foaf/0.1/name","Anya Somerville"
"http://parliament.uk/ontologies/formal-body-affiliation/FormalBodyPosition","http://www.w3.org/2000/01/rdf-schema#label","Formal body position"
"nc73689a2b2cf4215be40b76283a0daefb6","http://xmlns.com/foaf/0.1/homepage","http://smethur.st/"
"http://parliament.uk/ontologies/formal-body-affiliation/PrincipalClerk","http://www.w3.org/2000/01/rdf-schema#subClassOf","http://parliament.uk/ontologies/formal-body-affiliation/FormalBodyPosition"
"http://parliament.uk/ontologies/formal-body-affiliation/","http://xmlns.com/foaf/0.1/maker","nc73689a2b2cf4215be40b76283a0daefb2"
"http://parliament.uk/ontologies/formal-body-affiliation/","http://xmlns.com/foaf/0.1/maker","nc73689a2b2cf4215be40b76283a0daefb4"
"http://parliament.uk/ontologies/formal-body-affiliation/AlternateMembership","http://www.w3.org/2000/01/rdf-schema#comment","Alternate members substitute for other members when those members are unable to attend: for example, the Lords Procedure Committee is supplemented by an alternate for each party grouping, an alternate for the Crossbenchers and an alternate for the Convenor. Alternate members receive papers to the formal body, even when not substituting for a member. When substituting for a member, alternate members are entitled to attend meetings and to vote."
"http://parliament.uk/ontologies/formal-body-affiliation/ExternalExpert","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/formal-body-affiliation/"
"http://parliament.uk/ontologies/formal-body-affiliation/Chair","http://www.w3.org/2000/01/rdf-schema#comment","The position of chair of a formal body. A formal body may have one or more incumbents in the chair position at the same time, or none. "
"http://parliament.uk/ontologies/formal-body-affiliation/FormalBodyMembership","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"nc73689a2b2cf4215be40b76283a0daefb3","http://xmlns.com/foaf/0.1/homepage","https://robert-brook.com/"
"http://parliament.uk/ontologies/formal-body-affiliation/FormalBodyMembership","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/formal-body-affiliation/"
"http://parliament.uk/ontologies/formal-body-affiliation/Chair","http://www.w3.org/2000/01/rdf-schema#label","Chair"
"http://parliament.uk/ontologies/formal-body-affiliation/AlternateMembership","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/formal-body-affiliation/"
