"Subject","Predicate","Object"
"http://parliament.uk/ontologies/formal-body/workPackageFocus","http://www.w3.org/2000/01/rdf-schema#range","http://parliament.uk/ontologies/formal-body/Focus"
"n923b7fed6b6b42dd806ab783162ac0f6b3","http://xmlns.com/foaf/0.1/name","Gordon Clark"
"http://parliament.uk/ontologies/formal-body/BusinessItem","http://www.w3.org/2000/01/rdf-schema#label","Business item"
"http://parliament.uk/ontologies/formal-body/undertakesWorkPackage","http://www.w3.org/2000/01/rdf-schema#label","Undertakes work package"
"http://parliament.uk/ontologies/formal-body/WorkPackage","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://parliament.uk/ontologies/formal-body/remit","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/formal-body/"
"http://parliament.uk/ontologies/formal-body/undertakesWorkPackage","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty"
"n923b7fed6b6b42dd806ab783162ac0f6b1","http://xmlns.com/foaf/0.1/name","James Bowman"
"http://parliament.uk/ontologies/formal-body/FormalBody","http://www.w3.org/2000/01/rdf-schema#label","Formal body"
"http://parliament.uk/ontologies/formal-body/WorkPackageType","http://www.w3.org/2000/01/rdf-schema#label","Work package type"
"http://parliament.uk/ontologies/formal-body/House","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://parliament.uk/ontologies/formal-body/hasInquiryScope","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty"
"http://parliament.uk/ontologies/formal-body/hasLeadHouse","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/formal-body/"
"http://parliament.uk/ontologies/formal-body/ParliamentaryCommittee","http://www.w3.org/2000/01/rdf-schema#comment","A parliamentary committee is constituted and has members appointed by one or both Houses, by means of a motion or Standing Order."
"http://parliament.uk/ontologies/formal-body/hasWorkPackageType","http://www.w3.org/2000/01/rdf-schema#comment","Relates a work package to the type of the work package, where the work package is not an inquiry."
"http://parliament.uk/ontologies/formal-body/hasAgent","http://www.w3.org/2000/01/rdf-schema#range","http://parliament.uk/ontologies/formal-body/FormalBody"
"http://parliament.uk/ontologies/formal-body/StatutoryCommittee","http://www.w3.org/2000/01/rdf-schema#label","Statutory Committee"
"http://parliament.uk/ontologies/formal-body/hasLeadHouse","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/formal-body/FormalBody"
"http://parliament.uk/ontologies/formal-body/InformallyConstitutedCommittee","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/formal-body/"
"http://parliament.uk/ontologies/formal-body/workPackageFocus","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/formal-body/"
"http://parliament.uk/ontologies/formal-body/Focus","http://www.w3.org/2000/01/rdf-schema#comment","A focus area for a formal body or work package, for example: a government department, a type of legislation, an item of legislation or a SKOS type concept."
"http://parliament.uk/ontologies/formal-body/","http://xmlns.com/foaf/0.1/maker","n923b7fed6b6b42dd806ab783162ac0f6b6"
"http://parliament.uk/ontologies/formal-body/formsPartOf","http://www.w3.org/2000/01/rdf-schema#range","http://parliament.uk/ontologies/formal-body/WorkPackage"
"http://parliament.uk/ontologies/formal-body/formalBodyFocus","http://www.w3.org/2000/01/rdf-schema#comment","Relates a formal body to the object of its focus."
"http://parliament.uk/ontologies/formal-body/hasAgent","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/formal-body/"
"http://parliament.uk/ontologies/formal-body/WorkPackage","http://www.w3.org/2000/01/rdf-schema#comment","A group of business items under a procedure or as determined by a committee, for example: business items considered during the passage of a particular Statutory Instrument or Public Bill, or during an inquiry by a Select Committee."
"http://parliament.uk/ontologies/formal-body/GeneralCommittee","http://www.w3.org/2000/01/rdf-schema#label","General Committee"
"http://parliament.uk/ontologies/formal-body/ParliamentaryCommittee","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://parliament.uk/ontologies/formal-body/NonSelectCommittee","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/formal-body/"
"http://parliament.uk/ontologies/formal-body/FocusCategory","http://www.w3.org/2000/01/rdf-schema#comment","A focus category provides a way to aggregate formal bodies by the type of thing they focus on or scrutinise, for example: a type of legislation, one or more government departments, matters specific to devolved nations. Eventually, the type of the thing focussed on may be derived from any ‘focus’ relationships, together with the types of the things being focussed on. Presently, the things that focus categories point at have insufficient definition to support a determination of their type, for example: the Scottish Grand Committee would have a library subject heading or concept of Scotland as a focus category, typed as a geographic entity rather than as a devolved nation. Aggregating a list of formal bodies with a focus on devolved nations would not be possible from the 'focus' relationships alone: the focus category gives a higher level means to group formal bodies by interest areas. A focus category is able to be populated regardless of whether the thing focussed on is sufficiently defined, for example: 'focus' may point to a named item of legislation, with the focus category recording that the formal body was constituted to scrutinise a specific item of legislation but without identifying which."
"http://parliament.uk/ontologies/formal-body/WorkPackageType","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/formal-body/"
"http://parliament.uk/ontologies/formal-body/workPackageFocus","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty"
"http://parliament.uk/ontologies/formal-body/Focus","http://www.w3.org/2000/01/rdf-schema#label","Focus"
"http://parliament.uk/ontologies/formal-body/hasParentWorkPackage","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/formal-body/"
"http://parliament.uk/ontologies/formal-body/SelectCommittee","http://www.w3.org/2000/01/rdf-schema#label","Select Committee"
"http://parliament.uk/ontologies/formal-body/belongsToHouse","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/formal-body/"
"http://parliament.uk/ontologies/formal-body/formsPartOf","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/formal-body/BusinessItem"
"http://parliament.uk/ontologies/formal-body/WorkPackageType","http://www.w3.org/2000/01/rdf-schema#comment","A description of the type of a work package. Whilst inquiries have a specific Inquiry subclass, work package type describes work packages which are not associated with inquiries, for example: a collection of hearings before a person is appointed to a public body or a set of hearings where a government minister appears before a committee."
"http://parliament.uk/ontologies/formal-body/","http://xmlns.com/foaf/0.1/maker","n923b7fed6b6b42dd806ab783162ac0f6b4"
"http://parliament.uk/ontologies/formal-body/Inquiry","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://parliament.uk/ontologies/formal-body/Focus","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/formal-body/"
"http://parliament.uk/ontologies/formal-body/WorkPackage","http://www.w3.org/2000/01/rdf-schema#label","Work package"
"http://parliament.uk/ontologies/formal-body/Inquiry","http://www.w3.org/2000/01/rdf-schema#label","Inquiry"
"http://parliament.uk/ontologies/formal-body/undertakesWorkPackage","http://www.w3.org/2000/01/rdf-schema#range","http://parliament.uk/ontologies/formal-body/WorkPackage"
"http://parliament.uk/ontologies/formal-body/belongsToHouse","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty"
"http://parliament.uk/ontologies/formal-body/SelectCommittee","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/formal-body/"
"http://parliament.uk/ontologies/formal-body/remit","http://www.w3.org/2000/01/rdf-schema#range","http://www.w3.org/1999/02/22-rdf-syntax-ns#langString"
"http://parliament.uk/ontologies/formal-body/","http://xmlns.com/foaf/0.1/maker","n923b7fed6b6b42dd806ab783162ac0f6b1"
"n923b7fed6b6b42dd806ab783162ac0f6b7","http://xmlns.com/foaf/0.1/name","Anya Somerville"
"http://parliament.uk/ontologies/formal-body/SelectCommittee","http://www.w3.org/2000/01/rdf-schema#subClassOf","http://parliament.uk/ontologies/formal-body/ParliamentaryCommittee"
"http://parliament.uk/ontologies/formal-body/belongsToHouse","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/formal-body/FormalBody"
"http://parliament.uk/ontologies/formal-body/belongsToHouse","http://www.w3.org/2000/01/rdf-schema#label","Belongs to House"
"http://parliament.uk/ontologies/formal-body/ParliamentaryCommittee","http://www.w3.org/2000/01/rdf-schema#label","Parliamentary committee"
"http://parliament.uk/ontologies/formal-body/","http://purl.org/dc/terms/description","A model describing formally constituted bodies, including committees."
"http://parliament.uk/ontologies/formal-body/FocusCategory","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/formal-body/"
"http://parliament.uk/ontologies/formal-body/ParliamentaryCommittee","http://www.w3.org/2000/01/rdf-schema#subClassOf","http://parliament.uk/ontologies/formal-body/FormalBody"
"http://parliament.uk/ontologies/formal-body/StatutoryCommittee","http://www.w3.org/2000/01/rdf-schema#comment","Statutory Committees are committees constituted by means of legislation, for example: the Ecclesiastical Committee, by the Church of England Assembly (Powers) Act 1919."
"http://parliament.uk/ontologies/formal-body/hasParentFormalBody","http://www.w3.org/2000/01/rdf-schema#range","http://parliament.uk/ontologies/formal-body/FormalBody"
"http://parliament.uk/ontologies/formal-body/hasInquiryScope","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/formal-body/Inquiry"
"http://parliament.uk/ontologies/formal-body/formsPartOf","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/formal-body/"
"http://parliament.uk/ontologies/formal-body/StatutoryCommittee","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/formal-body/"
"http://parliament.uk/ontologies/formal-body/NonSelectCommittee","http://www.w3.org/2000/01/rdf-schema#comment","The House of Lords has non-Select Committees, fulfilling a similar function to the General Committees of the House of Commons. Any Peer may attend, speak and vote in a non-Select Committee - including those not being members of the committee."
"http://parliament.uk/ontologies/formal-body/hasInquiryScope","http://www.w3.org/2000/01/rdf-schema#range","http://parliament.uk/ontologies/formal-body/InquiryScope"
"http://parliament.uk/ontologies/formal-body/formalBodyFocus","http://www.w3.org/2000/01/rdf-schema#label","Formal body focus"
"http://parliament.uk/ontologies/formal-body/hasLeadHouse","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty"
"http://parliament.uk/ontologies/formal-body/undertakesWorkPackage","http://www.w3.org/2000/01/rdf-schema#comment","Relates a formal body to a work package undertaken by the formal body. A joint inquiry will be undertaken by more than one formal body."
"http://parliament.uk/ontologies/formal-body/belongsToHouse","http://www.w3.org/2000/01/rdf-schema#range","http://parliament.uk/ontologies/formal-body/House"
"http://parliament.uk/ontologies/formal-body/NonSelectCommittee","http://www.w3.org/2000/01/rdf-schema#subClassOf","http://parliament.uk/ontologies/formal-body/ParliamentaryCommittee"
"http://parliament.uk/ontologies/formal-body/House","http://www.w3.org/2000/01/rdf-schema#label","House"
"http://parliament.uk/ontologies/formal-body/formalBodyFocus","http://www.w3.org/2000/01/rdf-schema#range","http://parliament.uk/ontologies/formal-body/Focus"
"http://parliament.uk/ontologies/formal-body/InformallyConstitutedCommittee","http://www.w3.org/2000/01/rdf-schema#label","Informally constituted committee"
"http://parliament.uk/ontologies/formal-body/FormalBody","http://www.w3.org/2000/01/rdf-schema#comment","A group formally constituted by Parliament to conduct specific business within Parliament, for example: a committee or a group acting as a committee. Formal groups are subject to parliamentary procedure and operate under parliamentary privilege. A formal body may be established by means of procedure - for example: by Standing Order - or by another process, for example: selection of the Advisory Panel on Works of Art by the Lords’ Speaker. A formal body may be established under statute, for example: the Intelligence and Security Committee of Parliament, by means of the Intelligence Services Act 1994 and the Justice and Security Act 2013. People in a formal body are Members of the House of Commons or of the House of Lords. A formal body may be joint, taking membership from both Houses. Groups with informally constituted memberships are not formal groups, for example: All-Party Parliamentary Groups. Informally constituted groups are not subject to parliamentary procedure and do not operate under parliamentary privilege."
"http://parliament.uk/ontologies/formal-body/hasParentFormalBody","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/formal-body/"
"http://parliament.uk/ontologies/formal-body/GeneralCommittee","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://parliament.uk/ontologies/formal-body/hasLeadHouse","http://www.w3.org/2000/01/rdf-schema#comment","A joint committee has a lead House, responsible for the administration of the committee."
"http://parliament.uk/ontologies/formal-body/formsPartOf","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty"
"http://parliament.uk/ontologies/formal-body/InquiryScope","http://www.w3.org/2000/01/rdf-schema#label","Inquiry scope"
"http://parliament.uk/ontologies/formal-body/Focus","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://parliament.uk/ontologies/formal-body/InformallyConstitutedCommittee","http://www.w3.org/2000/01/rdf-schema#subClassOf","http://parliament.uk/ontologies/formal-body/FormalBody"
"http://parliament.uk/ontologies/formal-body/BusinessItem","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/formal-body/"
"http://parliament.uk/ontologies/formal-body/hasWorkPackageType","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/formal-body/WorkPackage"
"n923b7fed6b6b42dd806ab783162ac0f6b6","http://xmlns.com/foaf/0.1/name","Michael Smethurst"
"http://parliament.uk/ontologies/formal-body/hasAgent","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty"
"http://parliament.uk/ontologies/formal-body/hasLeadHouse","http://www.w3.org/2000/01/rdf-schema#label","Has lead House"
"http://parliament.uk/ontologies/formal-body/hasWorkPackageType","http://www.w3.org/2000/01/rdf-schema#label","Has work package type"
"http://parliament.uk/ontologies/formal-body/formalBodyFocus","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/formal-body/"
"http://parliament.uk/ontologies/formal-body/StatutoryCommittee","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://parliament.uk/ontologies/formal-body/House","http://www.w3.org/2000/01/rdf-schema#comment","A parliamentary House, for example: the House of Lords."
"http://parliament.uk/ontologies/formal-body/InquiryScope","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/formal-body/"
"n923b7fed6b6b42dd806ab783162ac0f6b4","http://xmlns.com/foaf/0.1/name","Edward McCarthy"
"http://parliament.uk/ontologies/formal-body/FormalBody","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://parliament.uk/ontologies/formal-body/hasParentWorkPackage","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty"
"http://parliament.uk/ontologies/formal-body/","http://xmlns.com/foaf/0.1/maker","n923b7fed6b6b42dd806ab783162ac0f6b7"
"http://parliament.uk/ontologies/formal-body/InformallyConstitutedCommittee","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://parliament.uk/ontologies/formal-body/hasWorkPackageType","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/formal-body/"
"http://parliament.uk/ontologies/formal-body/remit","http://www.w3.org/2000/01/rdf-schema#comment","A textual description of the task or area of activity assigned to a formal body."
"http://parliament.uk/ontologies/formal-body/hasParentFormalBody","http://www.w3.org/2000/01/rdf-schema#comment","Relates a sub-committee to its parent committee. "
"http://parliament.uk/ontologies/formal-body/hasAgent","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/formal-body/BusinessItem"
"http://parliament.uk/ontologies/formal-body/GeneralCommittee","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/formal-body/"
"http://parliament.uk/ontologies/formal-body/","http://purl.org/dc/terms/rights","Open Parliament Licence v3.0"
"http://parliament.uk/ontologies/formal-body/InquiryScope","http://www.w3.org/2000/01/rdf-schema#comment","The scope or terms of reference of an inquiry, setting out the context, constraints and questions which the inquiry seeks to address."
"http://parliament.uk/ontologies/formal-body/","http://xmlns.com/foaf/0.1/maker","n923b7fed6b6b42dd806ab783162ac0f6b5"
"http://parliament.uk/ontologies/formal-body/GeneralCommittee","http://www.w3.org/2000/01/rdf-schema#subClassOf","http://parliament.uk/ontologies/formal-body/ParliamentaryCommittee"
"http://parliament.uk/ontologies/formal-body/NonSelectCommittee","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://parliament.uk/ontologies/formal-body/formsPartOf","http://www.w3.org/2000/01/rdf-schema#label","Forms part of"
"http://parliament.uk/ontologies/formal-body/WorkPackageType","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://parliament.uk/ontologies/formal-body/hasWorkPackageType","http://www.w3.org/2000/01/rdf-schema#range","http://parliament.uk/ontologies/formal-body/WorkPackageType"
"http://parliament.uk/ontologies/formal-body/hasWorkPackageType","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty"
"http://parliament.uk/ontologies/formal-body/FormalBody","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/formal-body/"
"http://parliament.uk/ontologies/formal-body/remit","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#DatatypeProperty"
"http://parliament.uk/ontologies/formal-body/","http://purl.org/dc/terms/title","Formal body ontology"
"http://parliament.uk/ontologies/formal-body/formalBodyFocus","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/formal-body/FormalBody"
"http://parliament.uk/ontologies/formal-body/BusinessItem","http://www.w3.org/2000/01/rdf-schema#comment","An item of business conducted either within or outside Parliament, for example: a second reading debate, the tabling of an Early Day Motion, a laying of a paper, the making of a Statutory Instrument by a government minister."
"http://parliament.uk/ontologies/formal-body/hasFocusCategory","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/formal-body/"
"http://parliament.uk/ontologies/formal-body/House","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/formal-body/"
"http://parliament.uk/ontologies/formal-body/hasParentWorkPackage","http://www.w3.org/2000/01/rdf-schema#label","Has parent work package"
