"Subject","Predicate","Object"
"http://parliament.uk/ontologies/government-organisation/Position","http://www.w3.org/2000/01/rdf-schema#label","Position"
"http://parliament.uk/ontologies/government-organisation/clerksRank","http://www.w3.org/2000/01/rdf-schema#label","clerksRank"
"http://parliament.uk/ontologies/government-organisation/statsRank","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/government-organisation/"
"http://parliament.uk/ontologies/government-organisation/AttendsCabinet","http://www.w3.org/2000/01/rdf-schema#label","AttendsCabinet"
"http://parliament.uk/ontologies/government-organisation/isPaid","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#DatatypeProperty"
"http://parliament.uk/ontologies/government-organisation/ministerialRank","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/government-organisation/"
"http://parliament.uk/ontologies/government-organisation/statsRank","http://www.w3.org/2000/01/rdf-schema#range","http://www.w3.org/1999/02/22-rdf-syntax-ns#langString"
"http://parliament.uk/ontologies/government-organisation/isPaid","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/government-organisation/"
"http://parliament.uk/ontologies/government-organisation/attendsCabinet","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty"
"http://parliament.uk/ontologies/government-organisation/hasRank","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty"
"http://parliament.uk/ontologies/government-organisation/governmentSortOrder","http://www.w3.org/2000/01/rdf-schema#range","http://www.w3.org/2001/XMLSchema#integer"
"http://parliament.uk/ontologies/government-organisation/AttendsCabinet","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/government-organisation/"
"http://parliament.uk/ontologies/government-organisation/oppositionSortOrder","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#DatatypeProperty"
"http://parliament.uk/ontologies/government-organisation/oppositionSortOrder","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/government-organisation/"
"http://parliament.uk/ontologies/government-organisation/Incumbency","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/government-organisation/"
"http://parliament.uk/ontologies/government-organisation/governmentSortOrder","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/government-organisation/GovernmentOrganisation"
"http://parliament.uk/ontologies/government-organisation/oppositionSortOrder","http://www.w3.org/2000/01/rdf-schema#label","oppositionSortOrder"
"http://parliament.uk/ontologies/government-organisation/Position","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://parliament.uk/ontologies/government-organisation/orderRank","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/government-organisation/GovernmentRank"
"http://parliament.uk/ontologies/government-organisation/governmentSortOrder","http://www.w3.org/2000/01/rdf-schema#label","governmentSortOrder"
"http://parliament.uk/ontologies/government-organisation/attendsCabinet","http://www.w3.org/2000/01/rdf-schema#comment","Relates a government position to cabinet attendance."
"http://parliament.uk/ontologies/government-organisation/Incumbency","http://www.w3.org/2000/01/rdf-schema#comment","A position held by a person for a period of time. e.g. Philip Hammond occupying the position of Foreign Secretary between two dates."
"http://parliament.uk/ontologies/government-organisation/clerksRank","http://www.w3.org/2000/01/rdf-schema#range","http://www.w3.org/1999/02/22-rdf-syntax-ns#langString"
"http://parliament.uk/ontologies/government-organisation/Group","http://www.w3.org/2000/01/rdf-schema#label","Group"
"http://parliament.uk/ontologies/government-organisation/statsRank","http://www.w3.org/2000/01/rdf-schema#label","statsRank"
"http://parliament.uk/ontologies/government-organisation/GovernmentPosition","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://parliament.uk/ontologies/government-organisation/AttendsCabinet","http://www.w3.org/2000/01/rdf-schema#comment","Used to determine if the person incumbent in a government position is able to attend cabinet. Possible values are always, never and when required."
"http://parliament.uk/ontologies/government-organisation/GovernmentRank","http://www.w3.org/2000/01/rdf-schema#comment","A packaging of ways to describe the rank of a government position. Different bodies have different ways to describe these."
"http://parliament.uk/ontologies/government-organisation/orderRank","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#DatatypeProperty"
"http://parliament.uk/ontologies/government-organisation/clerksRank","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#DatatypeProperty"
"http://parliament.uk/ontologies/government-organisation/GovernmentRank","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/government-organisation/"
"http://parliament.uk/ontologies/government-organisation/orderRank","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/government-organisation/"
"http://parliament.uk/ontologies/government-organisation/","http://purl.org/dc/terms/rights","Open Parliament Licence v3.0"
"http://parliament.uk/ontologies/government-organisation/paidToAttendCabinet","http://www.w3.org/2000/01/rdf-schema#range","http://www.w3.org/2001/XMLSchema#boolean"
"http://parliament.uk/ontologies/government-organisation/clerksRank","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/government-organisation/"
"http://parliament.uk/ontologies/government-organisation/ministerialRank","http://www.w3.org/2000/01/rdf-schema#label","ministerialRank"
"http://parliament.uk/ontologies/government-organisation/hasRank","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/government-organisation/GovernmentPosition"
"http://parliament.uk/ontologies/government-organisation/cabinetRank","http://www.w3.org/2000/01/rdf-schema#label","cabinetRank"
"http://parliament.uk/ontologies/government-organisation/cabinetRank","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/government-organisation/"
"http://parliament.uk/ontologies/government-organisation/ministerialRank","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#DatatypeProperty"
"http://parliament.uk/ontologies/government-organisation/","http://purl.org/dc/terms/created","2017-09-29"
"http://parliament.uk/ontologies/government-organisation/cabinetRank","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/government-organisation/GovernmentPosition"
"http://parliament.uk/ontologies/government-organisation/","http://purl.org/dc/terms/description","Government organisation ontology for UK Parliament"
"http://parliament.uk/ontologies/government-organisation/isLayingPosition","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/government-organisation/GovernmentPosition"
"http://parliament.uk/ontologies/government-organisation/hasRank","http://www.w3.org/2000/01/rdf-schema#label","hasRank"
"http://parliament.uk/ontologies/government-organisation/Group","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/government-organisation/"
"http://parliament.uk/ontologies/government-organisation/governmentSortOrder","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#DatatypeProperty"
"http://parliament.uk/ontologies/government-organisation/isPaid","http://www.w3.org/2000/01/rdf-schema#range","http://www.w3.org/2001/XMLSchema#boolean"
"http://parliament.uk/ontologies/government-organisation/clerksRank","http://www.w3.org/2000/01/rdf-schema#comment",""
"http://parliament.uk/ontologies/government-organisation/Incumbency","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
