"Subject","Predicate","Object"
"http://parliament.uk/ontologies/house-membership/","http://purl.org/dc/terms/title","House membership enabling ontology"
"nae73359a220644809f940dd8febbd8aeb2","http://xmlns.com/foaf/0.1/name","Michael Smethurst"
"http://parliament.uk/ontologies/house-membership-enabling/SeatIncumbency","http://www.w3.org/2000/01/rdf-schema#label","Seat incumbency"
"http://parliament.uk/ontologies/house-membership-enabling/SeatIncumbency","http://www.w3.org/2000/01/rdf-schema#comment","The occupation of a seat in a House by a person, for a period of time.  A person may have more than one incumbency over time. Only one person can be incumbent in a house seat at one time. A person having a seat incumbency which has a start date in the past and an end date in the future - or which has no end date - is a current Member. A person having a seat incumbency with an end date in the past - and no current incumbency - is an ex-Member."
"http://parliament.uk/ontologies/house-membership-enabling/seatIncumbencyEnabledBy","http://www.w3.org/2000/01/rdf-schema#label","Seat incumbency enabled by"
"http://parliament.uk/ontologies/house-membership-enabling/SeatIncumbencyEnablingThing","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/house-membership-enabling/"
"http://parliament.uk/ontologies/house-membership/","http://xmlns.com/foaf/0.1/depiction","https://ukparliament.github.io/ontologies/house-membership-enabling/house-membership-enabling.svg"
"http://parliament.uk/ontologies/house-membership-enabling/SeatIncumbencyEnablingThing","http://www.w3.org/2000/01/rdf-schema#comment",""
"http://parliament.uk/ontologies/house-membership-enabling/SeatIncumbency","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/house-membership-enabling/"
"http://parliament.uk/ontologies/house-membership-enabling/SeatIncumbencyEnablingThing","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"nae73359a220644809f940dd8febbd8aeb2","http://xmlns.com/foaf/0.1/homepage","http://smethur.st/"
"http://parliament.uk/ontologies/house-membership-enabling/seatIncumbencyEnabledBy","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty"
"http://parliament.uk/ontologies/house-membership/","http://purl.org/dc/terms/description","A model attaching House seats and seat incumbencies to the things they are enabled by."
"http://parliament.uk/ontologies/house-membership-enabling/houseSeatEnabledBy","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/house-membership-enabling/HouseSeat"
"http://parliament.uk/ontologies/house-membership-enabling/HouseSeat","http://www.w3.org/2000/01/rdf-schema#comment","A seat as a position in a House - rather than a physical seat or constituency - which may be allocated to a Member, for example: a seat in the House of Commons associated with a constituency - or a seat in the House of Lords allocated to the Archbishop of Canterbury, inherited by a hereditary peer or granted to a life peer."
"http://parliament.uk/ontologies/house-membership-enabling/SeatIncumbency","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://parliament.uk/ontologies/house-membership-enabling/seatIncumbencyEnabledBy","http://www.w3.org/2000/01/rdf-schema#comment","Relates a seat incumbency to the thing which enables the existence of that incumbency."
"http://parliament.uk/ontologies/house-membership-enabling/HouseSeatEnablingThing","http://www.w3.org/2000/01/rdf-schema#label","House seat enabling thing"
"http://parliament.uk/ontologies/house-membership-enabling/houseSeatEnabledBy","http://www.w3.org/2000/01/rdf-schema#comment","Relates a House seat to the thing which enables the existence of that seat."
"http://parliament.uk/ontologies/house-membership-enabling/seatIncumbencyEnabledBy","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/house-membership-enabling/"
"http://parliament.uk/ontologies/house-membership/","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Ontology"
"http://parliament.uk/ontologies/house-membership/","http://purl.org/dc/terms/created","2022-05-18"
"http://parliament.uk/ontologies/house-membership/","http://xmlns.com/foaf/0.1/maker","nae73359a220644809f940dd8febbd8aeb2"
