"Subject","Predicate","Object"
"http://parliament.uk/ontologies/house-membership/inHouse","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/house-membership/"
"http://parliament.uk/ontologies/house-membership/inHouseSeat","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/house-membership/"
"http://parliament.uk/ontologies/house-membership/hasIncumbent","http://www.w3.org/2000/01/rdf-schema#range","http://parliament.uk/ontologies/house-membership/Person"
"http://parliament.uk/ontologies/house-membership/inHouse","http://www.w3.org/2000/01/rdf-schema#comment","Relates a seat in a House to the House that seat is in."
"http://parliament.uk/ontologies/house-membership/LeaveOfAbsence","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/house-membership/"
"http://parliament.uk/ontologies/house-membership/intendsToStandDown","http://www.w3.org/2000/01/rdf-schema#label","Intends to stand down"
"http://parliament.uk/ontologies/house-membership/SeatIncumbency","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://parliament.uk/ontologies/house-membership/SeatIncumbencyInterruption","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://parliament.uk/ontologies/house-membership/Person","http://www.w3.org/2000/01/rdf-schema#comment","A person."
"http://parliament.uk/ontologies/house-membership/swearingInOrder","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/house-membership/SeatIncumbency"
"http://parliament.uk/ontologies/house-membership/SeatIncumbencyInterruption","http://www.w3.org/2000/01/rdf-schema#label","Seat incumbency interruption"
"http://parliament.uk/ontologies/house-membership/","http://purl.org/dc/terms/title","House membership ontology"
"http://parliament.uk/ontologies/house-membership/SeatIncumbency","http://www.w3.org/2000/01/rdf-schema#comment","The occupation of a seat in a House by a person, for a period of time.  A person may have more than one incumbency over time. Only one person can be incumbent in a house seat at one time. A person having a seat incumbency which has a start date in the past and an end date in the future - or which has no end date - is a current Member. A person having a seat incumbency with an end date in the past - and no current incumbency - is an ex-Member."
"http://parliament.uk/ontologies/house-membership/Person","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://parliament.uk/ontologies/house-membership/hasEndReason","http://www.w3.org/2000/01/rdf-schema#label","Has end reason"
"http://parliament.uk/ontologies/house-membership/representsConstituencyGroup","http://www.w3.org/2000/01/rdf-schema#range","http://parliament.uk/ontologies/house-membership/ConstituencyGroup"
"http://parliament.uk/ontologies/house-membership/hasDisqualificationType","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty"
"http://parliament.uk/ontologies/house-membership/House","http://www.w3.org/2000/01/rdf-schema#comment","A parliamentary House, for example: the House of Lords."
"http://parliament.uk/ontologies/house-membership/Disqualification","http://www.w3.org/2000/01/rdf-schema#label","Disqualification"
"http://parliament.uk/ontologies/house-membership/hasIncumbent","http://www.w3.org/2000/01/rdf-schema#comment","Relates a seat incumbency to a person."
"http://parliament.uk/ontologies/house-membership/ConstituencyGroup","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://parliament.uk/ontologies/house-membership/Suspension","http://www.w3.org/2000/01/rdf-schema#comment","A period of exclusion of a Member during which the Member is not authorised to sit in a House."
"http://parliament.uk/ontologies/house-membership/Person","http://www.w3.org/2000/01/rdf-schema#label","Person"
"http://parliament.uk/ontologies/house-membership/HouseSeat","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://parliament.uk/ontologies/house-membership/HouseSeatType","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://parliament.uk/ontologies/house-membership/hasIncumbent","http://www.w3.org/2000/01/rdf-schema#label","Has incumbent"
"http://parliament.uk/ontologies/house-membership/hasSeatIncumbencyInterruption","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/house-membership/SeatIncumbency"
"http://parliament.uk/ontologies/house-membership/representsConstituencyGroup","http://www.w3.org/2000/01/rdf-schema#label","Represents constituency group"
"http://parliament.uk/ontologies/house-membership/Suspension","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://parliament.uk/ontologies/house-membership/hasEndReason","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/house-membership/SeatIncumbency"
"http://parliament.uk/ontologies/house-membership/Disqualification","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://parliament.uk/ontologies/house-membership/Person","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/house-membership/"
"http://parliament.uk/ontologies/house-membership/HouseSeat","http://www.w3.org/2000/01/rdf-schema#comment","A seat as a position in a House - rather than a physical seat or constituency - which may be allocated to a Member, for example: a seat in the House of Commons associated with a constituency - or a seat in the House of Lords allocated to the Archbishop of Canterbury, inherited by a hereditary peer or granted to a life peer."
"http://parliament.uk/ontologies/house-membership/swearingInOrder","http://www.w3.org/2000/01/rdf-schema#label","Swearing in order"
"http://parliament.uk/ontologies/house-membership/SeatIncumbency","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/house-membership/"
"http://parliament.uk/ontologies/house-membership/LeaveOfAbsence","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://parliament.uk/ontologies/house-membership/SeatIncumbencyInterruption","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/house-membership/"
"http://parliament.uk/ontologies/house-membership/House","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://parliament.uk/ontologies/house-membership/inHouseSeat","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/house-membership/SeatIncumbency"
"http://parliament.uk/ontologies/house-membership/HouseSeat","http://www.w3.org/2000/01/rdf-schema#label","House seat"
"http://parliament.uk/ontologies/house-membership/DisqualificationType","http://www.w3.org/2000/01/rdf-schema#comment","The type of disqualification of a disqualified Member, for example: in the House of Commons, on the grounds of being a Peer or Lord Spiritual in the House of Lords, or being convicted of treason under the Forfeiture Act 1870 - in the House of Lords, on the grounds of holding judicial office, being a Member of the European Parliament, or being bankrupt."
"http://parliament.uk/ontologies/house-membership/House","http://www.w3.org/2000/01/rdf-schema#label","House"
"http://parliament.uk/ontologies/house-membership/hasHouseSeatType","http://www.w3.org/2000/01/rdf-schema#label","Has House seat type"
"http://parliament.uk/ontologies/house-membership/hasDisqualificationType","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/house-membership/Disqualification"
"http://parliament.uk/ontologies/house-membership/swearingInOrder","http://www.w3.org/2000/01/rdf-schema#comment","The order in which Members take an oath or make an affirmation at the beginning of a new Parliament or following a by-election. Swearing in order may be used in determining the longest serving member of a House, known as the Father or Mother of the House."
"http://parliament.uk/ontologies/house-membership/ConstituencyGroup","http://www.w3.org/2000/01/rdf-schema#label","Constituency group"
"http://parliament.uk/ontologies/house-membership/hasDisqualificationType","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/house-membership/"
"http://parliament.uk/ontologies/house-membership/inParliamentPeriod","http://www.w3.org/2000/01/rdf-schema#comment","Relates a seat incumbency to the Parliament period the incumbency is contained by."
"http://parliament.uk/ontologies/house-membership/hasDisqualificationType","http://www.w3.org/2000/01/rdf-schema#range","http://parliament.uk/ontologies/house-membership/DisqualificationType"
"http://parliament.uk/ontologies/house-membership/swearingInOrder","http://www.w3.org/2000/01/rdf-schema#range","http://www.w3.org/2001/XMLSchema#integer"
"http://parliament.uk/ontologies/house-membership/ParliamentPeriod","http://www.w3.org/2000/01/rdf-schema#label","Parliament period"
"http://parliament.uk/ontologies/house-membership/hasSeatIncumbencyInterruption","http://www.w3.org/2000/01/rdf-schema#label","Has seat incumbency interruption"
"http://parliament.uk/ontologies/house-membership/LeaveOfAbsence","http://www.w3.org/2000/01/rdf-schema#label","Leave of absence"
"http://parliament.uk/ontologies/house-membership/ParliamentPeriod","http://www.w3.org/2000/01/rdf-schema#comment","The time period of a single Parliament between the date of its first assembly after a general election and its dissolution. A Parliament period contains contiguous session and prorogation periods: during a parliament period Parliament is either in session or prorogued. Until 2015, the dissolution proclamation named the date for Parliament to reassemble. After 2015, a Parliament begins on the date named in the proclamation issued after a dissolution. The start date of a Parliament may be changed by subsequent proclamations. A Parliament ends at the next dissolution. Until 2015 the date of dissolution was indeterminate and fixed by proclamation. After 2015 the date of dissolution is determined by the Fixed Term Parliament Act 2011, or is named in a proclamation after Parliament has voted for an early general election. Parliament periods are the same across both Houses. Parliaments are numbered ordinally from the first Parliament of the United Kingdom, sitting in 1801."
"http://parliament.uk/ontologies/house-membership/hasIncumbent","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/house-membership/SeatIncumbency"
"http://parliament.uk/ontologies/house-membership/inParliamentPeriod","http://www.w3.org/2000/01/rdf-schema#label","In Parliament period"
"http://parliament.uk/ontologies/house-membership/ConstituencyGroup","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/house-membership/"
"http://parliament.uk/ontologies/house-membership/intendsToStandDown","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#DatatypeProperty"
"http://parliament.uk/ontologies/house-membership/HouseSeatType","http://www.w3.org/2000/01/rdf-schema#label","House seat type"
"http://parliament.uk/ontologies/house-membership/hasHouseSeatType","http://www.w3.org/2000/01/rdf-schema#comment","Relates a seat in a House to a seat type."
"http://parliament.uk/ontologies/house-membership/","http://purl.org/dc/terms/rights","Open Parliament Licence v3.0"
"http://parliament.uk/ontologies/house-membership/Disqualification","http://www.w3.org/2000/01/rdf-schema#subClassOf","http://parliament.uk/ontologies/house-membership/SeatIncumbencyInterruption"
"http://parliament.uk/ontologies/house-membership/representsConstituencyGroup","http://www.w3.org/2000/01/rdf-schema#comment","Relates a seat in a House to a constituency group."
