"Subject","Predicate","Object"
"http://parliament.uk/ontologies/interface/Laying","http://www.w3.org/2002/07/owl#equivalentClass","http://parliament.uk/ontologies/laying/Laying"
"http://parliament.uk/ontologies/interface/","http://www.w3.org/2002/07/owl#imports","https://ukparliament.github.io/ontologies/agency/agency-ontology.ttl"
"http://parliament.uk/ontologies/interface/","http://xmlns.com/foaf/0.1/maker","n8938dd9d915c49afb07e4773332394e5b1"
"http://parliament.uk/ontologies/interface/ParliamentPeriod","http://www.w3.org/2000/01/rdf-schema#label","Parliament period"
"http://parliament.uk/ontologies/laying/House","http://www.w3.org/2000/01/rdf-schema#subClassOf","http://parliament.uk/ontologies/agency/Group"
"http://parliament.uk/ontologies/interface/","http://www.w3.org/2002/07/owl#imports","https://ukparliament.github.io/ontologies/legislation/legislation-ontology.ttl"
"http://parliament.uk/ontologies/interface/","http://www.w3.org/2002/07/owl#imports","https://ukparliament.github.io/ontologies/election/election-ontology.ttl"
"http://parliament.uk/ontologies/laying/LayingBody","http://www.w3.org/2000/01/rdf-schema#subClassOf","http://parliament.uk/ontologies/agency/Group"
"http://parliament.uk/ontologies/interface/LayingDuty","http://www.w3.org/2002/07/owl#equivalentClass","http://parliament.uk/ontologies/laying/LayingDuty"
"http://parliament.uk/ontologies/treaty/TreatyAsLaid","http://www.w3.org/2000/01/rdf-schema#subClassOf","http://parliament.uk/ontologies/laying/LaidPaper"
"http://parliament.uk/ontologies/formal-body/FormalBody","http://www.w3.org/2000/01/rdf-schema#subClassOf","http://parliament.uk/ontologies/agency/Group"
"http://parliament.uk/ontologies/interface/WorkPackage","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/interface/"
"http://parliament.uk/ontologies/interface/Place","http://www.w3.org/2000/01/rdf-schema#comment","A place named in a geography."
"http://parliament.uk/ontologies/legislation/ProposedNegativeStatutoryInstrument","http://www.w3.org/2000/01/rdf-schema#subClassOf","http://parliament.uk/ontologies/laying/WithdrawnPaper"
"http://parliament.uk/ontologies/interface/","http://xmlns.com/foaf/0.1/maker","n8938dd9d915c49afb07e4773332394e5b3"
"http://parliament.uk/ontologies/interface/","http://www.w3.org/2002/07/owl#imports","https://ukparliament.github.io/ontologies/formal-body/formal-body-ontology.ttl"
"http://parliament.uk/ontologies/interface/","http://www.w3.org/2002/07/owl#imports","https://ukparliament.github.io/ontologies/procedure-step-annotation/procedure-step-annotation-ontology.ttl"
"http://parliament.uk/ontologies/interface/Session","http://www.w3.org/2000/01/rdf-schema#comment","The period during which Parliament is convened. The first session of a parliament begins on the same day as the parliament period: this date is given in the dissolution proclamation at the end of the previous parliament. The session ends on the day set in a subsequent prorogation proclamation. Subsequent sessions within the parliament period begin and end on dates set in subsequent prorogation proclamations. The last session of a parliament ends with prorogation followed by dissolution. Session periods are the same for both Houses."
"http://parliament.uk/ontologies/interface/BusinessStep","http://www.w3.org/2002/07/owl#equivalentClass","http://parliament.uk/ontologies/procedure/BusinessStep"
"http://parliament.uk/ontologies/parliamentary-bloc/PoliticalParty","http://www.w3.org/2000/01/rdf-schema#subClassOf","http://parliament.uk/ontologies/agency/Group"
"http://parliament.uk/ontologies/interface/BusinessStep","http://www.w3.org/2000/01/rdf-schema#comment","A business step is a step that can be actualised by a business item."
"http://parliament.uk/ontologies/interface/PoliticalParty","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/interface/"
"http://parliament.uk/ontologies/interface/House","http://www.w3.org/2002/07/owl#equivalentClass","http://parliament.uk/ontologies/laying/House"
"http://parliament.uk/ontologies/interface/Person","http://www.w3.org/2002/07/owl#equivalentClass","http://parliament.uk/ontologies/parliamentary-bloc/Person"
"http://parliament.uk/ontologies/interface/House","http://www.w3.org/2002/07/owl#equivalentClass","http://parliament.uk/ontologies/making-available/House"
