"Subject","Predicate","Object"
"http://parliament.uk/ontologies/laying/LayingAuthority","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/laying/"
"http://parliament.uk/ontologies/laying/hasLayingBody","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/laying/LayingOrWithdrawal"
"http://parliament.uk/ontologies/laying/","http://purl.org/dc/terms/title","Laying ontology"
"http://parliament.uk/ontologies/laying/","http://xmlns.com/foaf/0.1/maker","n4eb03fcd4e82470694c5962f7903f709b2"
"http://parliament.uk/ontologies/laying/","http://purl.org/dc/terms/created","2018-02-06"
"http://parliament.uk/ontologies/laying/laidOn","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/laying/"
"http://parliament.uk/ontologies/laying/laidOn","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#DatatypeProperty"
"http://parliament.uk/ontologies/laying/hasSession","http://www.w3.org/2000/01/rdf-schema#range","http://parliament.uk/ontologies/laying/Session"
"http://parliament.uk/ontologies/laying/Person","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://parliament.uk/ontologies/laying/Session","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/laying/"
"http://parliament.uk/ontologies/laying/withdrawnOn","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#DatatypeProperty"
"http://parliament.uk/ontologies/laying/LayingOrWithdrawal","http://www.w3.org/2000/01/rdf-schema#label","Laying or withdrawal"
"http://parliament.uk/ontologies/laying/Person","http://www.w3.org/2000/01/rdf-schema#comment","A person."
"http://parliament.uk/ontologies/laying/hasLayingPerson","http://www.w3.org/2000/01/rdf-schema#comment","Relates an act of laying a paper to the person laying it."
"http://parliament.uk/ontologies/laying/LayingOrWithdrawal","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/laying/"
"http://parliament.uk/ontologies/laying/LayingDuty","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"n4eb03fcd4e82470694c5962f7903f709b3","http://xmlns.com/foaf/0.1/name","Michael Smethurst"
"http://parliament.uk/ontologies/laying/replaces","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/laying/"
"http://parliament.uk/ontologies/laying/hasLayingAuthority","http://www.w3.org/2000/01/rdf-schema#range","http://parliament.uk/ontologies/laying/LayingAuthority"
"http://parliament.uk/ontologies/laying/hasLayingPerson","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/laying/Laying"
"http://parliament.uk/ontologies/laying/lays","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty"
"http://parliament.uk/ontologies/laying/Withdrawal","http://www.w3.org/2000/01/rdf-schema#comment","The act of withdrawing a paper previously laid before a House."
"http://parliament.uk/ontologies/laying/lays","http://www.w3.org/2000/01/rdf-schema#comment","Relates an act of laying a paper to the paper which has been laid."
"n4eb03fcd4e82470694c5962f7903f709b4","http://xmlns.com/foaf/0.1/name","Anya Somerville"
"n4eb03fcd4e82470694c5962f7903f709b2","http://xmlns.com/foaf/0.1/name","Stephen McGinness"
"http://parliament.uk/ontologies/laying/WithdrawnPaper","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://parliament.uk/ontologies/laying/hasLayingAuthority","http://www.w3.org/2000/01/rdf-schema#label","Has laying authority"
"http://parliament.uk/ontologies/laying/","http://purl.org/dc/terms/description","A model describing the process of laying papers before a House and any subsequent withdrawal and replacement."
"http://parliament.uk/ontologies/laying/hasHouse","http://www.w3.org/2000/01/rdf-schema#comment","Relates an act of laying or withdrawing a paper to the House in which the paper is laid or withdrawn."
"http://parliament.uk/ontologies/laying/withdraws","http://www.w3.org/2000/01/rdf-schema#comment","Relates an act of withdrawing a paper to the paper which has been withdrawn."
"http://parliament.uk/ontologies/laying/Withdrawal","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/laying/"
"http://parliament.uk/ontologies/laying/","http://xmlns.com/foaf/0.1/maker","n4eb03fcd4e82470694c5962f7903f709b1"
"http://parliament.uk/ontologies/laying/hasHouse","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty"
"http://parliament.uk/ontologies/laying/hasLayingAuthority","http://www.w3.org/2000/01/rdf-schema#comment","Relates an act of laying a paper to a laying authority."
