"Subject","Predicate","Object"
"http://parliament.uk/ontologies/legislation/isbn","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#DatatypeProperty"
"http://parliament.uk/ontologies/legislation/comingIntoForceNote","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/legislation/DraftAndMadeStatutoryInstrumentSubjectToParliamentaryProcedure"
"http://parliament.uk/ontologies/legislation/StatutoryInstrumentSeries","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://parliament.uk/ontologies/legislation/EnablingThing","http://www.w3.org/2000/01/rdf-schema#comment","A thing that enables the exercise of a power."
"http://parliament.uk/ontologies/legislation/MadeStatutoryInstrument","http://www.w3.org/2000/01/rdf-schema#label","Made statutory instrument"
"http://parliament.uk/ontologies/legislation/embodiedAsMadeStatutoryInstrument","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/legislation/DraftAndMadeStatutoryInstrumentSubjectToParliamentaryProcedure"
"http://parliament.uk/ontologies/legislation/chapterNumber","http://www.w3.org/2000/01/rdf-schema#label","Chapter number"
"http://parliament.uk/ontologies/legislation/inSeries","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/legislation/"
"http://parliament.uk/ontologies/legislation/chapterNumber","http://www.w3.org/2000/01/rdf-schema#range","http://www.w3.org/2000/01/rdf-schema#Literal"
"n54ca937250d04711839e76a9e2dedd5ab6","http://xmlns.com/foaf/0.1/name","Lucinda Maer"
"http://parliament.uk/ontologies/legislation/asSeriesItem","http://www.w3.org/2000/01/rdf-schema#range","http://parliament.uk/ontologies/legislation/StatutoryInstrumentSeriesItem"
"http://parliament.uk/ontologies/legislation/siYear","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/legislation/"
"http://parliament.uk/ontologies/legislation/siIdentiferInYear","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/legislation/MadeStatutoryInstrument"
"http://parliament.uk/ontologies/legislation/","http://xmlns.com/foaf/0.1/depiction","https://ukparliament.github.io/ontologies/legislation/legislation.png"
"http://parliament.uk/ontologies/legislation/","http://xmlns.com/foaf/0.1/maker","n54ca937250d04711839e76a9e2dedd5ab4"
"http://parliament.uk/ontologies/legislation/comingIntoForceDate","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/legislation/DraftAndMadeStatutoryInstrumentSubjectToParliamentaryProcedure"
"http://parliament.uk/ontologies/legislation/embodiedAsDraftStatutoryInstrument","http://www.w3.org/2000/01/rdf-schema#range","http://parliament.uk/ontologies/legislation/DraftStatutoryInstrument"
"http://parliament.uk/ontologies/legislation/siPrefix","http://www.w3.org/2000/01/rdf-schema#range","http://www.w3.org/2000/01/rdf-schema#Literal"
"http://parliament.uk/ontologies/legislation/madeUnder","http://www.w3.org/2000/01/rdf-schema#label","Made under"
"http://parliament.uk/ontologies/legislation/","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Ontology"
"http://parliament.uk/ontologies/legislation/siIdentiferInYear","http://www.w3.org/2000/01/rdf-schema#comment","The identifier in year part of a statutory instrument number, for example, '925' in 'SI 1986/925'."
"http://parliament.uk/ontologies/legislation/ProposedDraftRemedialOrder","http://www.w3.org/2000/01/rdf-schema#comment","A proposal for a draft remedial order. Under paragraph 3(1) of schedule 2 of the Human Rights Act 1998, the Minister has a duty to lay before Parliament 'a document which contains a draft of the proposed order'. This document must sit before Parliament for a period of 60 days, beginning with the day on which it was laid."
"http://parliament.uk/ontologies/legislation/StatutoryInstrumentSeries","http://www.w3.org/2000/01/rdf-schema#label","Statutory instrument series"
"http://parliament.uk/ontologies/legislation/asSeriesItem","http://www.w3.org/2000/01/rdf-schema#label","As series item"
"http://parliament.uk/ontologies/legislation/isbn","http://www.w3.org/2000/01/rdf-schema#comment","An identifier conforming to the ISBN standard."
"http://parliament.uk/ontologies/legislation/siSeriesItemIdentifier","http://www.w3.org/2000/01/rdf-schema#range","http://www.w3.org/2000/01/rdf-schema#Literal"
"n54ca937250d04711839e76a9e2dedd5ab7","http://xmlns.com/foaf/0.1/name","Silver Oliver"
