"Subject","Predicate","Object"
"http://parliament.uk/ontologies/making-available/toHouse","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/making-available/"
"http://parliament.uk/ontologies/making-available/Session","http://www.w3.org/2000/01/rdf-schema#label","Session"
"http://parliament.uk/ontologies/making-available/","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Ontology"
"http://parliament.uk/ontologies/making-available/Presenting","http://www.w3.org/2000/01/rdf-schema#label","Presenting"
"http://parliament.uk/ontologies/making-available/Presenting","http://www.w3.org/2000/01/rdf-schema#comment","The act of presenting materials to a House."
"http://parliament.uk/ontologies/making-available/House","http://www.w3.org/2000/01/rdf-schema#label","House"
"http://parliament.uk/ontologies/making-available/MakingAvailable","http://www.w3.org/2000/01/rdf-schema#label","Making available"
"http://parliament.uk/ontologies/making-available/","http://purl.org/dc/terms/rights","Open Parliament Licence v3.0"
"n5e2b71ca5d834dc19ad9c9705a532220b4","http://xmlns.com/foaf/0.1/name","Anya Somerville"
"http://parliament.uk/ontologies/making-available/Session","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://parliament.uk/ontologies/making-available/toHouse","http://www.w3.org/2000/01/rdf-schema#comment","Relates an act of making materials available to a House, to the House in which they are made available."
"http://parliament.uk/ontologies/making-available/Session","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/making-available/"
"http://parliament.uk/ontologies/making-available/Laying","http://www.w3.org/2000/01/rdf-schema#subClassOf","http://parliament.uk/ontologies/making-available/MakingAvailable"
"http://parliament.uk/ontologies/making-available/MakingAvailable","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://parliament.uk/ontologies/making-available/inSession","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty"
"http://parliament.uk/ontologies/making-available/","http://purl.org/dc/terms/title","Making available ontology"
"http://parliament.uk/ontologies/making-available/MakingAvailable","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/making-available/"
"http://parliament.uk/ontologies/making-available/inSession","http://www.w3.org/2000/01/rdf-schema#range","http://parliament.uk/ontologies/making-available/Session"
"http://parliament.uk/ontologies/making-available/","http://purl.org/dc/terms/description","A model describing the means of making material available to a House, for example: by presenting, laying or depositing."
"http://parliament.uk/ontologies/making-available/MakingAvailable","http://www.w3.org/2000/01/rdf-schema#comment","The act of making materials available to a House or to a House by means of its library."
"http://parliament.uk/ontologies/making-available/House","http://www.w3.org/2000/01/rdf-schema#comment","A parliamentary House, for example: the House of Lords."
"http://parliament.uk/ontologies/making-available/Laying","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://parliament.uk/ontologies/making-available/inSession","http://www.w3.org/2000/01/rdf-schema#label","In session"
"http://parliament.uk/ontologies/making-available/inSession","http://www.w3.org/2000/01/rdf-schema#comment","Relates an act of making materials available to a House, to the session in which they are made available."
"http://parliament.uk/ontologies/making-available/inSession","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/making-available/MakingAvailable"
"n5e2b71ca5d834dc19ad9c9705a532220b1","http://xmlns.com/foaf/0.1/homepage","https://robert-brook.com/"
