"Subject","Predicate","Object"
"http://parliament.uk/ontologies/appg/receivedBenefit","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/appg/APPG"
"n3410bba2d3b745b5b2f1380409ea9691b4","http://xmlns.com/foaf/0.1/name","Robert Brook"
"http://parliament.uk/ontologies/appg/hasRegisteredContact","http://www.w3.org/2000/01/rdf-schema#label","hasRegisteredContact"
"http://parliament.uk/ontologies/appg/","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Ontology"
"http://parliament.uk/ontologies/appg/dateReceived","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/appg/RegisteredBenefit"
"http://parliament.uk/ontologies/appg/FinancialBenefit","http://www.w3.org/2000/01/rdf-schema#comment","A financial benefit received by the group where the total value of the benefit from that source exceeds £1500 and the benefit was received on or after the date of the group’s Inaugural Meeting."
"http://parliament.uk/ontologies/appg/BenefitInKind","http://www.w3.org/2000/01/rdf-schema#label","BenefitInKind"
"http://parliament.uk/ontologies/appg/Member","http://www.w3.org/2000/01/rdf-schema#comment","A current or former Member of a House."
"http://xmlns.com/foaf/0.1/homepage","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#AnnotationProperty"
"http://parliament.uk/ontologies/appg/hasSecretariatRole","http://www.w3.org/2000/01/rdf-schema#comment","Relates an external group to an APPG where they are providing secretariat (administrative) services to that APPG."
"http://parliament.uk/ontologies/appg/RegisteredBenefit","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://parliament.uk/ontologies/appg/APPG","http://www.w3.org/2000/01/rdf-schema#subClassOf","http://parliament.uk/ontologies/appg/Group"
"n3410bba2d3b745b5b2f1380409ea9691b3","http://xmlns.com/foaf/0.1/name","Robert Brook"
"http://parliament.uk/ontologies/appg/hasSecretariatRole","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/appg/Group"
"http://parliament.uk/ontologies/appg/","http://xmlns.com/foaf/0.1/depiction","file:///home/runner/work/ontologies/ontologies/all-party-parliamentary-group.png"
"http://parliament.uk/ontologies/appg/dateReceived","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#DatatypeProperty"
"http://parliament.uk/ontologies/appg/dateRegistered","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/appg/"
"http://parliament.uk/ontologies/appg/receivedBenefit","http://www.w3.org/2000/01/rdf-schema#range","http://parliament.uk/ontologies/appg/RegisteredBenefit"
"n3410bba2d3b745b5b2f1380409ea9691b1","http://xmlns.com/foaf/0.1/name","Alison Desimone"
"http://parliament.uk/ontologies/appg/dateRegistered","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/appg/RegisteredBenefit"
"http://parliament.uk/ontologies/appg/benefitValue","http://www.w3.org/2000/01/rdf-schema#label","benefitValue"
"http://parliament.uk/ontologies/appg/APPGCategory","http://www.w3.org/2000/01/rdf-schema#comment","A category of APPG, for example one focussed on a country or on a subject area."
"http://xmlns.com/foaf/0.1/name","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#AnnotationProperty"
"http://parliament.uk/ontologies/appg/BenefitInKind","http://www.w3.org/2000/01/rdf-schema#comment","A benefit in kind such as goods or services received by the group where the total value of the benefit from that source exceeds £1500 and the benefit was received on or after the date of the group’s Inaugural Meeting."
"http://parliament.uk/ontologies/appg/dateRegistered","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#DatatypeProperty"
"n3410bba2d3b745b5b2f1380409ea9691b4","http://xmlns.com/foaf/0.1/homepage","https://robert-brook.com/"
"http://parliament.uk/ontologies/appg/hasPublicEnquiryPoint","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/appg/"
"http://parliament.uk/ontologies/appg/Member","http://www.w3.org/2000/01/rdf-schema#label","Member"
"http://parliament.uk/ontologies/appg/","http://purl.org/dc/terms/rights","Open Parliament Licence v3.0"
"http://parliament.uk/ontologies/appg/StatusType","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://parliament.uk/ontologies/appg/BenefitInKind","http://www.w3.org/2000/01/rdf-schema#subClassOf","http://parliament.uk/ontologies/appg/RegisteredBenefit"
"http://parliament.uk/ontologies/appg/hasRegisteredContact","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty"
"http://parliament.uk/ontologies/appg/FinancialBenefit","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"n3410bba2d3b745b5b2f1380409ea9691b3","http://xmlns.com/foaf/0.1/homepage","https://robert-brook.com/"
"http://parliament.uk/ontologies/appg/dateReceived","http://www.w3.org/2000/01/rdf-schema#range","http://www.w3.org/2001/XMLSchema#dateTime"
"http://parliament.uk/ontologies/appg/reportedIn","http://www.w3.org/2000/01/rdf-schema#label","reportedIn"
"http://parliament.uk/ontologies/appg/","http://xmlns.com/foaf/0.1/maker","n3410bba2d3b745b5b2f1380409ea9691b2"
"http://parliament.uk/ontologies/appg/benefitCurrency","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/appg/RegisteredBenefit"
"http://parliament.uk/ontologies/appg/StatusType","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/appg/"
"http://parliament.uk/ontologies/appg/reportedIn","http://www.w3.org/2000/01/rdf-schema#comment","Relates a registered benefit to the financial reporting year it falls into."
"http://parliament.uk/ontologies/appg/FinancialReportingYear","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/appg/"
"http://parliament.uk/ontologies/appg/benefitCurrency","http://www.w3.org/2000/01/rdf-schema#label","benefitCurrency"
"http://parliament.uk/ontologies/appg/Group","http://www.w3.org/2000/01/rdf-schema#label","Group"
