"Subject","Predicate","Object"
"http://parliament.uk/ontologies/image/imageLength","http://www.w3.org/2000/01/rdf-schema#comment","Image height in pixels"
"http://parliament.uk/ontologies/image/samplesPerPixel","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/image/"
"http://parliament.uk/ontologies/image/imageSoftware","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/image/Image"
"http://parliament.uk/ontologies/image/imageZoneHasImageSubject","http://www.w3.org/2000/01/rdf-schema#label","imageZoneHasImageSubject"
"http://parliament.uk/ontologies/image/ImageOwner","http://www.w3.org/2000/01/rdf-schema#label","ImageOwner"
"http://parliament.uk/ontologies/image/imageResolutionUnit","http://www.w3.org/2000/01/rdf-schema#label","imageResolutionUnit"
"http://parliament.uk/ontologies/image/","http://purl.org/dc/terms/title","Image ontology"
"http://parliament.uk/ontologies/image/imageHasImageSubject","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/image/Image"
"http://parliament.uk/ontologies/image/bitsPerSample","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/image/"
"http://parliament.uk/ontologies/image/ImageZone","http://www.w3.org/2000/01/rdf-schema#comment","An area within a image, that will be used to identify multiple ImageSubjects"
"http://parliament.uk/ontologies/image/agentHasLogo","http://www.w3.org/2000/01/rdf-schema#label","agentHasLogo"
"http://parliament.uk/ontologies/image/","http://purl.org/dc/terms/description","Ontology to describe storage and retrieval of parliamentary images"
"http://parliament.uk/ontologies/image/ImageCreator","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/image/"
"http://parliament.uk/ontologies/image/imageHasImageSubject","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/image/"
"http://parliament.uk/ontologies/image/imageSoftware","http://www.w3.org/2000/01/rdf-schema#label","imageSoftware"
"http://parliament.uk/ontologies/image/imageCoordinateHasImageZone","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty"
"http://parliament.uk/ontologies/image/imageHasUsageLicence","http://www.w3.org/2000/01/rdf-schema#range","http://parliament.uk/ontologies/image/UsageLicence"
"http://parliament.uk/ontologies/image/ImageOwner","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/image/"
"http://parliament.uk/ontologies/image/Agent","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://parliament.uk/ontologies/image/ImageResolution","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/image/"
"http://parliament.uk/ontologies/image/UsageLicence","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://parliament.uk/ontologies/image/imageHasImageCreator","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty"
"http://parliament.uk/ontologies/image/imageZoneHasImageSubject","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty"
"http://parliament.uk/ontologies/image/imageHasImageSubject","http://www.w3.org/2000/01/rdf-schema#subPropertyOf","http://xmlns.com/foaf/0.1/depicts"
"http://parliament.uk/ontologies/image/usageLicenceName","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/image/UsageLicence"
"http://parliament.uk/ontologies/image/ImageResolution","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://parliament.uk/ontologies/image/imageHasImageSubject","http://www.w3.org/2000/01/rdf-schema#label","imageHasImageSubject"
"http://parliament.uk/ontologies/image/GeoLocation","http://www.w3.org/2000/01/rdf-schema#subClassOf","http://parliament.uk/ontologies/image/GeographicalThing"
"http://parliament.uk/ontologies/image/imageZoneHasImageSubject","http://www.w3.org/2000/01/rdf-schema#range","http://parliament.uk/ontologies/image/ImageSubject"
"http://parliament.uk/ontologies/image/imageLength","http://www.w3.org/2000/01/rdf-schema#label","imageLength"
"http://parliament.uk/ontologies/image/imageResolutionUnit","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#DatatypeProperty"
"http://parliament.uk/ontologies/image/ImageOwner","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://parliament.uk/ontologies/image/imageSoftware","http://www.w3.org/2000/01/rdf-schema#range","http://www.w3.org/2001/XMLSchema#integer"
"http://parliament.uk/ontologies/image/imageLength","http://www.w3.org/2000/01/rdf-schema#range","http://www.w3.org/2001/XMLSchema#integer"
"http://parliament.uk/ontologies/image/imageStorageLocation","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/image/"
