"Subject","Predicate","Object"
"n469c35b8b34e40698c1861274f8f226bb5","http://xmlns.com/foaf/0.1/name","Silver Oliver"
"http://parliament.uk/ontologies/parliamentary-bloc/MemberWhipping","http://www.w3.org/2000/01/rdf-schema#comment","The acceptance of a whip to a parliamentary party by a Member between two dates: the whip may be withdrawn by a party or declined by a Member."
"http://parliament.uk/ontologies/parliamentary-bloc/hasParliamentaryAgreement","http://www.w3.org/2000/01/rdf-schema#comment","The relationship between a parliamentary party and the participation of that party in an agreement."
"http://parliament.uk/ontologies/parliamentary-bloc/ParliamentaryBloc","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://parliament.uk/ontologies/parliamentary-bloc/whippedTo","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty"
"http://parliament.uk/ontologies/parliamentary-bloc/whippedTo","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/parliamentary-bloc/MemberWhipping"
"http://parliament.uk/ontologies/parliamentary-bloc/","http://purl.org/dc/terms/description","A model describing the whipping of a Member to a parliamentary party or the affiliation of a Member with a parliamentary bloc. A parliamentary bloc may be a parliamentary party, or may be a non-political group, for example: the Crossbenchers in the House of Lords."
"http://parliament.uk/ontologies/parliamentary-bloc/","http://xmlns.com/foaf/0.1/maker","n469c35b8b34e40698c1861274f8f226bb4"
"http://parliament.uk/ontologies/parliamentary-bloc/toParliamentaryBloc","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/parliamentary-bloc/"
"http://parliament.uk/ontologies/parliamentary-bloc/hasAssociation","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/parliamentary-bloc/ParliamentaryParty"
"http://parliament.uk/ontologies/parliamentary-bloc/Sistership","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/parliamentary-bloc/"
"http://parliament.uk/ontologies/parliamentary-bloc/","http://xmlns.com/foaf/0.1/maker","n469c35b8b34e40698c1861274f8f226bb7"
"http://parliament.uk/ontologies/parliamentary-bloc/ParliamentaryAgreement","http://www.w3.org/2000/01/rdf-schema#label","Parliamentary agreement"
"http://parliament.uk/ontologies/parliamentary-bloc/hasAssociation","http://www.w3.org/2000/01/rdf-schema#label","Has association"
"http://parliament.uk/ontologies/parliamentary-bloc/ParliamentaryParty","http://www.w3.org/2000/01/rdf-schema#subClassOf","http://parliament.uk/ontologies/parliamentary-bloc/ParliamentaryBloc"
"http://parliament.uk/ontologies/parliamentary-bloc/hasSistership","http://www.w3.org/2000/01/rdf-schema#comment","The relationship between a political party and the participation of that party within a sistership."
"http://parliament.uk/ontologies/parliamentary-bloc/hasAssociation","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/parliamentary-bloc/"
"http://parliament.uk/ontologies/parliamentary-bloc/toParliamentaryBloc","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty"
"http://parliament.uk/ontologies/parliamentary-bloc/Pact","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://parliament.uk/ontologies/parliamentary-bloc/ParliamentaryAgreement","http://www.w3.org/2000/01/rdf-schema#comment","An agreement between two or more parliamentary parties to cooperate within Parliament, for example: a confidence and supply or coalition agreement."
"http://parliament.uk/ontologies/parliamentary-bloc/ParliamentaryParty","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/parliamentary-bloc/"
"http://parliament.uk/ontologies/parliamentary-bloc/ParliamentaryParty","http://www.w3.org/2000/01/rdf-schema#comment","A group of Members of Parliament accepting a party whip."
"http://parliament.uk/ontologies/parliamentary-bloc/hasParliamentaryAgreement","http://www.w3.org/2000/01/rdf-schema#label","Has parliamentary agreement"
"http://parliament.uk/ontologies/parliamentary-bloc/ParliamentaryBloc","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/parliamentary-bloc/"
"n469c35b8b34e40698c1861274f8f226bb6","http://xmlns.com/foaf/0.1/name","Michael Smethurst"
"http://parliament.uk/ontologies/parliamentary-bloc/Pact","http://www.w3.org/2000/01/rdf-schema#comment","An agreement between two or more political parties."
"http://parliament.uk/ontologies/parliamentary-bloc/ParliamentaryAgreement","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/parliamentary-bloc/"
"http://parliament.uk/ontologies/parliamentary-bloc/acceptedBy","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty"
"http://parliament.uk/ontologies/parliamentary-bloc/whippedTo","http://www.w3.org/2000/01/rdf-schema#label","Whipped to"
"http://parliament.uk/ontologies/parliamentary-bloc/acceptedBy","http://www.w3.org/2000/01/rdf-schema#range","http://parliament.uk/ontologies/parliamentary-bloc/Person"
"n469c35b8b34e40698c1861274f8f226bb4","http://xmlns.com/foaf/0.1/name","Lucinda Maer"
"http://parliament.uk/ontologies/parliamentary-bloc/MemberWhipping","http://www.w3.org/2000/01/rdf-schema#label","Member whipping"
"http://parliament.uk/ontologies/parliamentary-bloc/acceptedBy","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/parliamentary-bloc/"
"http://parliament.uk/ontologies/parliamentary-bloc/hasPact","http://www.w3.org/2000/01/rdf-schema#comment","The relationship between a political party and the inclusion of that party within a pact."
"http://parliament.uk/ontologies/parliamentary-bloc/MemberWhipping","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://parliament.uk/ontologies/parliamentary-bloc/Person","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/parliamentary-bloc/"
"http://parliament.uk/ontologies/parliamentary-bloc/acceptedBy","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/parliamentary-bloc/MemberWhipping"
"n469c35b8b34e40698c1861274f8f226bb2","http://xmlns.com/foaf/0.1/homepage","https://robert-brook.com/"
"http://parliament.uk/ontologies/parliamentary-bloc/","http://xmlns.com/foaf/0.1/depiction","https://ukparliament.github.io/ontologies/parliamentary-bloc/parliamentary-bloc.svg"
"http://parliament.uk/ontologies/parliamentary-bloc/Sistership","http://www.w3.org/2000/01/rdf-schema#comment","A relationship between political parties who have agreed to co-operate."
"http://parliament.uk/ontologies/parliamentary-bloc/hasSistership","http://www.w3.org/2000/01/rdf-schema#range","http://parliament.uk/ontologies/parliamentary-bloc/Sistership"
"http://parliament.uk/ontologies/parliamentary-bloc/PoliticalParty","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://parliament.uk/ontologies/parliamentary-bloc/hasParliamentaryAgreement","http://www.w3.org/2000/01/rdf-schema#range","http://parliament.uk/ontologies/parliamentary-bloc/ParliamentaryAgreement"
"http://parliament.uk/ontologies/parliamentary-bloc/hasPact","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/parliamentary-bloc/"
"http://parliament.uk/ontologies/parliamentary-bloc/Pact","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/parliamentary-bloc/"
"n469c35b8b34e40698c1861274f8f226bb6","http://xmlns.com/foaf/0.1/homepage","http://smethur.st/"
"http://parliament.uk/ontologies/parliamentary-bloc/","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Ontology"
