"Subject","Predicate","Object"
"nfbb301ff5deb4f9685bff271942bdf56b7","http://xmlns.com/foaf/0.1/name","Robi Quigley"
"http://parliament.uk/ontologies/parliamentary-paper/PaperSeries","http://www.w3.org/2000/01/rdf-schema#label","Paper series"
"http://parliament.uk/ontologies/parliamentary-paper/","http://xmlns.com/foaf/0.1/maker","nfbb301ff5deb4f9685bff271942bdf56b3"
"http://parliament.uk/ontologies/parliamentary-paper/prefix","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/parliamentary-paper/PaperSeries"
"http://parliament.uk/ontologies/parliamentary-paper/hasType","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/parliamentary-paper/"
"http://parliament.uk/ontologies/parliamentary-paper/paperSeriesParent","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty"
"http://parliament.uk/ontologies/parliamentary-paper/Session","http://www.w3.org/2000/01/rdf-schema#label","Session"
"http://parliament.uk/ontologies/parliamentary-paper/formsPartOf","http://www.w3.org/2000/01/rdf-schema#label","Forms part of"
"http://parliament.uk/ontologies/parliamentary-paper/paperSeriesParent","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/parliamentary-paper/PaperSeries"
"http://parliament.uk/ontologies/parliamentary-paper/","http://xmlns.com/foaf/0.1/maker","nfbb301ff5deb4f9685bff271942bdf56b5"
"http://parliament.uk/ontologies/parliamentary-paper/belongsTo","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty"
"http://parliament.uk/ontologies/parliamentary-paper/prefix","http://www.w3.org/2000/01/rdf-schema#label","Prefix"
"http://parliament.uk/ontologies/parliamentary-paper/inSeries","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/parliamentary-paper/PaperSeriesItem"
"http://parliament.uk/ontologies/parliamentary-paper/Session","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/parliamentary-paper/"
"http://parliament.uk/ontologies/parliamentary-paper/","http://purl.org/dc/terms/description","A model describing parliamentary papers, their types and their presence in bundles and in series."
"http://parliament.uk/ontologies/parliamentary-paper/expressionOf","http://www.w3.org/2000/01/rdf-schema#label","Expression of"
"http://parliament.uk/ontologies/parliamentary-paper/ParliamentaryPaperWork","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/parliamentary-paper/"
"http://parliament.uk/ontologies/parliamentary-paper/PaperSeries","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/parliamentary-paper/"
"http://parliament.uk/ontologies/parliamentary-paper/","http://purl.org/dc/terms/title","Parliamentary paper ontology"
"http://parliament.uk/ontologies/parliamentary-paper/","http://xmlns.com/foaf/0.1/maker","nfbb301ff5deb4f9685bff271942bdf56b8"
"http://parliament.uk/ontologies/parliamentary-paper/","http://xmlns.com/foaf/0.1/maker","nfbb301ff5deb4f9685bff271942bdf56b7"
"http://parliament.uk/ontologies/parliamentary-paper/Session","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://parliament.uk/ontologies/parliamentary-paper/inSeries","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty"
"http://parliament.uk/ontologies/parliamentary-paper/hasPrivilege","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#DatatypeProperty"
"http://parliament.uk/ontologies/parliamentary-paper/asSeriesitem","http://www.w3.org/2000/01/rdf-schema#comment","Relates a parliamentary paper to the existence of that paper in a series. A paper series item refers to one parliamentary paper. A parliamentary paper may exist as an item in one or more series, or none."
"http://parliament.uk/ontologies/parliamentary-paper/ParliamentaryPaperWork","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://parliament.uk/ontologies/parliamentary-paper/paperSeriesParent","http://www.w3.org/2000/01/rdf-schema#label","Paper series parent"
"http://parliament.uk/ontologies/parliamentary-paper/paperSeriesFollows","http://www.w3.org/2000/01/rdf-schema#label","Paper series follows"
"http://parliament.uk/ontologies/parliamentary-paper/PaperSeries","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://parliament.uk/ontologies/parliamentary-paper/hasPrivilege","http://www.w3.org/2000/01/rdf-schema#range","http://www.w3.org/2001/XMLSchema#boolean"
"http://parliament.uk/ontologies/parliamentary-paper/prefix","http://www.w3.org/2000/01/rdf-schema#range","http://www.w3.org/2000/01/rdf-schema#Literal"
"http://parliament.uk/ontologies/parliamentary-paper/hasType","http://www.w3.org/2000/01/rdf-schema#range","http://parliament.uk/ontologies/parliamentary-paper/PaperType"
"http://parliament.uk/ontologies/parliamentary-paper/formsPartOf","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty"
"http://parliament.uk/ontologies/parliamentary-paper/expressionOf","http://www.w3.org/2000/01/rdf-schema#range","http://parliament.uk/ontologies/parliamentary-paper/ParliamentaryPaperWork"
"http://parliament.uk/ontologies/parliamentary-paper/hasPrivilege","http://www.w3.org/2000/01/rdf-schema#comment","Used to record if parliamentary papers being items in a series indicates that those papers have parliamentary privilege."
"http://parliament.uk/ontologies/parliamentary-paper/Session","http://www.w3.org/2000/01/rdf-schema#comment","A period during which Parliament is able to conduct business on days of its choosing. A session is within a Parliament period. The first session of a Parliament begins on the same day as the Parliament period and ends on a day named in a subsequent prorogation proclamation. Subsequent sessions within the Parliament period begin and end on dates named in subsequent prorogation proclamations. The final session of a Parliament ends either with prorogation followed by dissolution or with dissolution. Session periods are the same for both Houses."
"http://parliament.uk/ontologies/parliamentary-paper/hasPrivilege","http://www.w3.org/2000/01/rdf-schema#label","Has privilege"
"http://parliament.uk/ontologies/parliamentary-paper/expressionOf","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty"
"http://parliament.uk/ontologies/parliamentary-paper/paperSeriesParent","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/parliamentary-paper/"
"http://parliament.uk/ontologies/parliamentary-paper/paperTypeParent","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty"
"http://parliament.uk/ontologies/parliamentary-paper/belongsTo","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/parliamentary-paper/"
"http://parliament.uk/ontologies/parliamentary-paper/belongsTo","http://www.w3.org/2000/01/rdf-schema#comment","Relates a paper series to the session that series belongs to. A paper series may belong to one session, or none, for example: the series of House of Commons papers belonging to the session in which papers in that series are made available."
