"Subject","Predicate","Object"
"http://parliament.uk/ontologies/peerage/affirmsCreationOf","http://www.w3.org/2000/01/rdf-schema#label","Affirms creation of"
"http://parliament.uk/ontologies/peerage/appointedOn","http://www.w3.org/2000/01/rdf-schema#range","http://www.w3.org/2001/XMLSchema#date"
"http://parliament.uk/ontologies/peerage/","http://xmlns.com/foaf/0.1/maker","nbe8460c1013f4bcc897de6457ad7d726b6"
"http://parliament.uk/ontologies/peerage/extinctOn","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/peerage/Peerage"
"http://parliament.uk/ontologies/peerage/holdingEndOn","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/peerage/PeerageHolding"
"http://parliament.uk/ontologies/peerage/isOf","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/peerage/"
"http://parliament.uk/ontologies/peerage/previousRank","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#DatatypeProperty"
"http://parliament.uk/ontologies/peerage/ordinality","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/peerage/"
"http://parliament.uk/ontologies/peerage/hasAnnouncementType","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/peerage/"
"http://parliament.uk/ontologies/peerage/holdingStartOn","http://www.w3.org/2000/01/rdf-schema#comment","Relates a peerage holding to the date on which that peerage holding starts - being the date the peerage is granted to the first holder, the date a hereditary peerage is inherited or the date on which a writ of acceleration is granted."
"http://parliament.uk/ontologies/peerage/degree","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/peerage/"
"http://parliament.uk/ontologies/peerage/degree","http://www.w3.org/2000/01/rdf-schema#comment","Relates a rank to a number representing the degree of that rank in the hierarchy of peerages. The lower the number the higher the degree of the rank, for example: the rank of Barony has a degree of 5, whilst the rank of Dukedom has a degree of 1. Included in the dataset are records for Princes of Wales which are not peerages and given a rank of 0."
"http://parliament.uk/ontologies/peerage/hasLawLordIncumbency","http://www.w3.org/2000/01/rdf-schema#range","http://parliament.uk/ontologies/peerage/LawLordIncumbency"
"http://parliament.uk/ontologies/peerage/LettersPatentTime","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"nbe8460c1013f4bcc897de6457ad7d726b6","http://xmlns.com/foaf/0.1/name","Michael Smethurst"
"http://parliament.uk/ontologies/peerage/hasPeerageHolding","http://www.w3.org/2000/01/rdf-schema#comment","Relates a person to a peerage holding. A person may have one or more peerage holdings, or none. A peerage holding is by one person."
"http://parliament.uk/ontologies/peerage/previousTitle","http://www.w3.org/2000/01/rdf-schema#range","http://www.w3.org/1999/02/22-rdf-syntax-ns#langString"
"http://parliament.uk/ontologies/peerage/hasAnnouncementType","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/peerage/Announcement"
"http://parliament.uk/ontologies/peerage/appliesTo","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty"
"http://parliament.uk/ontologies/peerage/Kingdom","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/peerage/"
