"Subject","Predicate","Object"
"http://parliament.uk/ontologies/petition/thresholdAttainmentAt","http://www.w3.org/2000/01/rdf-schema#comment","Date time at which a threshold is met."
"http://parliament.uk/ontologies/petition/hasGovernmentResponse","http://www.w3.org/2000/01/rdf-schema#comment","Relates a petition to a Government response."
"http://parliament.uk/ontologies/petition/fromPlace","http://www.w3.org/2000/01/rdf-schema#comment","Relates a located signature count to the place the signatures came from."
"http://parliament.uk/ontologies/petition/ModerationOption","http://www.w3.org/2000/01/rdf-schema#label","ModerationOption"
"http://parliament.uk/ontologies/petition/hasDebate","http://www.w3.org/2000/01/rdf-schema#comment","Relates a petition to a debate."
"http://parliament.uk/ontologies/petition/Rejection","http://www.w3.org/2000/01/rdf-schema#comment","Explicit moderation option for when a petition is rejected."
"http://parliament.uk/ontologies/petition/Place","http://www.w3.org/2000/01/rdf-schema#comment","A place. Any kind of place."
"http://parliament.uk/ontologies/petition/LocatedSignatureCount","http://www.w3.org/2000/01/rdf-schema#comment","The number of signatures on a petition from a given place."
"http://parliament.uk/ontologies/petition/action","http://www.w3.org/2000/01/rdf-schema#range","http://www.w3.org/1999/02/22-rdf-syntax-ns#langString"
"http://parliament.uk/ontologies/petition/hasThresholdAttainment","http://www.w3.org/2000/01/rdf-schema#label","hasThresholdAttainment"
"http://parliament.uk/ontologies/petition/action","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#DatatypeProperty"
"http://parliament.uk/ontologies/petition/hasThresholdAttainment","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty"
"http://parliament.uk/ontologies/petition/","http://purl.org/dc/terms/description","Petition ontology for UK Parliament. Covers the public surface area of petitions."
"http://parliament.uk/ontologies/petition/","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Ontology"
"http://parliament.uk/ontologies/petition/Person","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://parliament.uk/ontologies/petition/background","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#DatatypeProperty"
"http://parliament.uk/ontologies/petition/signatureCountRetrievedAt","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/petition/LocatedSignatureCount"
"http://parliament.uk/ontologies/petition/hasThresholdAttainment","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/petition/Petition"
"http://parliament.uk/ontologies/petition/hasModerationOption","http://www.w3.org/2000/01/rdf-schema#label","hasModerationOption"
"http://parliament.uk/ontologies/petition/fromPlace","http://www.w3.org/2000/01/rdf-schema#range","http://parliament.uk/ontologies/petition/Place"
"http://parliament.uk/ontologies/petition/Approval","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/petition/"
"http://parliament.uk/ontologies/petition/hasDebate","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty"
"http://parliament.uk/ontologies/petition/signatureCountRetrievedAt","http://www.w3.org/2000/01/rdf-schema#range","http://www.w3.org/2001/XMLSchema#dateTime"
"http://parliament.uk/ontologies/petition/action","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/petition/Petition"
"http://parliament.uk/ontologies/petition/signatureCountRetrievedAt","http://www.w3.org/2000/01/rdf-schema#label","signatureCountRetrievedAt"
"http://parliament.uk/ontologies/petition/background","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/petition/Petition"
"http://parliament.uk/ontologies/petition/hasModerationOption","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/petition/"
"http://parliament.uk/ontologies/petition/Debate","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/petition/"
"http://parliament.uk/ontologies/petition/hasDebate","http://www.w3.org/2000/01/rdf-schema#range","http://parliament.uk/ontologies/petition/Debate"
"http://parliament.uk/ontologies/petition/Moderation","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/petition/"
"http://parliament.uk/ontologies/petition/Petition","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://parliament.uk/ontologies/petition/Rejection","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://parliament.uk/ontologies/petition/additionalDetails","http://www.w3.org/2000/01/rdf-schema#range","http://www.w3.org/1999/02/22-rdf-syntax-ns#langString"
"http://parliament.uk/ontologies/petition/signatureCountRetrievedAt","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#DatatypeProperty"
"http://parliament.uk/ontologies/petition/thresholdSignatureNumber","http://www.w3.org/2000/01/rdf-schema#label","thresholdSignatureNumber"
"http://parliament.uk/ontologies/petition/hasModerationOption","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/petition/Moderation"
"http://parliament.uk/ontologies/petition/hasLocatedSignatureCount","http://www.w3.org/2000/01/rdf-schema#label","hasLocatedSignatureCount"
