"Subject","Predicate","Object"
"http://parliament.uk/ontologies/place/Place","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/place/"
"http://parliament.uk/ontologies/place/Place","http://www.w3.org/2000/01/rdf-schema#label","Place"
"http://parliament.uk/ontologies/place/","http://purl.org/dc/terms/title","Place ontology"
"http://parliament.uk/ontologies/place/hasPlaceType","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty"
"http://parliament.uk/ontologies/place/hasGeometry","http://www.w3.org/2000/01/rdf-schema#label","hasGeometry"
"http://parliament.uk/ontologies/place/hasPlaceType","http://www.w3.org/2000/01/rdf-schema#label","hasPlaceType"
"http://parliament.uk/ontologies/place/PlaceType","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://parliament.uk/ontologies/place/","http://purl.org/dc/terms/created","2016-11-08"
"http://parliament.uk/ontologies/place/hasGeometry","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty"
"http://parliament.uk/ontologies/place/Geometry","http://www.w3.org/2000/01/rdf-schema#comment","A geographic extent expressed as a point, box or polygon."
"http://parliament.uk/ontologies/place/hasPlaceType","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/place/Place"
"http://parliament.uk/ontologies/place/hasGeometry","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/place/Place"
"http://parliament.uk/ontologies/place/containedByPlace","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty"
"http://parliament.uk/ontologies/place/PlaceType","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/place/"
"http://parliament.uk/ontologies/place/containedByPlace","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/place/Place"
"http://parliament.uk/ontologies/place/hasPlaceType","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/place/"
"http://parliament.uk/ontologies/place/Place","http://www.w3.org/2000/01/rdf-schema#comment","A geographic place."
"http://parliament.uk/ontologies/place/hasPlaceType","http://www.w3.org/2000/01/rdf-schema#range","http://parliament.uk/ontologies/place/PlaceType"
"http://parliament.uk/ontologies/place/containedByPlace","http://www.w3.org/2000/01/rdf-schema#range","http://parliament.uk/ontologies/place/Place"
"http://parliament.uk/ontologies/place/hasGeometry","http://www.w3.org/2000/01/rdf-schema#range","http://parliament.uk/ontologies/place/Geometry"
"http://parliament.uk/ontologies/place/hasPlaceType","http://www.w3.org/2000/01/rdf-schema#comment","Relates a place to a place type."
"http://parliament.uk/ontologies/place/hasGeometry","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/place/"
"http://parliament.uk/ontologies/place/Geometry","http://www.w3.org/2000/01/rdf-schema#label","Geometry."
"http://parliament.uk/ontologies/place/containedByPlace","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/place/"
"http://parliament.uk/ontologies/place/Geometry","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://parliament.uk/ontologies/place/PlaceType","http://www.w3.org/2000/01/rdf-schema#comment","A place type e.g. town, constituency, county, country."
"http://parliament.uk/ontologies/place/PlaceType","http://www.w3.org/2000/01/rdf-schema#label","PlaceType"
"http://parliament.uk/ontologies/place/containedByPlace","http://www.w3.org/2000/01/rdf-schema#label","containedByPlace"
"http://parliament.uk/ontologies/place/","http://purl.org/dc/terms/rights","Open Parliament Licence v3.0"
"http://parliament.uk/ontologies/place/Place","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://parliament.uk/ontologies/place/hasGeometry","http://www.w3.org/2000/01/rdf-schema#comment","Relates a place to its geometric representation."
"http://parliament.uk/ontologies/place/containedByPlace","http://www.w3.org/2000/01/rdf-schema#comment","Relates a place to a place it is contained by e.g. town in constituency in county in country."
"http://parliament.uk/ontologies/place/","http://purl.org/dc/terms/description","Place ontology for UK Parliament."
"http://parliament.uk/ontologies/place/","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Ontology"
"http://parliament.uk/ontologies/place/Geometry","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/place/"
