"Subject","Predicate","Object"
"http://parliament.uk/ontologies/procedure-step-annotation/linkNote","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/procedure-step-annotation/"
"http://parliament.uk/ontologies/procedure-step-annotation/dateNote","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/procedure-step-annotation/"
"http://parliament.uk/ontologies/procedure-step-annotation/BusinessStep","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/procedure-step-annotation/"
"http://parliament.uk/ontologies/procedure-step-annotation/","http://xmlns.com/foaf/0.1/maker","n6845b6a0b86e4614ae4263c1b30f1d38b3"
"http://parliament.uk/ontologies/procedure-step-annotation/","http://purl.org/dc/terms/description","A model describing annotations added to procedure steps by the Indexing and Data Management Section of the House of Commons Library. Annotations are used to describe how a procedure step is actualised."
"http://parliament.uk/ontologies/procedure-step-annotation/scopeNote","http://www.w3.org/2000/01/rdf-schema#label","Scope note"
"http://parliament.uk/ontologies/procedure-step-annotation/linkNote","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#DatatypeProperty"
"http://parliament.uk/ontologies/procedure-step-annotation/dateNote","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#DatatypeProperty"
"n6845b6a0b86e4614ae4263c1b30f1d38b2","http://xmlns.com/foaf/0.1/name","Michael Smethurst"
"http://parliament.uk/ontologies/procedure-step-annotation/source","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty"
"http://parliament.uk/ontologies/procedure-step-annotation/source","http://www.w3.org/2000/01/rdf-schema#range","http://parliament.uk/ontologies/procedure-step-annotation/Publication"
"http://parliament.uk/ontologies/procedure-step-annotation/Publication","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://parliament.uk/ontologies/procedure-step-annotation/scopeNote","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#DatatypeProperty"
"http://parliament.uk/ontologies/procedure-step-annotation/dateNote","http://www.w3.org/2000/01/rdf-schema#label","Date note"
"http://parliament.uk/ontologies/procedure-step-annotation/scopeNote","http://www.w3.org/2000/01/rdf-schema#comment","A note that describes the rules for actualising a business step."
"http://parliament.uk/ontologies/procedure-step-annotation/dateNote","http://www.w3.org/2000/01/rdf-schema#comment","A note that describes the date to use when actualising a business step."
"http://parliament.uk/ontologies/procedure-step-annotation/","http://purl.org/dc/terms/created","2019-04-16"
"http://parliament.uk/ontologies/procedure-step-annotation/scopeNote","http://www.w3.org/2000/01/rdf-schema#range","http://www.w3.org/1999/02/22-rdf-syntax-ns#langString"
"http://parliament.uk/ontologies/procedure-step-annotation/linkNote","http://www.w3.org/2000/01/rdf-schema#range","http://www.w3.org/1999/02/22-rdf-syntax-ns#langString"
"http://parliament.uk/ontologies/procedure-step-annotation/dateNote","http://www.w3.org/2000/01/rdf-schema#range","http://www.w3.org/1999/02/22-rdf-syntax-ns#langString"
"http://parliament.uk/ontologies/procedure-step-annotation/BusinessStep","http://www.w3.org/2000/01/rdf-schema#label","Business step"
"http://parliament.uk/ontologies/procedure-step-annotation/BusinessStep","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://parliament.uk/ontologies/procedure-step-annotation/","http://xmlns.com/foaf/0.1/maker","n6845b6a0b86e4614ae4263c1b30f1d38b2"
"n6845b6a0b86e4614ae4263c1b30f1d38b1","http://xmlns.com/foaf/0.1/homepage","https://robert-brook.com/"
"http://parliament.uk/ontologies/procedure-step-annotation/source","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/procedure-step-annotation/BusinessStep"
"http://parliament.uk/ontologies/procedure-step-annotation/source","http://www.w3.org/2000/01/rdf-schema#label","Source"
"http://parliament.uk/ontologies/procedure-step-annotation/Publication","http://www.w3.org/2000/01/rdf-schema#label","Publication"
"http://parliament.uk/ontologies/procedure-step-annotation/linkNote","http://www.w3.org/2000/01/rdf-schema#label","Link note"
"http://parliament.uk/ontologies/procedure-step-annotation/actualiseWith","http://www.w3.org/2000/01/rdf-schema#range","http://parliament.uk/ontologies/procedure-step-annotation/BusinessStep"
"http://parliament.uk/ontologies/procedure-step-annotation/actualiseWith","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty"
"http://parliament.uk/ontologies/procedure-step-annotation/source","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/procedure-step-annotation/"
"http://parliament.uk/ontologies/procedure-step-annotation/","http://xmlns.com/foaf/0.1/maker","n6845b6a0b86e4614ae4263c1b30f1d38b1"
"http://parliament.uk/ontologies/procedure-step-annotation/","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Ontology"
"http://parliament.uk/ontologies/procedure-step-annotation/Publication","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/procedure-step-annotation/"
"http://parliament.uk/ontologies/procedure-step-annotation/","http://purl.org/dc/terms/rights","Open Parliament Licence v3.0"
"http://parliament.uk/ontologies/procedure-step-annotation/Publication","http://www.w3.org/2000/01/rdf-schema#comment","A publication."
"http://parliament.uk/ontologies/procedure-step-annotation/linkNote","http://www.w3.org/2000/01/rdf-schema#comment","A note that describes where a business item should link to in a publication."
"http://parliament.uk/ontologies/procedure-step-annotation/","http://purl.org/dc/terms/title","Procedure step ontology"
"http://parliament.uk/ontologies/procedure-step-annotation/actualiseWith","http://www.w3.org/2000/01/rdf-schema#label","Actualise with"
"http://parliament.uk/ontologies/procedure-step-annotation/scopeNote","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/procedure-step-annotation/BusinessStep"
"http://parliament.uk/ontologies/procedure-step-annotation/source","http://www.w3.org/2000/01/rdf-schema#comment","Relates a business step to the publication which is the source of information for that step."
"n6845b6a0b86e4614ae4263c1b30f1d38b3","http://xmlns.com/foaf/0.1/name","Anya Somerville"
"http://parliament.uk/ontologies/procedure-step-annotation/actualiseWith","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/procedure-step-annotation/"
"http://parliament.uk/ontologies/procedure-step-annotation/actualiseWith","http://www.w3.org/2000/01/rdf-schema#comment","Relates a business step to a business step where steps may be actualised together."
"http://parliament.uk/ontologies/procedure-step-annotation/scopeNote","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/procedure-step-annotation/"
"http://parliament.uk/ontologies/procedure-step-annotation/actualiseWith","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/procedure-step-annotation/BusinessStep"
"http://parliament.uk/ontologies/procedure-step-annotation/dateNote","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/procedure-step-annotation/BusinessStep"
"http://parliament.uk/ontologies/procedure-step-annotation/","http://xmlns.com/foaf/0.1/depiction","https://ukparliament.github.io/ontologies/procedure-step-annotation/procedure-step-annotation.png"
"n6845b6a0b86e4614ae4263c1b30f1d38b2","http://xmlns.com/foaf/0.1/homepage","http://smethur.st/"
"http://parliament.uk/ontologies/procedure-step-annotation/BusinessStep","http://www.w3.org/2000/01/rdf-schema#comment","A business step is a step that can be actualised by a business item."
"http://parliament.uk/ontologies/procedure-step-annotation/linkNote","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/procedure-step-annotation/BusinessStep"
"n6845b6a0b86e4614ae4263c1b30f1d38b1","http://xmlns.com/foaf/0.1/name","Robert Brook"
