"Subject","Predicate","Object"
"http://parliament.uk/ontologies/procedure/","http://xmlns.com/foaf/0.1/maker","nfb5dcc9f1e404e7a88a45fbc03b8e587b6"
"http://parliament.uk/ontologies/procedure/stepHasCitation","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/procedure/"
"http://parliament.uk/ontologies/procedure/Citation","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/procedure/"
"http://parliament.uk/ontologies/procedure/","http://xmlns.com/foaf/0.1/maker","nfb5dcc9f1e404e7a88a45fbc03b8e587b13"
"http://parliament.uk/ontologies/procedure/","http://xmlns.com/foaf/0.1/maker","nfb5dcc9f1e404e7a88a45fbc03b8e587b7"
"http://parliament.uk/ontologies/procedure/BusinessItem","http://www.w3.org/2000/01/rdf-schema#comment","An item of business conducted either within or outside Parliament. For example: a second reading debate, the tabling of an early day motion, a laying of a paper, the making of a statutory instrument by a government minister."
"http://parliament.uk/ontologies/procedure/title","http://www.w3.org/2000/01/rdf-schema#comment","Relates a citation to the title of the document being cited."
"http://parliament.uk/ontologies/procedure/procedureHasCitation","http://www.w3.org/2000/01/rdf-schema#range","http://parliament.uk/ontologies/procedure/Citation"
"http://parliament.uk/ontologies/procedure/fromStep","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/procedure/Route"
"http://parliament.uk/ontologies/procedure/","http://xmlns.com/foaf/0.1/maker","nfb5dcc9f1e404e7a88a45fbc03b8e587b14"
"http://parliament.uk/ontologies/procedure/actualises","http://www.w3.org/2000/01/rdf-schema#label","Actualises"
"http://parliament.uk/ontologies/procedure/toStep","http://www.w3.org/2000/01/rdf-schema#comment","Relates a route to its output step."
"http://parliament.uk/ontologies/procedure/hasDocumentType","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/procedure/Citation"
"http://parliament.uk/ontologies/procedure/title","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/procedure/"
"http://parliament.uk/ontologies/procedure/hasStepType","http://www.w3.org/2000/01/rdf-schema#comment","Relates a step to its type. A step may only be of one type. A step type may be related to one or more steps, or none."
"http://parliament.uk/ontologies/procedure/uri","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#DatatypeProperty"
"http://parliament.uk/ontologies/procedure/stepCollectionInHouse","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty"
"http://parliament.uk/ontologies/procedure/","http://purl.org/dc/terms/title","Procedure ontology"
"http://parliament.uk/ontologies/procedure/formsPartOf","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty"
"http://parliament.uk/ontologies/procedure/BusinessItem","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://parliament.uk/ontologies/procedure/focus","http://www.w3.org/2000/01/rdf-schema#label","Focus"
"http://parliament.uk/ontologies/procedure/stepHasCitation","http://www.w3.org/2000/01/rdf-schema#range","http://parliament.uk/ontologies/procedure/Citation"
"http://parliament.uk/ontologies/procedure/title","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/procedure/Citation"
"http://parliament.uk/ontologies/procedure/toStep","http://www.w3.org/2000/01/rdf-schema#range","http://parliament.uk/ontologies/procedure/Step"
"http://parliament.uk/ontologies/procedure/isCollectedBy","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/procedure/"
"http://parliament.uk/ontologies/procedure/actualises","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/procedure/BusinessItem"
"http://parliament.uk/ontologies/procedure/subjectTo","http://www.w3.org/2000/01/rdf-schema#comment","Relates a work package to the procedure it is subject to. A work package is only subject to one procedure."
"nfb5dcc9f1e404e7a88a45fbc03b8e587b14","http://xmlns.com/foaf/0.1/name","Ben Woodhams"
"nfb5dcc9f1e404e7a88a45fbc03b8e587b4","http://xmlns.com/foaf/0.1/name","Gordon Clarke"
"http://parliament.uk/ontologies/procedure/hasStepType","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty"
"http://parliament.uk/ontologies/procedure/procedureHasCitation","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty"
"http://parliament.uk/ontologies/procedure/subjectTo","http://www.w3.org/2000/01/rdf-schema#range","http://parliament.uk/ontologies/procedure/Procedure"
"http://parliament.uk/ontologies/procedure/formsPartOf","http://www.w3.org/2000/01/rdf-schema#label","Forms part of"
"http://parliament.uk/ontologies/procedure/stepHasCitation","http://www.w3.org/2000/01/rdf-schema#comment","Relates a step to a citation. A step may have more than one citation, or none."
"http://parliament.uk/ontologies/procedure/stepCollectionInHouse","http://www.w3.org/2000/01/rdf-schema#range","http://parliament.uk/ontologies/procedure/House"
"http://parliament.uk/ontologies/procedure/procedureHasCitation","http://www.w3.org/2000/01/rdf-schema#label","Procedure has citation"
"http://parliament.uk/ontologies/procedure/hasDocumentType","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty"
"http://parliament.uk/ontologies/procedure/StepType","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://parliament.uk/ontologies/procedure/toStep","http://www.w3.org/2000/01/rdf-schema#label","To step"
"http://parliament.uk/ontologies/procedure/stepInHouse","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/procedure/"
"http://parliament.uk/ontologies/procedure/","http://xmlns.com/foaf/0.1/maker","nfb5dcc9f1e404e7a88a45fbc03b8e587b2"
"http://parliament.uk/ontologies/procedure/WorkPackage","http://www.w3.org/2000/01/rdf-schema#comment","A group of business items under a procedure or as determined by a committee, for example: business items considered during the passage of a particular Statutory Instrument or Public Bill, or during an inquiry by a Select Committee."
"http://parliament.uk/ontologies/procedure/stepDescription","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/procedure/"
