"Subject","Predicate","Object"
"http://parliament.uk/ontologies/publisher/EditorialBoard","http://www.w3.org/2000/01/rdf-schema#label","Editorial board"
"http://parliament.uk/ontologies/publisher/ThingHavingPublisher","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://parliament.uk/ontologies/publisher/hasFocus","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/publisher/"
"http://parliament.uk/ontologies/publisher/hasFocus","http://www.w3.org/2000/01/rdf-schema#label","Has focus"
"http://parliament.uk/ontologies/publisher/ResearchService","http://www.w3.org/2000/01/rdf-schema#comment","A group of researchers, for example: in the Library of the House of Commons, in the Library of the House of Lords or the Parliamentary Office of Science and Technology."
"http://parliament.uk/ontologies/publisher/","http://xmlns.com/foaf/0.1/maker","na9e15b974d154b42bc7bff0eb21a1d0ab4"
"http://parliament.uk/ontologies/publisher/Group","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/publisher/"
"na9e15b974d154b42bc7bff0eb21a1d0ab4","http://xmlns.com/foaf/0.1/name","Anya Somerville"
"http://parliament.uk/ontologies/publisher/","http://purl.org/dc/terms/created","2018-06-28"
"http://parliament.uk/ontologies/publisher/hasPublisher","http://www.w3.org/2000/01/rdf-schema#comment","Relates a thing, which has a publisher, to the publisher of the thing."
"http://parliament.uk/ontologies/publisher/","http://xmlns.com/foaf/0.1/maker","na9e15b974d154b42bc7bff0eb21a1d0ab1"
"http://parliament.uk/ontologies/publisher/ResearchService","http://www.w3.org/2000/01/rdf-schema#label","Research service"
"http://parliament.uk/ontologies/publisher/Publisher","http://www.w3.org/2000/01/rdf-schema#comment","An entity responsible for making a resource available."
"http://parliament.uk/ontologies/publisher/ResearchSection","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/publisher/"
"http://parliament.uk/ontologies/publisher/hasPublisher","http://www.w3.org/2000/01/rdf-schema#label","Has publisher"
"na9e15b974d154b42bc7bff0eb21a1d0ab1","http://xmlns.com/foaf/0.1/homepage","https://robert-brook.com/"
"http://parliament.uk/ontologies/publisher/hasEditorialBoard","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty"
"na9e15b974d154b42bc7bff0eb21a1d0ab1","http://xmlns.com/foaf/0.1/name","Robert Brook"
"http://parliament.uk/ontologies/publisher/EditorialBoard","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/publisher/"
"http://parliament.uk/ontologies/publisher/Group","http://www.w3.org/2000/01/rdf-schema#subClassOf","http://parliament.uk/ontologies/publisher/Agent"
"na9e15b974d154b42bc7bff0eb21a1d0ab2","http://xmlns.com/foaf/0.1/name","Silver Oliver"
"http://parliament.uk/ontologies/publisher/EditorialBoard","http://www.w3.org/2000/01/rdf-schema#comment","A group overseeing a publisher, for example: the board of POST, made up of Members of Parliament, considering and approving areas of research."
"http://parliament.uk/ontologies/publisher/hasEditorialBoard","http://www.w3.org/2000/01/rdf-schema#label","Has editorial board"
"http://parliament.uk/ontologies/publisher/hasEditorialBoard","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/publisher/"
"http://parliament.uk/ontologies/publisher/hasResearchSection","http://www.w3.org/2000/01/rdf-schema#range","http://parliament.uk/ontologies/publisher/ResearchSection"
"http://parliament.uk/ontologies/publisher/House","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/publisher/"
"http://parliament.uk/ontologies/publisher/hasPublisher","http://www.w3.org/2000/01/rdf-schema#range","http://parliament.uk/ontologies/publisher/Publisher"
