"Subject","Predicate","Object"
"http://parliament.uk/ontologies/punditry/footballClubIsBiggerThan","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/punditry/"
"http://parliament.uk/ontologies/punditry/inTheBonesOf","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/punditry/TheFootballClub"
"http://parliament.uk/ontologies/punditry/TheBenchwarmers","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/punditry/"
"http://parliament.uk/ontologies/punditry/GoodBuy","http://www.w3.org/2000/01/rdf-schema#subClassOf","http://parliament.uk/ontologies/punditry/TheLads"
"http://parliament.uk/ontologies/punditry/pushedUpstairsTo","http://www.w3.org/2000/01/rdf-schema#label","Pushed upstairs to"
"http://parliament.uk/ontologies/punditry/BadBuy","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://parliament.uk/ontologies/punditry/ThingThatCanBeDisrespected","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/punditry/"
"http://parliament.uk/ontologies/punditry/playFor","http://www.w3.org/2000/01/rdf-schema#label","Play for"
"http://parliament.uk/ontologies/punditry/hasLost","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/punditry/"
"http://parliament.uk/ontologies/punditry/TheYouth","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/punditry/"
"http://parliament.uk/ontologies/punditry/ThingThatNeedsAWindow","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://parliament.uk/ontologies/punditry/madeAGoodBuyBuy","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/punditry/"
"http://parliament.uk/ontologies/punditry/bringsThrough","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/punditry/TheManager"
"http://parliament.uk/ontologies/punditry/wantToSack","http://www.w3.org/2000/01/rdf-schema#range","http://parliament.uk/ontologies/punditry/TheBoard"
"http://parliament.uk/ontologies/punditry/BigLadUpFront","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/punditry/"
"http://parliament.uk/ontologies/punditry/StrongEnglishSpine","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/punditry/"
"http://parliament.uk/ontologies/punditry/hasLost","http://www.w3.org/2000/01/rdf-schema#label","Has lost"
"http://parliament.uk/ontologies/punditry/haveGaffer","http://www.w3.org/2000/01/rdf-schema#label","Have gaffer"
"http://parliament.uk/ontologies/punditry/ThingThatHasToGo","http://www.w3.org/2000/01/rdf-schema#label","Thing that has to go (has to go)"
"http://parliament.uk/ontologies/punditry/Class","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://parliament.uk/ontologies/punditry/hasMoreHistoryThan","http://www.w3.org/2000/01/rdf-schema#range","http://parliament.uk/ontologies/punditry/TheFootballClub"
"http://parliament.uk/ontologies/punditry/bringsIn","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty"
"http://parliament.uk/ontologies/punditry/isABiggerClubThan","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty"
"http://parliament.uk/ontologies/punditry/picks","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty"
"http://parliament.uk/ontologies/punditry/bringsThrough","http://www.w3.org/2000/01/rdf-schema#range","http://parliament.uk/ontologies/punditry/TheYouth"
"http://parliament.uk/ontologies/punditry/TheLads","http://www.w3.org/2000/01/rdf-schema#subClassOf","http://parliament.uk/ontologies/punditry/ThingThatCanBeDisrespected"
"http://parliament.uk/ontologies/punditry/wontPlayFor","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty"
"http://parliament.uk/ontologies/punditry/Form","http://www.w3.org/2000/01/rdf-schema#label","Form"
"http://parliament.uk/ontologies/punditry/ThingThatHasToGo","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/punditry/"
"http://parliament.uk/ontologies/punditry/TheBadge","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://parliament.uk/ontologies/punditry/TheManager","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://parliament.uk/ontologies/punditry/ThemWotTravel","http://www.w3.org/2000/01/rdf-schema#label","Travellin support"
"http://parliament.uk/ontologies/punditry/inTheBonesOf","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/punditry/"
"http://parliament.uk/ontologies/punditry/haveGaffer","http://www.w3.org/2000/01/rdf-schema#range","http://parliament.uk/ontologies/punditry/TheManager"
"http://parliament.uk/ontologies/punditry/TheYouth","http://www.w3.org/2000/01/rdf-schema#subClassOf","http://parliament.uk/ontologies/punditry/TheLads"
"http://parliament.uk/ontologies/punditry/ThingWithTwoGoodFeet","http://www.w3.org/2000/01/rdf-schema#label","Thing with two good feet"
"http://parliament.uk/ontologies/punditry/haveGaffer","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/punditry/TheLads"
"http://parliament.uk/ontologies/punditry/madeAGoodBuyBuy","http://www.w3.org/2000/01/rdf-schema#label","Made a good buy"
"http://parliament.uk/ontologies/punditry/TheArmchairFans","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/punditry/"
"http://parliament.uk/ontologies/punditry/Form","http://www.w3.org/2000/01/rdf-schema#subClassOf","http://parliament.uk/ontologies/punditry/ThingsThatAreTemporary"
"http://parliament.uk/ontologies/punditry/ThingThatIsInTilTheEndOfTheSeason","http://www.w3.org/2000/01/rdf-schema#subClassOf","http://parliament.uk/ontologies/punditry/TheManager"
"http://parliament.uk/ontologies/punditry/madeABadBuy","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/punditry/"
"http://parliament.uk/ontologies/punditry/ThingThatCantBeDisrespected","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/punditry/"
"http://parliament.uk/ontologies/punditry/pushedUpstairsTo","http://www.w3.org/2000/01/rdf-schema#range","http://parliament.uk/ontologies/punditry/TheBoard"
"http://parliament.uk/ontologies/punditry/","http://purl.org/dc/terms/title","Punditry ontology"
"http://parliament.uk/ontologies/punditry/TheFootballClub","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/punditry/"
"http://parliament.uk/ontologies/punditry/TheChairman","http://www.w3.org/2000/01/rdf-schema#label","The chairman"
