"Subject","Predicate","Object"
"http://id.parliament.uk/seat-incumbency-1","http://parliament.uk/ontologies/house-membership/hasIncumbent","http://id.parliament.uk/person-1"
"http://id.parliament.uk/tabling-1","http://parliament.uk/ontologies/tabling/tabledBy","http://id.parliament.uk/seat-incumbency-1"
"http://id.parliament.uk/answer-expected-as-1","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://parliament.uk/ontologies/question-and-answer/AnswerExpectedAs"
"http://id.parliament.uk/parliamentary-question-1","http://parliament.uk/ontologies/question-and-answer/allocation","http://id.parliament.uk/allocation-1"
"http://id.parliament.uk/form-of-answer-1","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://parliament.uk/ontologies/question-and-answer/FormOfAnswer"
"http://id.parliament.uk/allocation-1","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://parliament.uk/ontologies/question-and-answer/AnsweringBodyAllocation"
"http://id.parliament.uk/house-1","http://parliament.uk/ontologies/utility/preferredLabel","House of Commons"
"http://id.parliament.uk/house-seat-1","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://parliament.uk/ontologies/house-membership/HouseSeat"
"http://id.parliament.uk/parliamentary-question-1","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://parliament.uk/ontologies/question-and-answer/ParliamentaryQuestion"
"http://id.parliament.uk/seat-incumbency-1","http://parliament.uk/ontologies/house-membership/inHouseSeat","http://id.parliament.uk/house-seat-1"
"http://id.parliament.uk/seat-incumbency-1","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://parliament.uk/ontologies/house-membership/SeatIncumbency"
"http://id.parliament.uk/parliament-period-1","http://parliament.uk/ontologies/utility/preferredLabel","58"
"http://id.parliament.uk/tabling-1","http://parliament.uk/ontologies/tabling/hasHouse","http://id.parliament.uk/house-1"
"http://id.parliament.uk/person-1","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://parliament.uk/ontologies/agent/Person"
"http://id.parliament.uk/identifier-source-1","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://parliament.uk/ontologies/utility/IdentifierSource"
"http://id.parliament.uk/parliamentary-question-1","http://parliament.uk/ontologies/question-and-answer/isDateForAnswerNamed","false"
"http://id.parliament.uk/tabling-1","http://parliament.uk/ontologies/tabling/tables","http://id.parliament.uk/parliamentary-question-1"
"http://id.parliament.uk/identifier-source-1","http://parliament.uk/ontologies/utility/abbreviationLabel","MNIS"
"http://id.parliament.uk/person-1","http://parliament.uk/ontologies/utility/preferredLabel","Michael Fabricant"
"http://id.parliament.uk/identifier-1","http://parliament.uk/ontologies/utility/hasIdentifierSource","http://id.parliament.uk/identifier-source-1"
"http://id.parliament.uk/house-1","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://parliament.uk/ontologies/house-membership/House"
"http://id.parliament.uk/answer-expected-as-1","http://parliament.uk/ontologies/question-and-answer/answerExpectedInForm","http://id.parliament.uk/form-of-answer-1"
"http://id.parliament.uk/tabling-1","http://parliament.uk/ontologies/utility/isInterestDeclared","true"
"http://id.parliament.uk/identifier-1","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://parliament.uk/ontologies/utility/Identifier"
"http://id.parliament.uk/form-of-answer-1","http://parliament.uk/ontologies/utility/preferredLabel","Oral"
"http://id.parliament.uk/parliament-period-1","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://parliament.uk/ontologies/time-period/ParliamentPeriod"
"http://id.parliament.uk/session-1","http://parliament.uk/ontologies/utility/ordinality","2"
"http://id.parliament.uk/session-1","http://parliament.uk/ontologies/utility/preferredLabel","2021-22"
"http://id.parliament.uk/parliamentary-question-1","http://parliament.uk/ontologies/question-and-answer/dateForAnswer","2021-12-25"
"http://id.parliament.uk/tabling-1","http://parliament.uk/ontologies/tabling/tabledOn","2021-10-18"
"http://id.parliament.uk/parliamentary-question-1","http://parliament.uk/ontologies/question-and-answer/askedBy","file:///home/runner/work/ontologies/ontologies/seat-incumbency-1"
"http://id.parliament.uk/house-seat-1","http://parliament.uk/ontologies/house-membership/inHouse","http://id.parliament.uk/house-1"
"http://id.parliament.uk/identifier-1","http://parliament.uk/ontologies/utility/identifierValue","280"
"http://id.parliament.uk/parliamentary-question-1","http://parliament.uk/ontologies/question-and-answer/questionText","This is a question?"
"http://id.parliament.uk/parliament-period-1","http://parliament.uk/ontologies/utility/ordinality","58"
"http://id.parliament.uk/person-1","http://parliament.uk/ontologies/utility/hasIdentifier","http://id.parliament.uk/identifier-1"
"http://id.parliament.uk/answer-expected-as-1","http://parliament.uk/ontologies/utility/startAt","2021-10-18T10:42:02"
"http://id.parliament.uk/answering-body-1","http://parliament.uk/ontologies/utility/preferredLabel","Cabinet Office"
"http://id.parliament.uk/answering-body-1","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://parliament.uk/ontologies/question-and-answer/AnsweringBody"
"http://id.parliament.uk/tabling-1","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://parliament.uk/ontologies/tabling/Tabling"
"http://id.parliament.uk/session-1","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://parliament.uk/ontologies/time-period/Session"
"http://id.parliament.uk/allocation-1","http://parliament.uk/ontologies/utility/startAt","2021-10-18T10:42:02"
"http://id.parliament.uk/parliamentary-question-1","http://parliament.uk/ontologies/question-and-answer/isQuestionSubstantive","true"
"http://id.parliament.uk/allocation-1","http://parliament.uk/ontologies/question-and-answer/allocatedTo","http://id.parliament.uk/answering-body-1"
"http://id.parliament.uk/session-1","http://parliament.uk/ontologies/time-period/sessionInParliamentPeriod","http://id.parliament.uk/parliament-period-1"
"http://id.parliament.uk/identifier-source-1","http://parliament.uk/ontologies/utility/preferredLabel","Members' Names Information Service"
"http://id.parliament.uk/parliamentary-question-1","http://parliament.uk/ontologies/question-and-answer/answerExpectedAs","http://id.parliament.uk/answer-expected-as-1"
"http://id.parliament.uk/tabling-1","http://parliament.uk/ontologies/tabling/inSession","http://id.parliament.uk/session-1"
"http://id.parliament.uk/house-seat-1","http://parliament.uk/ontologies/utility/preferredLabel","Constituency seat for Lichfield"
