"Subject","Predicate","Object"
"http://id.parliament.uk/parliamentary-question-1","http://parliament.uk/ontologies/question-and-answer/dateForAnswer","2021-12-25"
"http://id.parliament.uk/session-1","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://parliament.uk/ontologies/time-period/Session"
"http://id.parliament.uk/person-1","http://parliament.uk/ontologies/utility/preferredLabel","Michael Fabricant"
"http://id.parliament.uk/concept-1","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2004/02/skos/core#Concept"
"http://id.parliament.uk/person-1","http://parliament.uk/ontologies/utility/hasIdentifier","http://id.parliament.uk/identifier-1"
"http://id.parliament.uk/written-statement-1","http://parliament.uk/ontologies/written-statementmadeInHouse","http://id.parliament.uk/house-1"
"http://id.parliament.uk/tabling-1","http://parliament.uk/ontologies/utility/isInterestDeclared","true"
"http://id.parliament.uk/seat-incumbency-1","http://parliament.uk/ontologies/house-membership/hasIncumbent","http://id.parliament.uk/person-1"
"http://id.parliament.uk/identifier-1","http://parliament.uk/ontologies/utility/hasIdentifierSource","http://id.parliament.uk/identifier-source-1"
"http://id.parliament.uk/house-seat-1","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://parliament.uk/ontologies/house-membership/HouseSeat"
"http://id.parliament.uk/form-of-answer-1","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://parliament.uk/ontologies/question-and-answer/FormOfAnswer"
"http://id.parliament.uk/parliamentary-question-1","http://parliament.uk/ontologies/question-and-answer/pursuantTo","http://id.parliament.uk/written-statement-1"
"http://id.parliament.uk/session-1","http://parliament.uk/ontologies/time-period/sessionInParliamentPeriod","http://id.parliament.uk/parliament-period-1"
"http://id.parliament.uk/concept-annotation-1","http://parliament.uk/ontologies/utility/hasConcept","http://id.parliament.uk/concept-1"
"http://id.parliament.uk/parliament-period-1","http://parliament.uk/ontologies/utility/preferredLabel","58"
"http://id.parliament.uk/tabling-1","http://parliament.uk/ontologies/tabling/tabledOn","2021-10-18"
"http://id.parliament.uk/tabling-1","http://parliament.uk/ontologies/tabling/inSession","http://id.parliament.uk/session-1"
"http://id.parliament.uk/answering-body-1","http://parliament.uk/ontologies/utility/preferredLabel","Cabinet Office"
"http://id.parliament.uk/session-1","http://parliament.uk/ontologies/utility/ordinality","2"
"http://id.parliament.uk/tabling-1","http://parliament.uk/ontologies/tabling/tables","http://id.parliament.uk/parliamentary-question-1"
"http://id.parliament.uk/concept-annotation-1","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://parliament.uk/ontologies/utility/ConceptAnnotation"
"http://id.parliament.uk/seat-incumbency-1","http://parliament.uk/ontologies/house-membership/inHouseSeat","http://id.parliament.uk/house-seat-1"
"http://id.parliament.uk/parliamentary-question-1","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://parliament.uk/ontologies/question-and-answer/ParliamentaryQuestion"
"http://id.parliament.uk/person-1","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://parliament.uk/ontologies/agent/Person"
"http://id.parliament.uk/identifier-source-1","http://parliament.uk/ontologies/utility/abbreviationLabel","MNIS"
"http://id.parliament.uk/incumbency-1","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://parliament.uk/ontologies/agent/Incumbency"
"http://id.parliament.uk/parliament-period-1","http://parliament.uk/ontologies/utility/ordinality","58"
"http://id.parliament.uk/parliamentary-question-1","http://parliament.uk/ontologies/question-and-answer/isQuestionSubstantive","true"
"http://id.parliament.uk/allocation-1","http://parliament.uk/ontologies/utility/startAt","2021-10-18T10:42:02"
"http://id.parliament.uk/written-statement-1","http://parliament.uk/ontologies/written-statementuin","balaha78jajajaj"
