"Subject","Predicate","Object"
"http://id.parliament.uk/answer-expected-as-change-reason-1","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://parliament.uk/ontologies/question-and-answer/AnswerExpectedAsChangeReason"
"http://id.parliament.uk/answer-1","http://parliament.uk/ontologies/question-and-answer/answeredBy","http://id.parliament.uk/incumbency-2"
"http://id.parliament.uk/person-1","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://parliament.uk/ontologies/agent/Person"
"http://id.parliament.uk/answer-3","http://parliament.uk/ontologies/utility/createdAt","2021-10-29T11:47:02"
"http://id.parliament.uk/answer-3","http://parliament.uk/ontologies/question-and-answer/replacesAnswer","http://id.parliament.uk/answer-2"
"http://id.parliament.uk/person-1","http://parliament.uk/ontologies/utility/hasIdentifier","http://id.parliament.uk/identifier-1"
"http://id.parliament.uk/answer-2","http://parliament.uk/ontologies/question-and-answer/replacesAnswer","http://id.parliament.uk/answer-1"
"http://id.parliament.uk/identifier-source-1","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://parliament.uk/ontologies/utility/IdentifierSource"
"http://id.parliament.uk/answering-body-1","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://parliament.uk/ontologies/question-and-answer/AnsweringBody"
"http://id.parliament.uk/written-statement-1","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://parliament.uk/ontologies/written-statementWrittenStatementExpression"
"http://id.parliament.uk/person-1","http://parliament.uk/ontologies/utility/preferredLabel","Michael Fabricant"
"http://id.parliament.uk/tabling-1","http://parliament.uk/ontologies/tabling/inSession","http://id.parliament.uk/session-1"
"http://id.parliament.uk/session-1","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://parliament.uk/ontologies/time-period/Session"
"http://id.parliament.uk/written-statement-expression-2","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://parliament.uk/ontologies/written-statementWrittenStatmementExpression"
"http://id.parliament.uk/answer-3","http://parliament.uk/ontologies/question-and-answer/hasAnswerType","http://id.parliament.uk/answer-type-3"
"http://id.parliament.uk/answer-1","http://parliament.uk/ontologies/question-and-answer/answeringBody","http://id.parliament.uk/answering-body-2"
"http://id.parliament.uk/incumbency-2","http://parliament.uk/ontologies/agent/hasPosition","http://id.parliament.uk/position-1"
"http://id.parliament.uk/parliamentary-question-1","http://parliament.uk/ontologies/question-and-answer/questionText","This is a question?"
"http://id.parliament.uk/written-statement-1","http://parliament.uk/ontologies/written-statementstatementText","The is the text of an old written statement as made to a House."
"http://id.parliament.uk/identifier-source-1","http://parliament.uk/ontologies/utility/preferredLabel","Members' Names Information Service"
"http://id.parliament.uk/session-1","http://parliament.uk/ontologies/utility/ordinality","2"
"http://id.parliament.uk/person-2","http://parliament.uk/ontologies/utility/preferredLabel","Priti Patel"
"http://id.parliament.uk/session-1","http://parliament.uk/ontologies/time-period/sessionInParliamentPeriod","http://id.parliament.uk/parliament-period-1"
"http://id.parliament.uk/transferral-1","http://parliament.uk/ontologies/question-and-answer/transferredTo","http://id.parliament.uk/allocation-2"
"http://id.parliament.uk/answer-2","http://parliament.uk/ontologies/question-and-answer/isOralAnswer","false"
"http://id.parliament.uk/written-statement-expression-2","http://parliament.uk/ontologies/written-statementstatementText","Really sorry. There was a big oops."
"http://id.parliament.uk/tabling-1","http://parliament.uk/ontologies/utility/isInterestDeclared","true"
"http://id.parliament.uk/tabling-1","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://parliament.uk/ontologies/tabling/Tabling"
"http://id.parliament.uk/allocation-1","http://parliament.uk/ontologies/utility/endAt","2021-10-24T10:30:02"
"http://id.parliament.uk/position-1","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://parliament.uk/ontologies/agent/Position"
"http://id.parliament.uk/person-2","http://parliament.uk/ontologies/agent/hasIncumbency","http://id.parliament.uk/incumbency-2"
"http://id.parliament.uk/parliamentary-question-1","http://parliament.uk/ontologies/question-and-answer/answerExpectedAs","http://id.parliament.uk/answer-expected-as-2"
"http://id.parliament.uk/answer-2","http://parliament.uk/ontologies/question-and-answer/answeringBody","http://id.parliament.uk/answering-body-2"
"http://id.parliament.uk/parliamentary-question-1","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://parliament.uk/ontologies/question-and-answer/ParliamentaryQuestion"
"http://id.parliament.uk/house-seat-1","http://parliament.uk/ontologies/house-membership/inHouse","http://id.parliament.uk/house-1"
"http://id.parliament.uk/written-statement-1","http://parliament.uk/ontologies/written-statementmadeBy","http://id.parliament.uk/incumbency-1"
"http://id.parliament.uk/answer-2","http://parliament.uk/ontologies/utility/preferredLabel","Substantive answer"
"http://id.parliament.uk/answer-1","http://parliament.uk/ontologies/question-and-answer/hasAnswerType","http://id.parliament.uk/answer-type-1"
"http://id.parliament.uk/tabling-1","http://parliament.uk/ontologies/tabling/tabledOn","2021-10-18"
"http://id.parliament.uk/house-seat-1","http://parliament.uk/ontologies/utility/preferredLabel","Constituency seat for Lichfield"
"http://id.parliament.uk/written-statement-1","http://parliament.uk/ontologies/written-statementuin","balaha78jajajaj"
"http://id.parliament.uk/answer-expected-as-change-1","http://parliament.uk/ontologies/utility/createdAt","2021-10-22T10:42:02"
"http://id.parliament.uk/answering-body-2","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://parliament.uk/ontologies/question-and-answer/AnsweringBody"
"http://id.parliament.uk/answer-3","http://parliament.uk/ontologies/question-and-answer/answeringBody","http://id.parliament.uk/answering-body-2"
"http://id.parliament.uk/concept-1","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2004/02/skos/core#Concept"
"http://id.parliament.uk/transferral-1","http://parliament.uk/ontologies/utility/createdAt","2021-10-24T10:30:03"
"http://id.parliament.uk/parliamentary-question-1","http://parliament.uk/ontologies/utility/hasConceptAnnotation","http://id.parliament.uk/concept-annotation-1"
"http://id.parliament.uk/incumbency-1","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://parliament.uk/ontologies/agent/Incumbency"
"http://id.parliament.uk/transferral-1","http://parliament.uk/ontologies/question-and-answer/transferredFrom","http://id.parliament.uk/allocation-1"
"http://id.parliament.uk/concept-annotation-1","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://parliament.uk/ontologies/utility/ConceptAnnotation"
"http://id.parliament.uk/house-seat-1","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://parliament.uk/ontologies/house-membership/HouseSeat"
"http://id.parliament.uk/answer-expected-as-1","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://parliament.uk/ontologies/question-and-answer/AnswerExpectedAs"
"http://id.parliament.uk/answer-1","http://parliament.uk/ontologies/question-and-answer/isOralAnswer","false"
"http://id.parliament.uk/identifier-1","http://parliament.uk/ontologies/utility/hasIdentifierSource","http://id.parliament.uk/identifier-source-1"
"http://id.parliament.uk/written-statement-expression-2","http://parliament.uk/ontologies/written-statementmadeInHouse","http://id.parliament.uk/house-1"
"http://id.parliament.uk/parliament-period-1","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://parliament.uk/ontologies/time-period/ParliamentPeriod"
"http://id.parliament.uk/transferral-1","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://parliament.uk/ontologies/question-and-answer/Transferral"
"http://id.parliament.uk/answer-expected-as-change-1","http://parliament.uk/ontologies/question-and-answer/hasChangeReason","http://id.parliament.uk/answer-expected-as-change-reason-1"
"http://id.parliament.uk/answer-3","http://parliament.uk/ontologies/question-and-answer/answeredBy","http://id.parliament.uk/incumbency-2"
"http://id.parliament.uk/answer-2","http://parliament.uk/ontologies/utility/createdAt","2021-10-28T11:47:02"
"http://id.parliament.uk/written-statement-expression-2","http://parliament.uk/ontologies/written-statementmadeOn","2021-11-04"
"http://id.parliament.uk/form-of-answer-1","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://parliament.uk/ontologies/question-and-answer/FormOfAnswer"
"http://id.parliament.uk/house-1","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://parliament.uk/ontologies/house-membership/House"
"http://id.parliament.uk/answering-body-1","http://parliament.uk/ontologies/utility/preferredLabel","Cabinet Office"
"http://id.parliament.uk/allocation-1","http://parliament.uk/ontologies/question-and-answer/allocatedTo","http://id.parliament.uk/answering-body-1"
"http://id.parliament.uk/written-statement-expression-2","http://parliament.uk/ontologies/written-statementtitle","Big oops"
"http://id.parliament.uk/answer-expected-as-change-1","http://parliament.uk/ontologies/question-and-answer/changedTo","http://id.parliament.uk/answer-expected-as-2"
"http://id.parliament.uk/identifier-1","http://parliament.uk/ontologies/utility/identifierValue","280"
"http://id.parliament.uk/session-1","http://parliament.uk/ontologies/utility/preferredLabel","2021-22"
"http://id.parliament.uk/concept-annotation-1","http://parliament.uk/ontologies/utility/createdAt","2019-04-12T10:42:02"
"http://id.parliament.uk/parliamentary-question-1","http://parliament.uk/ontologies/question-and-answer/pursuantTo","http://id.parliament.uk/written-statement-1"
"http://id.parliament.uk/allocation-2","http://parliament.uk/ontologies/utility/startAt","2021-10-24T10:30:03"
"http://id.parliament.uk/answer-1","http://parliament.uk/ontologies/utility/preferredLabel","Holding answer"
"http://id.parliament.uk/answer-1","http://parliament.uk/ontologies/utility/createdAt","2021-10-25T11:47:02"
"http://id.parliament.uk/written-statement-1","http://parliament.uk/ontologies/written-statementmadeInHouse","http://id.parliament.uk/house-1"
"http://id.parliament.uk/written-statement-1","http://parliament.uk/ontologies/written-statementexpressionOf","http://id.parliament.uk/written-statement-work-1"
"http://id.parliament.uk/answer-2","http://parliament.uk/ontologies/question-and-answer/answerText","This is an actual answer."
"http://id.parliament.uk/position-1","http://parliament.uk/ontologies/utility/preferredLabel","Home Secretary"
"http://id.parliament.uk/person-2","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://parliament.uk/ontologies/agent/Person"
"http://id.parliament.uk/form-of-answer-2","http://parliament.uk/ontologies/utility/preferredLabel","Written"
"http://id.parliament.uk/answer-3","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://parliament.uk/ontologies/question-and-answer/Answer"
"http://id.parliament.uk/seat-incumbency-1","http://parliament.uk/ontologies/house-membership/inHouseSeat","http://id.parliament.uk/house-seat-1"
"http://id.parliament.uk/parliamentary-question-1","http://parliament.uk/ontologies/question-and-answer/allocation","http://id.parliament.uk/allocation-1"
