"Subject","Predicate","Object"
"http://id.parliament.uk/incumbency-2","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://parliament.uk/ontologies/agent/Incumbency"
"http://id.parliament.uk/seat-incumbency-1","http://parliament.uk/ontologies/house-membership/hasIncumbent","http://id.parliament.uk/person-1"
"http://id.parliament.uk/concept-annotation-1","http://parliament.uk/ontologies/utility/hasConcept","http://id.parliament.uk/concept-1"
"http://id.parliament.uk/tabling-1","http://parliament.uk/ontologies/tabling/tabledBy","http://id.parliament.uk/seat-incumbency-1"
"http://id.parliament.uk/answer-expected-as-1","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://parliament.uk/ontologies/question-and-answer/AnswerExpectedAs"
"http://id.parliament.uk/parliamentary-question-1","http://parliament.uk/ontologies/question-and-answer/allocation","http://id.parliament.uk/allocation-1"
"http://id.parliament.uk/form-of-answer-1","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://parliament.uk/ontologies/question-and-answer/FormOfAnswer"
"http://id.parliament.uk/answering-body-2","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://parliament.uk/ontologies/question-and-answer/AnsweringBody"
"http://id.parliament.uk/house-seat-1","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://parliament.uk/ontologies/house-membership/HouseSeat"
"http://id.parliament.uk/person-1","http://parliament.uk/ontologies/utility/preferredLabel","Lord Prescott"
"http://id.parliament.uk/tabling-1","http://parliament.uk/ontologies/tabling/hasHouse","http://id.parliament.uk/house-1"
"http://id.parliament.uk/identifier-source-1","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://parliament.uk/ontologies/utility/IdentifierSource"
"http://id.parliament.uk/transferral-1","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://parliament.uk/ontologies/question-and-answer/Transferral"
"http://id.parliament.uk/answer-1","http://parliament.uk/ontologies/question-and-answer/answeringBody","http://id.parliament.uk/answering-body-2"
"http://id.parliament.uk/parliamentary-question-1","http://parliament.uk/ontologies/question-and-answer/isDateForAnswerNamed","false"
"http://id.parliament.uk/tabling-1","http://parliament.uk/ontologies/tabling/tables","http://id.parliament.uk/parliamentary-question-1"
"http://id.parliament.uk/identifier-source-1","http://parliament.uk/ontologies/utility/abbreviationLabel","MNIS"
"http://id.parliament.uk/incumbency-1","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://parliament.uk/ontologies/agent/Incumbency"
"http://id.parliament.uk/house-1","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://parliament.uk/ontologies/house-membership/House"
"http://id.parliament.uk/answer-expected-as-1","http://parliament.uk/ontologies/question-and-answer/answerExpectedInForm","http://id.parliament.uk/form-of-answer-1"
"http://id.parliament.uk/parliamentary-question-1","http://parliament.uk/ontologies/utility/includesRequestForStatistics","true"
"http://id.parliament.uk/written-statement-1","http://parliament.uk/ontologies/written-statementuin","balaha78jajajaj"
"http://id.parliament.uk/answer-1","http://parliament.uk/ontologies/utility/preferredLabel","Holding answer"
"http://id.parliament.uk/identifier-1","http://parliament.uk/ontologies/utility/hasIdentifierSource","http://id.parliament.uk/identifier-source-1"
"http://id.parliament.uk/tabling-1","http://parliament.uk/ontologies/utility/isInterestDeclared","true"
"http://id.parliament.uk/parliament-period-1","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://parliament.uk/ontologies/time-period/ParliamentPeriod"
"http://id.parliament.uk/person-2","http://parliament.uk/ontologies/utility/preferredLabel","Priti Patel"
"http://id.parliament.uk/written-statement-1","http://parliament.uk/ontologies/written-statementmadeBy","http://id.parliament.uk/incumbency-1"
"http://id.parliament.uk/session-1","http://parliament.uk/ontologies/utility/preferredLabel","2021-22"
"http://id.parliament.uk/parliamentary-question-1","http://parliament.uk/ontologies/question-and-answer/dateForAnswer","2021-12-25"
"http://id.parliament.uk/tabling-1","http://parliament.uk/ontologies/tabling/tabledOn","2021-10-18"
"http://id.parliament.uk/parliamentary-question-1","http://parliament.uk/ontologies/question-and-answer/askedBy","file:///home/runner/work/ontologies/ontologies/seat-incumbency-1"
"http://id.parliament.uk/identifier-1","http://parliament.uk/ontologies/utility/identifierValue","374"
"http://id.parliament.uk/written-statement-1","http://parliament.uk/ontologies/written-statementstatementText","The is the text of an old written statement as made to a House."
"http://id.parliament.uk/concept-1","http://www.w3.org/2004/02/skos/core#prefLabel","Horse"
"http://id.parliament.uk/parliament-period-1","http://parliament.uk/ontologies/utility/ordinality","58"
"http://id.parliament.uk/allocation-2","http://parliament.uk/ontologies/utility/startAt","2021-10-24T10:30:03"
