"Subject","Predicate","Object"
"http://id.parliament.uk/12345686","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://parliament.uk/ontologies/house-membership/SeatIncumbency"
"http://id.parliament.uk/12345683","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://parliament.uk/ontologies/tabling/Tabling"
"http://id.parliament.uk/12345683","http://parliament.uk/ontologies/tabling/tabledBy","http://id.parliament.uk/12345686"
"http://id.parliament.uk/12345680","http://parliament.uk/ontologies/utility/endOn","2021-10-19"
"http://id.parliament.uk/12345693","http://parliament.uk/ontologies/question-and-answer/isOralAnswer","false"
"http://id.parliament.uk/12345693","http://parliament.uk/ontologies/question-and-answer/hasAnswerType","http://id.parliament.uk/12345694"
"http://id.parliament.uk/12345696","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://parliament.uk/ontologies/utility/Identifier"
"http://id.parliament.uk/12345680","http://parliament.uk/ontologies/question-and-answer/allocatedTo","http://id.parliament.uk/12345681"
"http://id.parliament.uk/12345693","http://parliament.uk/ontologies/question-and-answer/answeringMember","http://id.parliament.uk/12345695"
"http://id.parliament.uk/12345692","http://parliament.uk/ontologies/utility/createdAt","2021-10-19T10:37:04"
"http://id.parliament.uk/12345689","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://parliament.uk/ontologies/utility/IdentifierSource"
"http://id.parliament.uk/12345693","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://parliament.uk/ontologies/question-and-answer/Answer"
"http://id.parliament.uk/12345685","http://parliament.uk/ontologies/utility/preferredLabel","58"
"http://id.parliament.uk/12345684","http://parliament.uk/ontologies/utility/preferredLabel","2021-22"
"http://id.parliament.uk/12345679","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://parliament.uk/ontologies/question-and-answer/AnswerExpectedAs"
"http://id.parliament.uk/12345697","http://parliament.uk/ontologies/question-and-answer/answerTo","http://id.parliament.uk/12345678"
"http://id.parliament.uk/12345683","http://parliament.uk/ontologies/tabling/tables","http://id.parliament.uk/12345678"
"http://id.parliament.uk/12345693","http://parliament.uk/ontologies/question-and-answer/answeringBody","http://id.parliament.uk/12345691"
"http://id.parliament.uk/12345697","http://parliament.uk/ontologies/utility/createdAt","2021-10-26T12:37:04"
"http://id.parliament.uk/12345694","http://parliament.uk/ontologies/utility/preferredLabel","Holding answer"
"http://id.parliament.uk/12345684","http://parliament.uk/ontologies/utility/ordinality","2"
"http://id.parliament.uk/12345685","http://parliament.uk/ontologies/utility/ordinality","58"
"http://id.parliament.uk/12345678","http://parliament.uk/ontologies/question-and-answer/questionText","This is a question?"
"http://id.parliament.uk/12345693","http://parliament.uk/ontologies/question-and-answer/answerTo","http://id.parliament.uk/12345678"
"http://id.parliament.uk/12345687","http://parliament.uk/ontologies/utility/preferredLabel","John Prescott"
"http://id.parliament.uk/12345689","http://parliament.uk/ontologies/utility/preferredLabel","Members' Names Information Service"
"http://id.parliament.uk/12345688","http://parliament.uk/ontologies/utility/hasIdentifierSource","http://id.parliament.uk/12345689"
"http://id.parliament.uk/12345696","http://parliament.uk/ontologies/utility/hasIdentifierSource","http://id.parliament.uk/12345689"
"http://id.parliament.uk/12345682","http://parliament.uk/ontologies/utility/preferredLabel","House of Commons"
"http://id.parliament.uk/12345697","http://parliament.uk/ontologies/question-and-answer/hasAnswerType","http://id.parliament.uk/12345698"
"http://id.parliament.uk/12345697","http://parliament.uk/ontologies/question-and-answer/answeringMember","http://id.parliament.uk/12345695"
"http://id.parliament.uk/12345678","http://parliament.uk/ontologies/question-and-answer/allocation","http://id.parliament.uk/12345680"
"http://id.parliament.uk/12345697","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://parliament.uk/ontologies/question-and-answer/Answer"
"http://id.parliament.uk/12345683","http://parliament.uk/ontologies/tabling/tabledOn","2021-10-18"
"http://id.parliament.uk/12345683","http://parliament.uk/ontologies/tabling/inSession","http://id.parliament.uk/12345684"
"http://id.parliament.uk/12345692","http://parliament.uk/ontologies/question-and-answer/transferredFrom","http://id.parliament.uk/12345680"
"http://id.parliament.uk/12345699","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://parliament.uk/ontologies/question-and-answer/AnswerType"
"http://id.parliament.uk/12345679","http://parliament.uk/ontologies/utility/startOn","2021-10-18"
"http://id.parliament.uk/12345678","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://parliament.uk/ontologies/question-and-answer/ParliamentaryQuestion"
"http://id.parliament.uk/12345685","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://parliament.uk/ontologies/time-period/ParliamentPeriod"
"http://id.parliament.uk/12345688","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://parliament.uk/ontologies/utility/Identifier"
"http://id.parliament.uk/12345678","http://parliament.uk/ontologies/question-and-answer/isQuestionSubstantive","true"
"http://id.parliament.uk/12345681","http://parliament.uk/ontologies/utility/preferredLabel","Cabinet Office"
"http://id.parliament.uk/12345698","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://parliament.uk/ontologies/question-and-answer/AnswerType"
"http://id.parliament.uk/12345689","http://parliament.uk/ontologies/utility/abbreviationLabel","MNIS"
"http://id.parliament.uk/12345697","http://parliament.uk/ontologies/question-and-answer/answeringBody","http://id.parliament.uk/12345691"
"http://id.parliament.uk/12345678","http://parliament.uk/ontologies/question-and-answer/dateForAnswer","2021-12-25"
"http://id.parliament.uk/12345684","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://parliament.uk/ontologies/time-period/Session"
"http://id.parliament.uk/12345678","http://parliament.uk/ontologies/question-and-answer/answerExpectedAs","http://id.parliament.uk/12345679"
"http://id.parliament.uk/12345697","http://parliament.uk/ontologies/question-and-answer/refersToDocument","http://id.parliament.uk/12345699"
"http://id.parliament.uk/12345697","http://parliament.uk/ontologies/question-and-answer/answerText","This is a real answer"
"http://id.parliament.uk/12345682","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://parliament.uk/ontologies/house-membership/House"
"http://id.parliament.uk/12345693","http://parliament.uk/ontologies/question-and-answer/answerText","This is some holding text"
"http://id.parliament.uk/12345698","http://parliament.uk/ontologies/utility/preferredLabel","Substantive answer"
"http://id.parliament.uk/12345680","http://parliament.uk/ontologies/utility/startOn","2021-10-18"
"http://id.parliament.uk/12345690","http://parliament.uk/ontologies/question-and-answer/allocatedTo","http://id.parliament.uk/12345691"
"http://id.parliament.uk/12345684","http://parliament.uk/ontologies/time-period/sessionInParliamentPeriod","http://id.parliament.uk/12345685"
"http://id.parliament.uk/12345688","http://parliament.uk/ontologies/utility/identifierValue","374"
"http://id.parliament.uk/12345686","http://parliament.uk/ontologies/house-membership/hasIncumbent","http://id.parliament.uk/12345687"
"http://id.parliament.uk/12345690","http://parliament.uk/ontologies/utility/startOn","2021-10-19"
"http://id.parliament.uk/12345678","http://parliament.uk/ontologies/question-and-answer/heading","A heading"
"http://id.parliament.uk/12345679","http://parliament.uk/ontologies/question-and-answer/isOralAnswerExpected","false"
"http://id.parliament.uk/12345695","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://parliament.uk/ontologies/agent/Person"
"http://id.parliament.uk/12345695","http://parliament.uk/ontologies/utility/preferredLabel","Stephen Barclay"
"http://id.parliament.uk/12345697","http://parliament.uk/ontologies/question-and-answer/isOralAnswer","false"
"http://id.parliament.uk/12345678","http://parliament.uk/ontologies/question-and-answer/isNamedDay","false"
"http://id.parliament.uk/12345683","http://parliament.uk/ontologies/tabling/hasHouse","http://id.parliament.uk/12345682"
"http://id.parliament.uk/12345680","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://parliament.uk/ontologies/question-and-answer/AllocatedAnsweringBody"
"http://id.parliament.uk/12345697","http://parliament.uk/ontologies/question-and-answer/replacesAnswer","http://id.parliament.uk/12345693"
"http://id.parliament.uk/12345692","http://parliament.uk/ontologies/question-and-answer/transferredTo","http://id.parliament.uk/12345690"
"http://id.parliament.uk/12345692","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://parliament.uk/ontologies/question-and-answer/Transferral"
"http://id.parliament.uk/12345693","http://parliament.uk/ontologies/utility/createdAt","2021-10-21T17:37:04"
"http://id.parliament.uk/12345690","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://parliament.uk/ontologies/question-and-answer/AllocatedAnsweringBody"
"http://id.parliament.uk/12345694","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://parliament.uk/ontologies/question-and-answer/AnswerType"
