"Subject","Predicate","Object"
"http://id.parliament.uk/12345682","http://parliament.uk/ontologies/question-and-answer/isOralAnswer","true"
"http://id.parliament.uk/12345678","http://parliament.uk/ontologies/question-and-answer/isNamedDay","false"
"http://id.parliament.uk/12345681","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://parliament.uk/ontologies/question-and-answer/AnsweringBody"
"http://id.parliament.uk/12345682","http://parliament.uk/ontologies/question-and-answer/answerText","This is an earlier answer to an oral question."
"http://id.parliament.uk/12345680","http://parliament.uk/ontologies/utility/startOn","2021-10-18"
"http://id.parliament.uk/12345679","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://parliament.uk/ontologies/question-and-answer/AnswerExpectedAs"
"http://id.parliament.uk/12345678","http://parliament.uk/ontologies/question-and-answer/isQuestionSubstantive","true"
"http://id.parliament.uk/12345682","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://parliament.uk/ontologies/question-and-answer/Answer"
"http://id.parliament.uk/12345680","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://parliament.uk/ontologies/question-and-answer/AllocatedAnsweringBody"
"http://id.parliament.uk/12345678","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://parliament.uk/ontologies/question-and-answer/ParliamentaryQuestion"
"http://id.parliament.uk/12345678","http://parliament.uk/ontologies/tabling/tabledOn","2021-10-18"
"http://id.parliament.uk/12345679","http://parliament.uk/ontologies/question-and-answer/isOralAnswerExpected","false"
"http://id.parliament.uk/12345678","http://parliament.uk/ontologies/question-and-answer/answerExpectedAs","http://id.parliament.uk/12345679"
"http://id.parliament.uk/12345678","http://parliament.uk/ontologies/question-and-answer/dateForAnswer","2021-12-25"
"http://id.parliament.uk/12345678","http://parliament.uk/ontologies/question-and-answer/allocation","http://id.parliament.uk/12345680"
"http://id.parliament.uk/12345678","http://parliament.uk/ontologies/question-and-answer/heading","A heading"
"http://id.parliament.uk/12345680","http://parliament.uk/ontologies/question-and-answer/allocatedTo","http://id.parliament.uk/12345681"
"http://id.parliament.uk/12345679","http://parliament.uk/ontologies/utility/startOn","2021-10-18"
"http://id.parliament.uk/12345678","http://parliament.uk/ontologies/question-and-answer/inPursuantTo","http://id.parliament.uk/12345682"
"http://id.parliament.uk/12345678","http://parliament.uk/ontologies/question-and-answer/questionText","This is a question?"
"http://id.parliament.uk/12345681","http://parliament.uk/ontologies/utility/preferredLabel","CabinetOffice"
