"Subject","Predicate","Object"
"http://parliament.uk/ontologies/question-and-answer/AnswerExpectedAsChangeReason","http://www.w3.org/2000/01/rdf-schema#label","Answer expected as change reason"
"http://parliament.uk/ontologies/question-and-answer/answerExpectedAs","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/question-and-answer/Question"
"http://parliament.uk/ontologies/question-and-answer/isAnswerOral","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/question-and-answer/"
"http://parliament.uk/ontologies/question-and-answer/Document","http://www.w3.org/2000/01/rdf-schema#label","Document"
"http://parliament.uk/ontologies/question-and-answer/AnswerExpectedAsChange","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/question-and-answer/"
"http://parliament.uk/ontologies/question-and-answer/startsAllocation","http://www.w3.org/2000/01/rdf-schema#comment","Relates an act of transferral to the answering body allocation started by that transferral. A transferral always starts one allocation. An allocation may be started by one transferral, or none."
"http://parliament.uk/ontologies/question-and-answer/Transferral","http://www.w3.org/2000/01/rdf-schema#label","Transferral"
"http://parliament.uk/ontologies/question-and-answer/heading","http://www.w3.org/2000/01/rdf-schema#comment","Relates a question to its heading text. For a written parliamentary question this is supplied by the Indexing and Data Management Section in the House of Commons Library. For oral parliamentary questions, the headings are supplied by Lords or Commons Hansard."
"http://parliament.uk/ontologies/question-and-answer/isDateForAnswerNamed","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/question-and-answer/"
"http://parliament.uk/ontologies/question-and-answer/PursuableThing","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/question-and-answer/"
"http://parliament.uk/ontologies/question-and-answer/answeringBody","http://www.w3.org/2000/01/rdf-schema#label","Answering body"
"http://parliament.uk/ontologies/question-and-answer/hasChangeReason","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty"
"http://parliament.uk/ontologies/question-and-answer/refersToPreviousAnswer","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/question-and-answer/"
"http://parliament.uk/ontologies/question-and-answer/Incumbency","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://parliament.uk/ontologies/question-and-answer/ParliamentaryQuestion","http://www.w3.org/2000/01/rdf-schema#subClassOf","http://parliament.uk/ontologies/question-and-answer/Question"
"http://parliament.uk/ontologies/question-and-answer/heading","http://www.w3.org/2000/01/rdf-schema#label","Heading"
"http://parliament.uk/ontologies/question-and-answer/questionText","http://www.w3.org/2000/01/rdf-schema#label","Question text"
"http://parliament.uk/ontologies/question-and-answer/DelegatedAnswer","http://www.w3.org/2000/01/rdf-schema#subClassOf","http://parliament.uk/ontologies/question-and-answer/Answer"
"http://parliament.uk/ontologies/question-and-answer/delegatedTo","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/question-and-answer/DelegatedAnswer"
"http://parliament.uk/ontologies/question-and-answer/answerTo","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty"
"http://parliament.uk/ontologies/question-and-answer/askedBy","http://www.w3.org/2000/01/rdf-schema#range","http://parliament.uk/ontologies/question-and-answer/Incumbency"
"http://parliament.uk/ontologies/question-and-answer/answeredBy","http://www.w3.org/2000/01/rdf-schema#label","Answered by"
"http://parliament.uk/ontologies/question-and-answer/refersToLibraryDeposit","http://www.w3.org/2000/01/rdf-schema#label","Refers to Library deposit"
"http://parliament.uk/ontologies/question-and-answer/OrganisationAccountableToParliament","http://www.w3.org/2000/01/rdf-schema#comment","An organisation accountable to Parliament: being a Government department, a Government organisation, a non-governmental organisation with a duty to answer questions or an organisation with a duty to lay papers."
"http://parliament.uk/ontologies/question-and-answer/ArmsLengthBody","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/question-and-answer/"
"ndd80500703644142b9f368bc224dee52b1","http://xmlns.com/foaf/0.1/name","Robert Brook"
"http://parliament.uk/ontologies/question-and-answer/Transferral","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://parliament.uk/ontologies/question-and-answer/AnswerType","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://parliament.uk/ontologies/question-and-answer/replacesAnswer","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty"
"http://parliament.uk/ontologies/question-and-answer/delegatedTo","http://www.w3.org/2000/01/rdf-schema#range","http://parliament.uk/ontologies/question-and-answer/ArmsLengthBody"
"http://parliament.uk/ontologies/question-and-answer/changedFrom","http://www.w3.org/2000/01/rdf-schema#label","Changed from"
"http://parliament.uk/ontologies/question-and-answer/hasAnswerType","http://www.w3.org/2000/01/rdf-schema#comment","Relates an answer to its type i.e. a holding answer, substantive answer or corrected substantive answer."
"http://parliament.uk/ontologies/question-and-answer/LibraryDeposit","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/question-and-answer/"
"http://parliament.uk/ontologies/question-and-answer/answerExpectedInForm","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/question-and-answer/AnswerExpectedAs"
"http://parliament.uk/ontologies/question-and-answer/endsAllocation","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/question-and-answer/"
"http://parliament.uk/ontologies/question-and-answer/AnsweringBody","http://www.w3.org/2000/01/rdf-schema#comment","A body of whom Members can ask questions. In the House of Commons this may be a government department, a Parliamentary body or a body external to Parliament, for example: the House of Commons Commission or Church Commissioners. In the House of Lords, questions are addressed to Her Majesty's Government rather than to a department or body. In the House of Lords, the Table Office assigns written and private notice questions to an answering body. For questions in expectation of an oral answer, no assignment takes place."
"http://parliament.uk/ontologies/question-and-answer/isAnswerOral","http://www.w3.org/2000/01/rdf-schema#range","http://www.w3.org/2001/XMLSchema#boolean"
"http://parliament.uk/ontologies/question-and-answer/refersToLibraryDeposit","http://www.w3.org/2000/01/rdf-schema#range","http://parliament.uk/ontologies/question-and-answer/LibraryDeposit"
"http://parliament.uk/ontologies/question-and-answer/","http://xmlns.com/foaf/0.1/maker","ndd80500703644142b9f368bc224dee52b4"
"http://parliament.uk/ontologies/question-and-answer/askedBy","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/question-and-answer/"
