"Subject","Predicate","Object"
"http://parliament.uk/ontologies/record-review/Work","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/record-review/"
"http://parliament.uk/ontologies/record-review/hasReviewCycle","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty"
"http://parliament.uk/ontologies/record-review/by","http://www.w3.org/2000/01/rdf-schema#range","http://parliament.uk/ontologies/record-review/Agent"
"http://parliament.uk/ontologies/record-review/submits","http://www.w3.org/2000/01/rdf-schema#label","Makes"
"http://parliament.uk/ontologies/record-review/hasReviewCycle","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/record-review/"
"http://parliament.uk/ontologies/record-review/Withdrawal","http://www.w3.org/2000/01/rdf-schema#subClassOf","http://parliament.uk/ontologies/record-review/EditorialAction"
"http://parliament.uk/ontologies/record-review/at","http://www.w3.org/2000/01/rdf-schema#range","http://www.w3.org/2001/XMLSchema#dateTime"
"http://parliament.uk/ontologies/record-review/reinstatedAt","http://www.w3.org/2000/01/rdf-schema#comment","Relates a withdrawal of a manifestation to the time at which it was withdrawn."
"http://parliament.uk/ontologies/record-review/Manifestation","http://www.w3.org/2000/01/rdf-schema#comment","A manifestation of an expression of a work, allowing for multiple versions of an expression over time, for example: an edition of a book, or a remastered audio file of a podcast episode."
"http://parliament.uk/ontologies/record-review/reviewedOn","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/record-review/EditorialReview"
"http://parliament.uk/ontologies/record-review/publishedAt","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#DatatypeProperty"
"http://parliament.uk/ontologies/record-review/resultsIn","http://www.w3.org/2000/01/rdf-schema#label","Results in"
"http://parliament.uk/ontologies/record-review/Revision","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://parliament.uk/ontologies/record-review/supersedes","http://www.w3.org/2000/01/rdf-schema#label","Supersedes"
"http://parliament.uk/ontologies/record-review/leadsToNew","http://www.w3.org/2000/01/rdf-schema#range","http://parliament.uk/ontologies/record-review/Work"
"http://parliament.uk/ontologies/record-review/Withdrawal","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/record-review/"
"http://parliament.uk/ontologies/record-review/hasReviewCycle","http://www.w3.org/2000/01/rdf-schema#comment","Relates a work to the review cycle of that work. A work has a single review cycle, or none."
"http://parliament.uk/ontologies/record-review/reviewedOn","http://www.w3.org/2000/01/rdf-schema#comment","Relates an editorial review of a manifestation to the date on which the review took place."
"http://parliament.uk/ontologies/record-review/hasRevisionType","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty"
"http://parliament.uk/ontologies/record-review/hasRevisionTypeDescription","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#DatatypeProperty"
"http://parliament.uk/ontologies/record-review/Revision","http://www.w3.org/2000/01/rdf-schema#comment","The action of revising an existing manifestation, resulting in a new manifestation. The existing manifestation remains unchanged."
"http://parliament.uk/ontologies/record-review/","http://purl.org/dc/terms/rights","Open Parliament Licence v3.0"
"http://parliament.uk/ontologies/record-review/EditorialReview","http://www.w3.org/2000/01/rdf-schema#label","Editorial review"
"http://parliament.uk/ontologies/record-review/Revision","http://www.w3.org/2000/01/rdf-schema#label","Revision"
"http://parliament.uk/ontologies/record-review/receivedAt","http://www.w3.org/2000/01/rdf-schema#comment","Relates an item of feedback to the time at which the feedback was received."
"http://parliament.uk/ontologies/record-review/hasRevisionType","http://www.w3.org/2000/01/rdf-schema#label","Has revision type"
"http://parliament.uk/ontologies/record-review/reviewedOn","http://www.w3.org/2000/01/rdf-schema#range","http://www.w3.org/2001/XMLSchema#date"
"http://parliament.uk/ontologies/record-review/leadsToNew","http://www.w3.org/2000/01/rdf-schema#comment","Relates an editorial review to the creation of a new work."
"http://parliament.uk/ontologies/record-review/at","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/record-review/"
"http://parliament.uk/ontologies/record-review/EditorialReview","http://www.w3.org/2000/01/rdf-schema#comment","A review of a manifestation. A decision to review may be triggered by an external event, for example: a change in Government policy, the availability of new data, external work in the same area or the output of parliamentary business; a change in user needs, for example: a new type of enquiry; or a change to library policy or practice, for example: in presentation, citation style, method of acknowledgement, change of portfolio or change of specialist."
"http://parliament.uk/ontologies/record-review/publishedAt","http://www.w3.org/2000/01/rdf-schema#comment","Relates a manifestation to the time at which it was published."
"http://parliament.uk/ontologies/record-review/hasRevisionDescription","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/record-review/Revision"
"http://parliament.uk/ontologies/record-review/leadsTo","http://www.w3.org/2000/01/rdf-schema#range","http://parliament.uk/ontologies/record-review/EditorialAction"
"http://parliament.uk/ontologies/record-review/submits","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/record-review/Agent"
"http://parliament.uk/ontologies/record-review/fromManifestation","http://www.w3.org/2000/01/rdf-schema#range","http://parliament.uk/ontologies/record-review/Manifestation"
"n6e1cc101640c4c4da5629466f0327613b1","http://xmlns.com/foaf/0.1/name","Robert Brook"
"http://parliament.uk/ontologies/record-review/ReviewCycle","http://www.w3.org/2000/01/rdf-schema#label","Review cycle"
"http://parliament.uk/ontologies/record-review/Agent","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://parliament.uk/ontologies/record-review/toManifestation","http://www.w3.org/2000/01/rdf-schema#comment","Relates an act of revision to a new manifestation resulting from the revision."
"http://parliament.uk/ontologies/record-review/reinstatedAt","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#DatatypeProperty"
"http://parliament.uk/ontologies/record-review/submits","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty"
"http://parliament.uk/ontologies/record-review/reinstatedAt","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/record-review/"
"http://parliament.uk/ontologies/record-review/","http://xmlns.com/foaf/0.1/maker","n6e1cc101640c4c4da5629466f0327613b2"
"http://parliament.uk/ontologies/record-review/at","http://www.w3.org/2000/01/rdf-schema#label","At"
"http://parliament.uk/ontologies/record-review/reviewOf","http://www.w3.org/2000/01/rdf-schema#label","Review of"
"http://parliament.uk/ontologies/record-review/Revision","http://www.w3.org/2000/01/rdf-schema#subClassOf","http://parliament.uk/ontologies/record-review/EditorialAction"
"http://parliament.uk/ontologies/record-review/supersedes","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty"
"http://parliament.uk/ontologies/record-review/reviewOf","http://www.w3.org/2000/01/rdf-schema#comment","Relates an editorial review to the manifestation being reviewed."
"http://parliament.uk/ontologies/record-review/by","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/record-review/"
"http://parliament.uk/ontologies/record-review/supersedes","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/record-review/"
"http://parliament.uk/ontologies/record-review/Archiving","http://www.w3.org/2000/01/rdf-schema#comment","The action of archiving a work, indicating that no further revisions are intended to take place. Manifestations of the work which have not been withdrawn remain available, marked with an indication that no further updates are anticipated."
"http://parliament.uk/ontologies/record-review/archivingOf","http://www.w3.org/2000/01/rdf-schema#range","http://parliament.uk/ontologies/record-review/Work"
"http://parliament.uk/ontologies/record-review/fromManifestation","http://www.w3.org/2000/01/rdf-schema#comment","Relates an act of revision to an existing manifestation to be revised."
"http://parliament.uk/ontologies/record-review/Feedback","http://www.w3.org/2000/01/rdf-schema#label","Feedback"
"http://parliament.uk/ontologies/record-review/at","http://www.w3.org/2000/01/rdf-schema#comment","Relates an editorial action to the time at which the action was taken."
"http://parliament.uk/ontologies/record-review/RevisionType","http://www.w3.org/2000/01/rdf-schema#comment","The type of a revision, for example: a major or minor edit."
"http://parliament.uk/ontologies/record-review/hasRevisionTypeDescription","http://www.w3.org/2000/01/rdf-schema#label","Has revision type description"
"http://parliament.uk/ontologies/record-review/supersedes","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/record-review/Work"
"http://parliament.uk/ontologies/record-review/RevisionType","http://www.w3.org/2000/01/rdf-schema#label","Revision type"
