"Subject","Predicate","Object"
"http://parliament.uk/ontologies/record/inSeries","http://www.w3.org/2000/01/rdf-schema#comment","Relates the series position of a work to a series in which that work appears."
"http://parliament.uk/ontologies/record/hasGeographicScope","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/record/Work"
"http://parliament.uk/ontologies/record/Place","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://parliament.uk/ontologies/record/hasContribution","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/record/Manifestation"
"http://parliament.uk/ontologies/record/toManifestation","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/record/Revision"
"http://parliament.uk/ontologies/record/minimumReadingAge","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#DatatypeProperty"
"http://parliament.uk/ontologies/record/referenceNumber","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/record/"
"http://parliament.uk/ontologies/record/Revision","http://www.w3.org/2000/01/rdf-schema#label","Revision"
"http://parliament.uk/ontologies/record/inSeries","http://www.w3.org/2000/01/rdf-schema#range","http://parliament.uk/ontologies/record/Series"
"http://parliament.uk/ontologies/record/takesEditorialForm","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/record/"
"http://parliament.uk/ontologies/record/Collection","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/record/"
"http://parliament.uk/ontologies/record/toManifestation","http://www.w3.org/2000/01/rdf-schema#comment","Relates a revision to the manifestation which immediately follows that revision."
"http://parliament.uk/ontologies/record/manifestationOf","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty"
"http://parliament.uk/ontologies/record/collectionHasFocus","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/record/Collection"
"http://parliament.uk/ontologies/record/Manifestation","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://parliament.uk/ontologies/record/scope","http://www.w3.org/2000/01/rdf-schema#range","http://www.w3.org/1999/02/22-rdf-syntax-ns#langString"
"http://parliament.uk/ontologies/record/hasRevisionDescription","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/record/"
"http://parliament.uk/ontologies/record/hasRevisionDescription","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/record/Revision"
"http://parliament.uk/ontologies/record/Place","http://www.w3.org/2000/01/rdf-schema#label","Place"
"n3dbe89bd4b234e8f9cfb4e266ed9e8ceb3","http://xmlns.com/foaf/0.1/homepage","http://smethur.st/"
"http://parliament.uk/ontologies/record/minimumReadingAge","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/record/Manifestation"
