"Subject","Predicate","Object"
"http://parliament.uk/ontologies/standing-order/isMajorRevision","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/standing-order/Revision"
"http://parliament.uk/ontologies/standing-order/versionOfOrder","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/standing-order/"
"http://parliament.uk/ontologies/standing-order/Fragment","http://www.w3.org/2000/01/rdf-schema#label","Fragment"
"http://parliament.uk/ontologies/standing-order/orderVersionContainedBy","http://www.w3.org/2000/01/rdf-schema#comment","Relates an order version to the revision set it is contained by."
"http://parliament.uk/ontologies/standing-order/RevisionSet","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://parliament.uk/ontologies/standing-order/orderCoversBusinessExtent","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/standing-order/Order"
"http://parliament.uk/ontologies/standing-order/suspensionPeriodOfFragment","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/standing-order/"
"http://parliament.uk/ontologies/standing-order/Fragment","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://parliament.uk/ontologies/standing-order/revisionTo","http://www.w3.org/2000/01/rdf-schema#label","Revision to"
"http://parliament.uk/ontologies/standing-order/containedBy","http://www.w3.org/2000/01/rdf-schema#range","http://parliament.uk/ontologies/standing-order/OrderVersion"
"http://parliament.uk/ontologies/standing-order/OrderVersion","http://www.w3.org/2000/01/rdf-schema#comment","A version of an order contained by a revision set."
"http://parliament.uk/ontologies/standing-order/revisionSetCoversBusinessExtent","http://www.w3.org/2000/01/rdf-schema#comment","Relates a revision set to the business extent which that set covers."
"http://parliament.uk/ontologies/standing-order/fragmentVersionContainedBy","http://www.w3.org/2000/01/rdf-schema#range","http://parliament.uk/ontologies/standing-order/RevisionSet"
"http://parliament.uk/ontologies/standing-order/number","http://www.w3.org/2000/01/rdf-schema#range","http://www.w3.org/2000/01/rdf-schema#Literal"
