"Subject","Predicate","Object"
"http://parliament.uk/ontologies/stats-series/measureOf","http://www.w3.org/2000/01/rdf-schema#label","measureOf"
"http://parliament.uk/ontologies/stats-series/DataPoint","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/stats-series/"
"http://parliament.uk/ontologies/stats-series/releaseOf","http://www.w3.org/2000/01/rdf-schema#label","releaseOf"
"http://parliament.uk/ontologies/stats-series/measureOf","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty"
"http://parliament.uk/ontologies/stats-series/startOn","http://www.w3.org/2000/01/rdf-schema#label","startOn"
"http://parliament.uk/ontologies/stats-series/countPer","http://www.w3.org/2000/01/rdf-schema#range","http://parliament.uk/ontologies/stats-series/Period"
"http://parliament.uk/ontologies/stats-series/Unit","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/stats-series/"
"http://parliament.uk/ontologies/stats-series/Source","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://parliament.uk/ontologies/stats-series/hasTerritorialApplicability","http://www.w3.org/2000/01/rdf-schema#range","http://parliament.uk/ontologies/stats-series/TerritorialApplicability"
"http://parliament.uk/ontologies/stats-series/DataSet","http://www.w3.org/2000/01/rdf-schema#label","DataSet"
"http://parliament.uk/ontologies/stats-series/DataSetReleaseVersion","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/stats-series/"
"http://parliament.uk/ontologies/stats-series/DataSetReleaseVersion","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://parliament.uk/ontologies/stats-series/TerritorialApplicability","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://parliament.uk/ontologies/stats-series/value","http://www.w3.org/2000/01/rdf-schema#range","http://www.w3.org/2001/XMLSchema#integer"
"http://parliament.uk/ontologies/stats-series/value","http://www.w3.org/2000/01/rdf-schema#label","value"
"http://parliament.uk/ontologies/stats-series/hasTerritorialApplicability","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty"
"http://parliament.uk/ontologies/stats-series/measureOf","http://www.w3.org/2000/01/rdf-schema#range","http://parliament.uk/ontologies/stats-series/Population"
"http://parliament.uk/ontologies/stats-series/Period","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/stats-series/"
"http://parliament.uk/ontologies/stats-series/DataSetRelease","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/stats-series/"
"http://parliament.uk/ontologies/stats-series/DataSetRelease","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://parliament.uk/ontologies/stats-series/releaseNotes","http://www.w3.org/2000/01/rdf-schema#range","http://www.w3.org/1999/02/22-rdf-syntax-ns#langString"
"http://parliament.uk/ontologies/stats-series/onDate","http://www.w3.org/2000/01/rdf-schema#range","http://www.w3.org/2001/XMLSchema#date"
"http://parliament.uk/ontologies/stats-series/value","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/stats-series/"
"http://parliament.uk/ontologies/stats-series/releaseVersionNotes","http://www.w3.org/2000/01/rdf-schema#range","http://www.w3.org/1999/02/22-rdf-syntax-ns#langString"
"http://parliament.uk/ontologies/stats-series/hasTerritorialApplicability","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/stats-series/DataSetRelease"
"http://parliament.uk/ontologies/stats-series/temporalCoverage","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty"
"http://parliament.uk/ontologies/stats-series/AverageType","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/stats-series/"
"http://parliament.uk/ontologies/stats-series/measureOf","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/stats-series/DataPoint"
"http://parliament.uk/ontologies/stats-series/releaseNotes","http://www.w3.org/2000/01/rdf-schema#comment","Relates a data set release to explanatory notes."
"http://parliament.uk/ontologies/stats-series/People","http://www.w3.org/2000/01/rdf-schema#comment","A population of people in a place. This might be all people resident or over 70s resident or people in receipt of Universal Credit etc."
