"Subject","Predicate","Object"
"http://parliament.uk/ontologies/tabling/","http://xmlns.com/foaf/0.1/maker","n0f5185c4dbc94f08873d804a8d5f824bb3"
"http://parliament.uk/ontologies/tabling/withdraws","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty"
"http://parliament.uk/ontologies/tabling/SeatIncumbency","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/tabling/"
"http://parliament.uk/ontologies/tabling/tabledOn","http://www.w3.org/2000/01/rdf-schema#comment","Relates an act of tabling to the date on which it happened."
"http://parliament.uk/ontologies/tabling/inSession","http://www.w3.org/2000/01/rdf-schema#range","http://parliament.uk/ontologies/tabling/Session"
"http://parliament.uk/ontologies/tabling/hasHouse","http://www.w3.org/2000/01/rdf-schema#label","Has House"
"http://parliament.uk/ontologies/tabling/tabledBy","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/tabling/"
"http://parliament.uk/ontologies/tabling/hasHouse","http://www.w3.org/2000/01/rdf-schema#range","http://parliament.uk/ontologies/tabling/House"
"http://parliament.uk/ontologies/tabling/TablingOrWithdrawal","http://www.w3.org/2000/01/rdf-schema#comment","The act of tabling into, or withdrawing a tabled thing from, a House."
"http://parliament.uk/ontologies/tabling/tabledOn","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#DatatypeProperty"
"http://parliament.uk/ontologies/tabling/withdrawnOn","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#DatatypeProperty"
"http://parliament.uk/ontologies/tabling/withdraws","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/tabling/"
"http://parliament.uk/ontologies/tabling/","http://xmlns.com/foaf/0.1/depiction","https://ukparliament.github.io/ontologies/tabling/tabling.svg"
"http://parliament.uk/ontologies/tabling/Session","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"n0f5185c4dbc94f08873d804a8d5f824bb1","http://xmlns.com/foaf/0.1/name","Robert Brook"
"http://parliament.uk/ontologies/tabling/givesNotice","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/tabling/Tabling"
"http://parliament.uk/ontologies/tabling/Withdrawal","http://www.w3.org/2000/01/rdf-schema#subClassOf","http://parliament.uk/ontologies/tabling/TablingOrWithdrawal"
"http://parliament.uk/ontologies/tabling/Tabling","http://www.w3.org/2000/01/rdf-schema#comment","The act of tabling a business item into either the House of Commons or House of Lords. Tabling is the act of formally putting forward a question, a motion, an amendment or a committee membership nomination. Members do this by submitting it to procedural clerks. The item will then appear in the next day's business papers as a written notice. Each House has a Table Office where parliamentary questions, motions for debate and, in the Commons, early day motions are tabled. Amendments to bills are always tabled in the Public Bill Offices of each House."
"http://parliament.uk/ontologies/tabling/hasHouse","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/tabling/TablingOrWithdrawal"
"http://parliament.uk/ontologies/tabling/Tabling","http://www.w3.org/2000/01/rdf-schema#subClassOf","http://parliament.uk/ontologies/tabling/TablingOrWithdrawal"
"http://parliament.uk/ontologies/tabling/hasHouse","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty"
"http://parliament.uk/ontologies/tabling/WrittenNotice","http://www.w3.org/2000/01/rdf-schema#comment","Official notice of an item of future business."
"n0f5185c4dbc94f08873d804a8d5f824bb4","http://xmlns.com/foaf/0.1/name","Anya Somerville"
"http://parliament.uk/ontologies/tabling/Withdrawal","http://www.w3.org/2000/01/rdf-schema#comment","The act of withdrawing a tabled thing from a House."
"http://parliament.uk/ontologies/tabling/tables","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/tabling/"
"http://parliament.uk/ontologies/tabling/tables","http://www.w3.org/2000/01/rdf-schema#label","Tables"
"http://parliament.uk/ontologies/tabling/withdrawnOn","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/tabling/"
"http://parliament.uk/ontologies/tabling/tabledOn","http://www.w3.org/2000/01/rdf-schema#range","http://www.w3.org/2001/XMLSchema#date"
"http://parliament.uk/ontologies/tabling/WrittenNotice","http://www.w3.org/2000/01/rdf-schema#label","Written notice"
"http://parliament.uk/ontologies/tabling/","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Ontology"
"http://parliament.uk/ontologies/tabling/givesNotice","http://www.w3.org/2000/01/rdf-schema#comment","Relates an act of tabling to a written notice."
"http://parliament.uk/ontologies/tabling/withdrawnOn","http://www.w3.org/2000/01/rdf-schema#label","Withdrawn on"
"http://parliament.uk/ontologies/tabling/House","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/tabling/"
"http://parliament.uk/ontologies/tabling/givesNotice","http://www.w3.org/2000/01/rdf-schema#range","http://parliament.uk/ontologies/tabling/WrittenNotice"
"http://parliament.uk/ontologies/tabling/tables","http://www.w3.org/2000/01/rdf-schema#comment","Relates an act of tabling to the business item which it tables."
