"Subject","Predicate","Object"
"http://parliament.uk/ontologies/time-period/TemporalThing","http://www.w3.org/2000/01/rdf-schema#comment","An interval between two points in time, having a name."
"http://parliament.uk/ontologies/time-period/PreElectionDissolutionPeriod","http://www.w3.org/2000/01/rdf-schema#comment","The period between the end of a Parliament period and the results of all constituency elections being announced. During this time there are no Members of the House of Commons."
"http://parliament.uk/ontologies/time-period/publicBillOfficeNonSittingTablingDayInTerm","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/time-period/"
"http://parliament.uk/ontologies/time-period/hyrbridSittingDayInTerm","http://www.w3.org/2000/01/rdf-schema#range","http://parliament.uk/ontologies/time-period/Term"
"http://parliament.uk/ontologies/time-period/virtualSittingDayInTerm","http://www.w3.org/2000/01/rdf-schema#range","http://parliament.uk/ontologies/time-period/Term"
"http://parliament.uk/ontologies/time-period/virtualSittingDayInTerm","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/time-period/"
"http://parliament.uk/ontologies/time-period/hyrbridSittingDayInTerm","http://www.w3.org/2000/01/rdf-schema#comment","Relates a hybrid sitting day to the term in which that hybrid sitting day takes place."
"http://parliament.uk/ontologies/time-period/recessInHouse","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/time-period/"
"http://parliament.uk/ontologies/time-period/adjournmentDayInTerm","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/time-period/AdjournmentDay"
"http://parliament.uk/ontologies/time-period/PrintingDay","http://www.w3.org/2000/01/rdf-schema#comment","In the House of Commons, a printing day is the day on which the Table Office publishes notices of questions, motions and amendments to motions received since the most recent sitting day. A printing day falls on the same day as the final weekday of a recess other than a bank holiday."
"http://parliament.uk/ontologies/time-period/PostElectionDissolutionPeriod","http://www.w3.org/2000/01/rdf-schema#subClassOf","http://parliament.uk/ontologies/time-period/TemporalThing"
"http://parliament.uk/ontologies/time-period/termInHouse","http://www.w3.org/2000/01/rdf-schema#range","http://parliament.uk/ontologies/time-period/House"
"n249dd469f17f4a4ab6ac560dd2269acbb2","http://xmlns.com/foaf/0.1/name","Nic Besly"
"http://parliament.uk/ontologies/time-period/SittingDay","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/time-period/"
"http://parliament.uk/ontologies/time-period/VirtualSittingDay","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://parliament.uk/ontologies/time-period/Kingdom","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://parliament.uk/ontologies/time-period/termInHouse","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/time-period/Term"
"http://parliament.uk/ontologies/time-period/hyrbridSittingDayInTerm","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/time-period/HybridSittingDay"
"http://parliament.uk/ontologies/time-period/Term","http://www.w3.org/2000/01/rdf-schema#label","Term"
"http://parliament.uk/ontologies/time-period/dissolutionPeriodInKingdom","http://www.w3.org/2000/01/rdf-schema#label","Dissolution period in kingdom"
"http://parliament.uk/ontologies/time-period/recessInSession","http://www.w3.org/2000/01/rdf-schema#comment","Relates a recess to the session in which that recess takes place."
"http://parliament.uk/ontologies/time-period/ProrogationPeriod","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/time-period/"
"http://parliament.uk/ontologies/time-period/tableOfficeNonSittingTablingDayInTerm","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/time-period/TableOfficeNonSittingTablingDay"
"http://parliament.uk/ontologies/time-period/House","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/time-period/"
"http://parliament.uk/ontologies/time-period/ProrogationPeriod","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://parliament.uk/ontologies/time-period/dissolutionPeriodInKingdom","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty"
"http://parliament.uk/ontologies/time-period/Reign","http://www.w3.org/2000/01/rdf-schema#label","Reign"
"http://parliament.uk/ontologies/time-period/postElectionDissolutionPeriodInDissolutionPeriod","http://www.w3.org/2000/01/rdf-schema#range","http://parliament.uk/ontologies/time-period/DissolutionPeriod"
