"Subject","Predicate","Object"
"http://parliament.uk/ontologies/treaty/TreatyAsLaid","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/treaty/"
"http://parliament.uk/ontologies/treaty/","http://xmlns.com/foaf/0.1/maker","n6ec8be64fde94748a113b16abf0ade83b4"
"http://parliament.uk/ontologies/treaty/hasLeadDepartment","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/treaty/"
"http://parliament.uk/ontologies/treaty/asSeriesItem","http://www.w3.org/2000/01/rdf-schema#label","As series item"
"http://parliament.uk/ontologies/treaty/commandPaperPrefix","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/treaty/TreatyAsLaid"
"http://parliament.uk/ontologies/treaty/ukComingIntoForceDate","http://www.w3.org/2000/01/rdf-schema#range","http://www.w3.org/2001/XMLSchema#date"
"http://parliament.uk/ontologies/treaty/commandPaperPrefix","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#DatatypeProperty"
"http://parliament.uk/ontologies/treaty/seriesItemCitation","http://www.w3.org/2000/01/rdf-schema#comment","An item in a treaty series has a citation, in addition to a Command Paper number: for example, China No. 1 (2017)."
"http://parliament.uk/ontologies/treaty/commandPaperPrefix","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/treaty/"
"http://parliament.uk/ontologies/treaty/hasLeadDepartment","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/treaty/Treaty"
"http://parliament.uk/ontologies/treaty/ukRatificationDate","http://www.w3.org/2000/01/rdf-schema#range","http://www.w3.org/2001/XMLSchema#date"
"http://parliament.uk/ontologies/treaty/hasLeadDepartment","http://www.w3.org/2000/01/rdf-schema#label","Has lead department"
"http://parliament.uk/ontologies/treaty/ukComingIntoForceNote","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/treaty/"
"http://parliament.uk/ontologies/treaty/TreatySeriesItem","http://www.w3.org/2000/01/rdf-schema#label","Treaty series item"
"http://parliament.uk/ontologies/treaty/","http://purl.org/dc/terms/rights","Open Parliament Licence v3.0"
"http://parliament.uk/ontologies/treaty/ukComingIntoForceDate","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/treaty/"
"http://parliament.uk/ontologies/treaty/requiresPassageOfDraftAndMadeStatutoryInstrumentSubjectToParliamentaryProcedure","http://www.w3.org/2000/01/rdf-schema#comment","Relates a treaty to the required passage of one or more statutory instruments in order to enable the satisfaction of treaty obligations."
"http://parliament.uk/ontologies/treaty/seriesItemCitation","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/treaty/"
"http://parliament.uk/ontologies/treaty/ukComingIntoForceNote","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#DatatypeProperty"
"http://parliament.uk/ontologies/treaty/","http://xmlns.com/foaf/0.1/depiction","https://ukparliament.github.io/ontologies/treaty/treaty.png"
"n6ec8be64fde94748a113b16abf0ade83b5","http://xmlns.com/foaf/0.1/name","Michael Smethurst"
"http://parliament.uk/ontologies/treaty/DraftAndMadeStatutoryInstrumentSubjectToParliamentaryProcedure","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/treaty/"
"http://parliament.uk/ontologies/treaty/ukComingIntoForceDate","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#DatatypeProperty"
"n6ec8be64fde94748a113b16abf0ade83b4","http://xmlns.com/foaf/0.1/name","Arabella Lang"
"http://parliament.uk/ontologies/treaty/inSeries","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/treaty/"
"http://parliament.uk/ontologies/treaty/GovernmentOrganisation","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://parliament.uk/ontologies/treaty/ukComingIntoForceNote","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/treaty/Treaty"
"http://parliament.uk/ontologies/treaty/GovernmentOrganisation","http://www.w3.org/2000/01/rdf-schema#comment","A government department, agency or public body with responsibility for a sector of public administration."
"n6ec8be64fde94748a113b16abf0ade83b7","http://xmlns.com/foaf/0.1/name","Jane White"
"http://parliament.uk/ontologies/treaty/ukRatificationDate","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#DatatypeProperty"
"http://parliament.uk/ontologies/treaty/inSeries","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty"
"http://parliament.uk/ontologies/treaty/","http://purl.org/dc/terms/created","2019-01-16"
"http://parliament.uk/ontologies/treaty/","http://purl.org/dc/terms/title","Treaty ontology"
"http://parliament.uk/ontologies/treaty/requiresPassageOfBill","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/treaty/Treaty"
"http://parliament.uk/ontologies/treaty/TreatyAsLaid","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://parliament.uk/ontologies/treaty/ukRatificationDate","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/treaty/Treaty"
"n6ec8be64fde94748a113b16abf0ade83b2","http://xmlns.com/foaf/0.1/homepage","https://robert-brook.com/"
"http://parliament.uk/ontologies/treaty/laidAs","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/treaty/"
"http://parliament.uk/ontologies/treaty/TreatyAsLaid","http://www.w3.org/2000/01/rdf-schema#label","Treaty as laid"
"http://parliament.uk/ontologies/treaty/","http://purl.org/dc/terms/description","A model describing the form of treaties considered by Parliament, treaty membership of an FCO series and the relationship of a treaty to legislation required to be passed in order for the UK to comply with treaty obligations."
"http://parliament.uk/ontologies/treaty/commandPaperNumber","http://www.w3.org/2000/01/rdf-schema#label","Command Paper number"
"n6ec8be64fde94748a113b16abf0ade83b6","http://xmlns.com/foaf/0.1/name","Anya Somerville"
"http://parliament.uk/ontologies/treaty/asSeriesItem","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/treaty/"
"http://parliament.uk/ontologies/treaty/asSeriesItem","http://www.w3.org/2000/01/rdf-schema#range","http://parliament.uk/ontologies/treaty/TreatySeriesItem"
"http://parliament.uk/ontologies/treaty/commandPaperPrefix","http://www.w3.org/2000/01/rdf-schema#range","http://www.w3.org/2000/01/rdf-schema#Literal"
"http://parliament.uk/ontologies/treaty/Bill","http://www.w3.org/2000/01/rdf-schema#label","Bill"
"http://parliament.uk/ontologies/treaty/hasLeadDepartment","http://www.w3.org/2000/01/rdf-schema#comment","Relates a treaty to its lead government department. Treaties are laid into Parliament by the Foreign and Commonwealth Office and may have a different assigned lead department."
"http://parliament.uk/ontologies/treaty/laidAs","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/treaty/Treaty"
"http://parliament.uk/ontologies/treaty/asSeriesItem","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty"
"http://parliament.uk/ontologies/treaty/TreatySeries","http://www.w3.org/2000/01/rdf-schema#label","Treaty series"
"http://parliament.uk/ontologies/treaty/requiresPassageOfBill","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty"
"http://parliament.uk/ontologies/treaty/inSeries","http://www.w3.org/2000/01/rdf-schema#label","In series"
"http://parliament.uk/ontologies/treaty/GovernmentOrganisation","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/treaty/"
"http://parliament.uk/ontologies/treaty/ukRatificationDate","http://www.w3.org/2000/01/rdf-schema#label","UK ratification date"
"n6ec8be64fde94748a113b16abf0ade83b1","http://xmlns.com/foaf/0.1/name","David Beamish"
"http://parliament.uk/ontologies/treaty/DraftAndMadeStatutoryInstrumentSubjectToParliamentaryProcedure","http://www.w3.org/2000/01/rdf-schema#label","Draft and made statutory instrument subject to parliamentary procedure"
"http://parliament.uk/ontologies/treaty/inSeries","http://www.w3.org/2000/01/rdf-schema#range","http://parliament.uk/ontologies/treaty/TreatySeries"
"http://parliament.uk/ontologies/treaty/hasLeadDepartment","http://www.w3.org/2000/01/rdf-schema#range","http://parliament.uk/ontologies/treaty/GovernmentOrganisation"
"http://parliament.uk/ontologies/treaty/requiresPassageOfBill","http://www.w3.org/2000/01/rdf-schema#comment","Relates a treaty to the required passage of one or more bills in order to enable the satisfaction of treaty obligations."
"http://parliament.uk/ontologies/treaty/TreatySeries","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://parliament.uk/ontologies/treaty/Bill","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://parliament.uk/ontologies/treaty/laidAs","http://www.w3.org/2000/01/rdf-schema#comment","The 'Laid as' property relates a treaty to the form in which it is laid. Treaties requiring ratification - including those treaties requiring ratification to which the United Kingdom is acceding - are subject to the Constitutional Reform and Governance Act 2010. The 2010 Act sets out that such treaties must be laid before Parliament prior to ratification and are then subject to a procedure described in part within the Act. All treaties are laid before Parliament following ratification, though this is not a requirement set out in the 2010 Act and does not trigger a parliamentary procedure. "
"http://parliament.uk/ontologies/treaty/Treaty","http://www.w3.org/2000/01/rdf-schema#label","Treaty"
"http://parliament.uk/ontologies/treaty/","http://xmlns.com/foaf/0.1/maker","n6ec8be64fde94748a113b16abf0ade83b7"
"http://parliament.uk/ontologies/treaty/Bill","http://www.w3.org/2000/01/rdf-schema#comment","A bill presented to Parliament."
"http://parliament.uk/ontologies/treaty/inSeries","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/treaty/TreatySeriesItem"
