"Subject","Predicate","Object"
"http://parliament.uk/ontologies/utility/hasConcept","http://www.w3.org/2000/01/rdf-schema#comment","Relates a concept annotation to a SKOS concept, being the subject of the thing being annotated. A SKOS concept may be referenced by one or more annotations, or none. An annotation always references one concept."
"http://parliament.uk/ontologies/utility/TemporalThing","http://www.w3.org/2000/01/rdf-schema#comment","An interval between two points in time, having a name."
"http://parliament.uk/ontologies/utility/identifierValue","http://www.w3.org/2000/01/rdf-schema#label","Identifier value"
"http://parliament.uk/ontologies/utility/description","http://www.w3.org/2000/01/rdf-schema#comment","Relates a thing to its textual description."
"http://parliament.uk/ontologies/utility/Label","http://www.w3.org/2000/01/rdf-schema#comment","Allows a thing to have different labels at different time periods. e.g. a Government Department, Select Committee, Bill or inquiry might change its name during its lifetime. Reuses preferredLabel, abbreviationLabel, sortLabel, startDate and endDate from Thing."
"http://parliament.uk/ontologies/utility/hasWebLinkSource","http://www.w3.org/2000/01/rdf-schema#range","http://parliament.uk/ontologies/utility/WebLinkSource"
"http://parliament.uk/ontologies/utility/proposedStartOn","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/utility/TemporalThing"
"http://parliament.uk/ontologies/utility/","http://purl.org/dc/terms/created","2016-10-05"
"http://parliament.uk/ontologies/utility/proposedEndOn","http://www.w3.org/2000/01/rdf-schema#range","http://www.w3.org/2001/XMLSchema#date"
"http://parliament.uk/ontologies/utility/endOn","http://www.w3.org/2000/01/rdf-schema#range","http://www.w3.org/2001/XMLSchema#date"
"http://parliament.uk/ontologies/utility/proposedStartOn","http://www.w3.org/2000/01/rdf-schema#label","Proposed start on"
"http://parliament.uk/ontologies/utility/preferredLabel","http://www.w3.org/2000/01/rdf-schema#range","http://www.w3.org/1999/02/22-rdf-syntax-ns#langString"
"http://parliament.uk/ontologies/utility/hasConceptAnnotation","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/utility/Thing"
"http://parliament.uk/ontologies/utility/MemberActivityThing","http://www.w3.org/2000/01/rdf-schema#label","Member activity thing"
"http://parliament.uk/ontologies/utility/Identifier","http://www.w3.org/2000/01/rdf-schema#comment","An identifier from an external system. Might be another Parliament system or an external system such as Wikidata."
"http://parliament.uk/ontologies/utility/","http://xmlns.com/foaf/0.1/depiction","https://ukparliament.github.io/ontologies/utility/utility.svg"
"http://parliament.uk/ontologies/utility/ordinality","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/utility/"
