"Subject","Predicate","Object"
"http://parliament.uk/ontologies/written-statement/madeBy","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/written-statement/"
"http://parliament.uk/ontologies/written-statement/refersToLibraryDeposit","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/written-statement/WrittenStatementWork"
"http://parliament.uk/ontologies/written-statement/AnnouncedThing","http://www.w3.org/2000/01/rdf-schema#comment",""
"http://parliament.uk/ontologies/written-statement/expressionOf","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/written-statement/"
"http://parliament.uk/ontologies/written-statement/corrects","http://www.w3.org/2000/01/rdf-schema#comment",""
"http://parliament.uk/ontologies/written-statement/madeBy","http://www.w3.org/2000/01/rdf-schema#range","http://parliament.uk/ontologies/written-statement/Incumbency"
"http://parliament.uk/ontologies/written-statement/statementText","http://www.w3.org/2000/01/rdf-schema#label","Statement text"
"http://parliament.uk/ontologies/written-statement/refersToDocument","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#ObjectProperty"
"http://parliament.uk/ontologies/written-statement/refersToDocument","http://www.w3.org/2000/01/rdf-schema#label","Refers to document"
"http://parliament.uk/ontologies/written-statement/statementText","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/written-statement/WrittenStatementWork"
"http://parliament.uk/ontologies/written-statement/inSession","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/written-statement/WrittenStatementWork"
"http://parliament.uk/ontologies/written-statement/refersToLibraryDeposit","http://www.w3.org/2000/01/rdf-schema#range","http://parliament.uk/ontologies/written-statement/LibraryDeposit"
"http://parliament.uk/ontologies/written-statement/madeOn","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/written-statement/WrittenStatementExpression"
"http://parliament.uk/ontologies/written-statement/announces","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/written-statement/WrittenStatementWork"
"http://parliament.uk/ontologies/written-statement/","http://xmlns.com/foaf/0.1/maker","nd603d735c6ce4e00893c0c57ad985821b5"
"http://parliament.uk/ontologies/written-statement/follows","http://www.w3.org/2000/01/rdf-schema#label","Follows"
"http://parliament.uk/ontologies/written-statement/CorrectedThing","http://www.w3.org/2000/01/rdf-schema#comment",""
"http://parliament.uk/ontologies/written-statement/refersToLibraryDeposit","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/written-statement/"
"http://parliament.uk/ontologies/written-statement/Document","http://www.w3.org/2000/01/rdf-schema#comment","A document."
"http://parliament.uk/ontologies/written-statement/title","http://www.w3.org/2000/01/rdf-schema#label","Title"
"http://parliament.uk/ontologies/written-statement/inSession","http://www.w3.org/2000/01/rdf-schema#label","In session"
"http://parliament.uk/ontologies/written-statement/uin","http://www.w3.org/2000/01/rdf-schema#comment",""
"http://parliament.uk/ontologies/written-statement/announces","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/written-statement/"
"http://parliament.uk/ontologies/written-statement/madeBy","http://www.w3.org/2000/01/rdf-schema#label","Made by"
"http://parliament.uk/ontologies/written-statement/title","http://www.w3.org/2000/01/rdf-schema#comment",""
"http://parliament.uk/ontologies/written-statement/corrects","http://www.w3.org/2000/01/rdf-schema#domain","http://parliament.uk/ontologies/written-statement/WrittenStatementWork"
"nd603d735c6ce4e00893c0c57ad985821b4","http://xmlns.com/foaf/0.1/homepage","http://smethur.st/"
"http://parliament.uk/ontologies/written-statement/inSession","http://www.w3.org/2000/01/rdf-schema#isDefinedBy","http://parliament.uk/ontologies/written-statement/"
"http://parliament.uk/ontologies/written-statement/Document","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.w3.org/2002/07/owl#Class"
"http://parliament.uk/ontologies/written-statement/Session","http://www.w3.org/2000/01/rdf-schema#label","Session"
