Id,Reference,createdat,publishedby,title
15598,CDP 2022/0036,2022-02-09,1,Legal aid in the North West
10118,CBP 7236,2015-06-19,1,"Careers guidance in schools, colleges and universities"
8456,SN06148,2011-12-05,1,Police pay and conditions: Winsor Review
6867,SN05559,2010-07-29,1,Coalition proposals for an Energy Security and Green Economy Bill
833,RP11/06,2011-01-18,1,Scotland Bill [Bill No 115 of 2010-11]
1551,RP06/18,2006-03-15,1,The Charities Bill [HL]
9362,SN06762,2013-12-16,1,Historical Rates of Social Security benefits
14056,CBP 8665,2019-09-18,1,Naval shipbuilding: September 2019 update
7601,SN05938,2011-04-15,1,Members' allowances from April 2011
15727,CDP 2022/0084,2022-04-19,1,e-petition debate on hunting
14692,CDP 2020/0084,2020-09-03,1,Support for the tourism industry after the Covid-19 lockdown
18447,CBP 10260,2025-05-14,1,Mental Health Bill [HL] 2024-25
10058,CBP 7223,2015-06-08,1,European Union (Finance) Bill 2015-16
5983,SN05345,2010-10-25,1,Constituency History: Thurrock
15277,CBP 9303,2021-09-01,1,Afghanistan 2021: Key resources for UK nationals and Afghans
178,RP01/46,2011-05-19,1,Taxation of charities
15627,CBP 9476,2022-02-26,1,Ukraine crisis: A timeline (2014 - present)
18099,CBP 10119,2024-10-18,1,School meals in England during the Covid-19 pandemic
6643,SN00406,2000-04-27,1,Business rates: Transitional relief and appeals
15238,CDP 2021/0130,2021-07-15,1,Privatisation of Channel 4
16225,CBP 9731,2023-02-21,1,The NHS workforce in England
6729,SN01352,2001-09-21,1,Foot and Mouth Disease sheep movements and welfare
660,RP97/34,1997-03-07,1,Building Societies Bill 1996/97
9858,SN07080,2015-01-12,1,House of Lords Reform - developments in the 2010 Parliament
10931,CBP 7555,2016-04-12,1,UK Carbon Budgets
1103,RP02/42,2002-07-01,1,Economic indicators
12939,CBP 8331,2018-06-06,1,The Anglophone Cameroon crisis: April 2019 update
2738,SN02967,2014-08-07,1,Support for family and friends carers looking after children
2779,SN02929,2004-03-01,1,EU enlargement: basic indicators for accession countries: Social Indicators article
4895,SN04211,2006-12-28,1,In Brief: Saudi Arabia and the fall-out from Iraq
6690,SN01510,1999-12-10,1,Regeneration policy
9324,RP13/59,2013-10-17,1,Immigration Bill
13906,CDP 2019/0175,2019-07-01,1,Acquired brain injury
8638,SN06285,2012-06-25,1,Special Advocates and Closed Material Procedures
632,RP97/53,1997-05-20,1,The Commons committee stage of 'constitutional' bills
350,RP99/85,1999-10-20,1,Procedural Consequences of Devolution
6358,SN00225,1999-05-06,1,Married Couple's Allowance
1394,RP93/62,1993-05-20,1,Unemployment by constituency;April 1993
2194,SN01292,2003-02-28,1,Encryption and the regulation of Investigatory Powers act 2000
5736,SN05097,2009-06-08,1,Proposed consumer rights directive
873,RP05/07,2005-01-13,1,Drugs Bill (Bill 17 of 2004/05)
9301,SN06730,2013-09-18,1,The economic impact of EU membership on the UK
13091,CDP 2018/0187,2018-07-20,1,Taxpayer liability for safety at the Wylfa Nuclear power project
12510,CDP 2017/0264,2017-12-15,1,School Holidays (Meals and Activities) Bill - 2nd reading
13064,CDP 2018/0179,2018-07-11,1,Russia and the Council of Europe
6523,SN00699,2001-02-26,1,National Athletics Stadium
17465,CDP 2023/0155,2023-06-29,1,Teaching assistant pay - debate on e-petition 620264
5266,SN04606,2012-12-12,1,Designated public place orders
2726,SN00408,2006-02-14,1,New Deal for 50 plus
