id,sortName,displayName,alphabetisationLetter,givenName,familyName,,,
553866,"Abogunrin, Veronica", Veronica Abogunrin,A, Veronica,Abogunrin,,, 
434213,"Abraham, Philip", Philip Abraham,A, Philip,Abraham,,,
399710,"Abreu, Laura", Laura Abreu,A, Laura,Abreu,,,
293859,"Adcock, Alex", Alex Adcock,A, Alex,Adcock,,,
441965,"Aldhouse, Stephen", Stephen Aldhouse,A, Stephen,Aldhouse,,,
293862,"Allen, Grahame", Grahame Allen,A, Grahame,Allen,,,
346758,"Allen, Stephen", Stephen Allen,A, Stephen,Allen,,,
346271,"Allett, Sarah", Sarah Allett,A, Sarah,Allett,,,
525579,"Alston, Grace", Grace Alston,A, Grace,Alston,,,
454225,"Andrew, India", India Andrew,A, India,Andrew,,,
293866,"Anseau, Julien", Julien Anseau,A, Julien,Anseau,,,
346773,"Anthony, Robert", Robert Anthony,A, Robert,Anthony,,,
466671,"Apostolakis, Lef", Lef Apostolakis,A, Lef,Apostolakis,,,
293867,"Ares, Elena", Elena Ares,A, Elena,Ares,,,
435952,"Armitage, Simon", Simon Armitage,A, Simon,Armitage,,,
293868,"Armstrong, Hazel", Hazel Armstrong,A, Hazel,Armstrong,,,
411966,"Aspden, Amelia", Amelia Aspden,A, Amelia,Aspden,,,
502458,"Atherton, Graeme", Graeme Atherton,A, Graeme,Atherton,,,
418779,"Atkins, Martyn", Martyn Atkins,A, Martyn,Atkins,,,
293870,"Attenborough, Michael", Michael Attenborough,A, Michael,Attenborough,,,
419706,"Audickas, Lukas", Lukas Audickas,A, Lukas,Audickas,,,
398590,"Ayres, Steven", Steven Ayres,A, Steven,Ayres,,,
440095,"Bachu, Amritpal", Amritpal Bachu,B, Amritpal,Bachu,,,
362461,"Badger, Lara", Lara Badger,B, Lara,Badger,,,
398595,"Baker, Carl", Carl Baker,B, Carl,Baker,,,
293876,"Baker, Jacqueline", Jacqueline Baker,B, Jacqueline,Baker,,,
508504,"Baldwin, Callum", Callum Baldwin,B, Callum,Baldwin,,,
453614,"Balogun, Bukky", Bukky Balogun,B, Bukky,Balogun,,,
396695,"Barber, Sarah", Sarah Barber,B, Sarah,Barber,,,
293878,"Barclay, Christopher", Christopher Barclay,B, Christopher,Barclay,,,
345997,"Bardens, John", John Bardens,B, John,Bardens,,,
293881,"Barrow, Matthew", Matthew Barrow,B, Matthew,Barrow,,,
433543,"Bartlett, Gail", Gail Bartlett,B, Gail,Bartlett,,,
419746,"Barton, Cassie", Cassie Barton,B, Cassie,Barton,,,
408402,"Bate, Alex", Alex Bate,B, Alex,Bate,,,
550492,"Baxter, Alice", Alice Baxter,B, Alice,Baxter,,,
293883,"Baykal, Arda", Arda Baykal,B, Arda,Baykal,,,
293884,"Beale, Ed", Ed Beale,B, Ed,Beale,,,
351735,"Beard, Jacqueline", Jacqueline Beard,B, Jacqueline,Beard,,,
552411,"Beck, Martin", Martin Beck,B, Martin,Beck,,,
436941,"Bellis, Alexander", Alexander Bellis,B, Alexander,Bellis,,,
293885,"Bennett, Oliver", Oliver Bennett,B, Oliver,Bennett,,,
519858,"Benson, Michael", Michael Benson,B, Michael,Benson,,,
293888,"Berman, Gavin", Gavin Berman,B, Gavin,Berman,,,
447437,"Bermingham, Rowena", Rowena Bermingham,B, Rowena,Bermingham,,,
430197,"Bharkada, Bhavina", Bhavina Bharkada,B, Bhavina,Bharkada,,,
293889,"Blair, Catherine", Catherine Blair,B, Catherine,Blair,,,
