id,name,shortName,strapLine,formsPartOf,isDefunct
25036,Home Affairs Section,HAS,"The Home Affairs Section covers topics including policing and criminal justice, immigration, civil law, national security, media, equality and human rights.",1,FALSE
70459,Social and General Statistics Section,SGS,"The Social and General Statistics Section covers statistics on policy areas including health, education, crime, demographics, housing, transport, energy, environment, elections and migration.",1,FALSE
83435,Statistics Resource Unit,SRU,,1,TRUE
17113,Economic Policy and Statistics Section,EPAS,"The Economic Policy and Statistics Section covers policy on topics including the economy, trade and public spending, as well as statistics on a wider range of policy areas, including businesses, employment and poverty.",1,FALSE
298694,Indexing and Data Management Section,IDMS,,1,FALSE
16849,Business and Transport Section,BTS,"The Business and Transport Section covers topics including transport, pensions, taxation, financial systems and institutions, corporate matters, and employment.",1,FALSE
70510,Social Policy Section,SPS,"The Social Policy Section covers topics including social security, schools, higher and further education, social services, health and housing.",1,FALSE
66113,Reference Services Section,RSS,,1,TRUE
67716,Science and Environment Section,SES,"The Science and Environment Section covers topics including energy, climate change, agriculture, flooding, telecommunications, planning, artificial intelligence, science and technology, medicine and public health.",1,FALSE
61096,Parliament's Education Service,,,1,FALSE
37362,International Affairs and Defence Section,IADS,,1,FALSE
61055,Parliament and Constitution Centre,PCC,"The Parliament and Constitution Centre covers topics including Parliament, central government, local government, devolution, elections, the courts and the constitution.",1,FALSE
42902,Library Resources Section,LRS,,1,FALSE
