id,name,updated_by,updated_at
1,Country,SysImport,2013-03-07 11:12:08.677
2,Country (non-UK),SysImport,2013-03-07 11:12:08.677
3,District: Northern Ireland,SysImport,2013-03-07 11:12:08.677
4,Former metropolitan county,SysImport,2013-03-07 11:12:08.677
5,London Borough,SysImport,2013-03-07 11:12:08.677
6,Metropolitan district,SysImport,2013-03-07 11:12:08.68
7,Other/Unknown,SysImport,2013-03-07 11:12:08.68
8,Region,SysImport,2013-03-07 11:12:08.68
9,Shire county: England,SysImport,2013-03-07 11:12:08.68
10,Shire district,SysImport,2013-03-07 11:12:08.68
11,Unitary authority: England,SysImport,2013-03-07 11:12:08.68
12,Unitary Authority: Scotland,SysImport,2013-03-07 11:12:08.68
13,Unitary Authority: Wales,SysImport,2013-03-07 11:12:08.68
