id,constituency_id,area_id,start_date,end_date,updated_by,updated_at
1,1,116,1918-12-14,1950-02-23,SysImport,2013-03-07 11:16:24.133
2,2,3,1950-02-23,1974-02-28,SysImport,2013-03-07 11:16:24.15
3,2,116,1950-02-23,1974-02-28,SysImport,2013-03-07 11:16:24.16
4,3,3,1974-02-28,1983-06-09,SysImport,2013-03-07 11:16:24.17
5,3,116,1974-02-28,1983-06-09,SysImport,2013-03-07 11:16:24.177
6,4,3,1983-06-09,1997-05-01,SysImport,2013-03-07 11:16:24.177
7,4,116,1983-06-09,1997-05-01,SysImport,2013-03-07 11:16:24.177
8,5,3,1997-05-01,2010-05-06,SysImport,2013-03-07 11:16:24.177
9,5,116,1997-05-01,2010-05-06,SysImport,2013-03-07 11:16:24.177
10,5,487,1900-01-01,,SysImport,2013-03-07 11:16:24.177
11,6,3,1950-02-23,1974-02-28,SysImport,2013-03-07 11:16:24.177
12,6,3,1950-02-23,1974-02-28,SysImport,2013-03-07 11:16:24.18
13,7,3,1974-02-28,1983-06-09,SysImport,2013-03-07 11:16:24.18
14,7,3,1974-02-28,1983-06-09,SysImport,2013-03-07 11:16:24.18
15,8,2,1997-05-01,2005-05-05,SysImport,2013-03-07 11:16:24.18
16,8,117,1997-05-01,2005-05-05,SysImport,2013-03-07 11:16:24.18
17,8,444,1900-01-01,,SysImport,2013-03-07 11:16:24.18
18,9,2,1918-12-14,1950-02-23,SysImport,2013-03-07 11:16:24.18
19,9,117,1918-12-14,1950-02-23,SysImport,2013-03-07 11:16:24.18
20,10,2,1950-02-23,1974-02-28,SysImport,2013-03-07 11:16:24.18
21,10,117,1950-02-23,1974-02-28,SysImport,2013-03-07 11:16:24.18
22,11,2,1974-02-28,1983-06-09,SysImport,2013-03-07 11:16:24.183
23,11,117,1974-02-28,1983-06-09,SysImport,2013-03-07 11:16:24.183
24,12,2,1983-06-09,1997-05-01,SysImport,2013-03-07 11:16:24.183
25,12,117,1983-06-09,1997-05-01,SysImport,2013-03-07 11:16:24.183
26,13,2,1997-05-01,2005-05-05,SysImport,2013-03-07 11:16:24.183
27,13,117,1997-05-01,2005-05-05,SysImport,2013-03-07 11:16:24.183
28,13,444,1900-01-01,,SysImport,2013-03-07 11:16:24.183
29,14,2,2005-04-05,,SysImport,2013-03-07 11:16:24.187
30,14,117,2005-04-05,,SysImport,2013-03-07 11:16:24.187
31,14,444,1900-01-01,,SysImport,2013-03-07 11:16:24.187
32,15,2,1918-12-14,1950-02-23,SysImport,2013-03-07 11:16:24.187
33,15,117,1918-12-14,1950-02-23,SysImport,2013-03-07 11:16:24.187
34,16,2,1950-02-23,1974-02-28,SysImport,2013-03-07 11:16:24.187
35,16,117,1950-02-23,1974-02-28,SysImport,2013-03-07 11:16:24.187
36,17,2,1974-02-28,1983-06-09,SysImport,2013-03-07 11:16:24.187
37,17,117,1974-02-28,1983-06-09,SysImport,2013-03-07 11:16:24.19
38,18,2,1983-06-09,1997-05-01,SysImport,2013-03-07 11:16:24.19
39,18,117,1983-06-09,1997-05-01,SysImport,2013-03-07 11:16:24.19
40,19,2,1997-05-01,2005-05-05,SysImport,2013-03-07 11:16:24.19
41,19,117,1997-05-01,2005-05-05,SysImport,2013-03-07 11:16:24.19
42,19,444,1900-01-01,,SysImport,2013-03-07 11:16:24.19
43,20,2,2005-04-05,,SysImport,2013-03-07 11:16:24.19
44,20,117,2005-04-05,,SysImport,2013-03-07 11:16:24.19
45,20,444,1900-01-01,,SysImport,2013-03-07 11:16:24.19
46,21,2,1918-12-14,1950-02-23,SysImport,2013-03-07 11:16:24.19
47,21,117,1918-12-14,1950-02-23,SysImport,2013-03-07 11:16:24.19
48,22,2,1918-12-14,1950-02-23,SysImport,2013-03-07 11:16:24.193
49,22,117,1918-12-14,1950-02-23,SysImport,2013-03-07 11:16:24.193
50,23,2,1918-12-14,1950-02-23,SysImport,2013-03-07 11:16:24.193
51,23,117,1918-12-14,1950-02-23,SysImport,2013-03-07 11:16:24.193
52,24,3,1918-12-14,1950-02-23,SysImport,2013-03-07 11:16:24.193
53,24,116,1918-12-14,1950-02-23,SysImport,2013-03-07 11:16:24.193
54,25,3,1950-02-23,1974-02-28,SysImport,2013-03-07 11:16:24.193
55,25,116,1950-02-23,1974-02-28,SysImport,2013-03-07 11:16:24.197
56,26,3,1974-02-28,1983-06-09,SysImport,2013-03-07 11:16:24.197
57,26,116,1974-02-28,1983-06-09,SysImport,2013-03-07 11:16:24.197
58,27,1,1918-12-14,1950-02-23,SysImport,2013-03-07 11:16:24.197
59,27,114,1918-12-14,1950-02-23,SysImport,2013-03-07 11:16:24.197
60,28,1,1950-02-23,1974-02-28,SysImport,2013-03-07 11:16:24.197
61,28,114,1950-02-23,1974-02-28,SysImport,2013-03-07 11:16:24.197
62,29,1,1974-02-28,1983-06-09,SysImport,2013-03-07 11:16:24.2
63,29,114,1974-02-28,1983-06-09,SysImport,2013-03-07 11:16:24.2
64,30,1,1918-12-14,1950-02-23,SysImport,2013-03-07 11:16:24.2
65,30,108,1918-12-14,1950-02-23,SysImport,2013-03-07 11:16:24.2
66,31,1,1950-02-23,1974-02-28,SysImport,2013-03-07 11:16:24.2
67,31,108,1950-02-23,1974-02-28,SysImport,2013-03-07 11:16:24.2
68,32,1,1974-02-28,1983-06-09,SysImport,2013-03-07 11:16:24.2
69,32,108,1974-02-28,1983-06-09,SysImport,2013-03-07 11:16:24.2
70,33,1,1918-12-14,1950-02-23,SysImport,2013-03-07 11:16:24.2
71,33,113,1918-12-14,1950-02-23,SysImport,2013-03-07 11:16:24.2
72,34,1,1950-02-23,1974-02-28,SysImport,2013-03-07 11:16:24.203
73,34,113,1950-02-23,1974-02-28,SysImport,2013-03-07 11:16:24.203
74,35,2,1997-05-01,2005-05-05,SysImport,2013-03-07 11:16:24.203
75,35,117,1997-05-01,2005-05-05,SysImport,2013-03-07 11:16:24.203
76,35,466,1900-01-01,,SysImport,2013-03-07 11:16:24.203
77,36,2,2005-04-05,,SysImport,2013-03-07 11:16:24.203
78,36,117,2005-04-05,,SysImport,2013-03-07 11:16:24.203
79,36,466,1900-01-01,,SysImport,2013-03-07 11:16:24.203
80,37,1,1918-12-14,1950-02-23,SysImport,2013-03-07 11:16:24.207
81,37,114,1918-12-14,1950-02-23,SysImport,2013-03-07 11:16:24.207
82,38,1,1950-02-23,1974-02-28,SysImport,2013-03-07 11:16:24.207
83,38,114,1950-02-23,1974-02-28,SysImport,2013-03-07 11:16:24.207
84,39,1,1974-02-28,1983-06-09,SysImport,2013-03-07 11:16:24.207
85,39,114,1974-02-28,1983-06-09,SysImport,2013-03-07 11:16:24.207
86,40,1,1983-06-09,1997-05-01,SysImport,2013-03-07 11:16:24.21
87,40,114,1983-06-09,1997-05-01,SysImport,2013-03-07 11:16:24.21
88,41,1,1997-05-01,2010-05-06,SysImport,2013-03-07 11:16:24.21
89,41,114,1997-05-01,2010-05-06,SysImport,2013-03-07 11:16:24.21
90,41,124,1997-05-01,2010-05-06,SysImport,2013-03-07 11:16:24.21
91,42,1,1974-02-28,1983-06-09,SysImport,2013-03-07 11:16:24.21
92,42,111,1974-02-28,1983-06-09,SysImport,2013-03-07 11:16:24.21
93,43,1,1983-06-09,1997-05-01,SysImport,2013-03-07 11:16:24.21
94,43,111,1983-06-09,1997-05-01,SysImport,2013-03-07 11:16:24.21
95,44,1,1997-05-01,2010-05-06,SysImport,2013-03-07 11:16:24.21
96,44,111,1997-05-01,2010-05-06,SysImport,2013-03-07 11:16:24.213
97,44,31,1997-05-01,2010-05-06,SysImport,2013-03-07 11:16:24.213
98,44,99,1900-01-01,,SysImport,2013-03-07 11:16:24.213
99,45,1,1918-12-14,1950-02-23,SysImport,2013-03-07 11:16:24.213
100,45,108,1918-12-14,1950-02-23,SysImport,2013-03-07 11:16:24.213
101,46,1,1918-12-14,1950-02-23,SysImport,2013-03-07 11:16:24.213
102,46,108,1918-12-14,1950-02-23,SysImport,2013-03-07 11:16:24.213
103,47,1,1950-02-23,1974-02-28,SysImport,2013-03-07 11:16:24.213
104,47,108,1950-02-23,1974-02-28,SysImport,2013-03-07 11:16:24.217
105,48,1,1974-02-28,1983-06-09,SysImport,2013-03-07 11:16:24.217
106,48,108,1974-02-28,1983-06-09,SysImport,2013-03-07 11:16:24.217
107,49,1,1983-06-09,1997-05-01,SysImport,2013-03-07 11:16:24.217
108,49,108,1983-06-09,1997-05-01,SysImport,2013-03-07 11:16:24.217
109,50,1,1997-05-01,2010-05-06,SysImport,2013-03-07 11:16:24.217
110,50,108,1997-05-01,2010-05-06,SysImport,2013-03-07 11:16:24.217
111,50,34,1997-05-01,2010-05-06,SysImport,2013-03-07 11:16:24.217
112,50,78,1900-01-01,,SysImport,2013-03-07 11:16:24.22
113,51,3,1983-06-09,1997-05-01,SysImport,2013-03-07 11:16:24.22
114,51,116,1983-06-09,1997-05-01,SysImport,2013-03-07 11:16:24.22
115,52,3,1997-05-01,2010-05-06,SysImport,2013-03-07 11:16:24.22
116,52,116,1997-05-01,2010-05-06,SysImport,2013-03-07 11:16:24.22
117,52,480,1900-01-01,,SysImport,2013-03-07 11:16:24.22
118,53,1,1983-06-09,1997-05-01,SysImport,2013-03-07 11:16:24.22
119,53,110,1983-06-09,1997-05-01,SysImport,2013-03-07 11:16:24.22
120,54,1,1997-05-01,2010-05-06,SysImport,2013-03-07 11:16:24.22
121,54,110,1997-05-01,2010-05-06,SysImport,2013-03-07 11:16:24.22
122,54,146,1997-05-01,2010-05-06,SysImport,2013-03-07 11:16:24.22
123,55,3,1918-12-14,1950-02-23,SysImport,2013-03-07 11:16:24.223
124,55,116,1918-12-14,1950-02-23,SysImport,2013-03-07 11:16:24.223
125,56,3,1950-02-23,1974-02-28,SysImport,2013-03-07 11:16:24.223
126,56,116,1950-02-23,1974-02-28,SysImport,2013-03-07 11:16:24.223
127,57,3,1974-02-28,1983-06-09,SysImport,2013-03-07 11:16:24.223
128,57,116,1974-02-28,1983-06-09,SysImport,2013-03-07 11:16:24.223
129,58,2,1997-05-01,2005-05-05,SysImport,2013-03-07 11:16:24.223
130,58,117,1997-05-01,2005-05-05,SysImport,2013-03-07 11:16:24.227
131,58,446,1900-01-01,,SysImport,2013-03-07 11:16:24.227
132,58,452,1900-01-01,,SysImport,2013-03-07 11:16:24.227
133,58,452,1900-01-01,,SysImport,2013-03-07 11:16:24.227
134,58,446,1900-01-01,,SysImport,2013-03-07 11:16:24.227
135,59,2,2005-04-05,,SysImport,2013-03-07 11:16:24.227
136,59,117,2005-04-05,,SysImport,2013-03-07 11:16:24.227
137,59,446,1900-01-01,,SysImport,2013-03-07 11:16:24.227
