id,name,notes,ons_area_id,area_type_id,updated_by,updated_at
1,England,,064,1,SysImport,2013-03-07 11:12:08.707
2,Scotland,,179,1,SysImport,2013-03-07 11:12:08.71
3,Wales,,220,1,SysImport,2013-03-07 11:12:08.71
4,Northern Ireland,,152,1,SysImport,2013-03-07 11:12:08.71
5,Derry,,95A,3,SysImport,2013-03-07 11:12:08.71
6,Limavady,,95B,3,SysImport,2013-03-07 11:12:08.71
7,Coleraine,,95C,3,SysImport,2013-03-07 11:12:08.71
8,Ballymoney,,95D,3,SysImport,2013-03-07 11:12:08.71
9,Moyle,,95E,3,SysImport,2013-03-07 11:12:08.71
10,Larne,,95F,3,SysImport,2013-03-07 11:12:08.71
11,Ballymena,,95G,3,SysImport,2013-03-07 11:12:08.71
12,Magherafelt,,95H,3,SysImport,2013-03-07 11:12:08.71
13,Cookstown,,95I,3,SysImport,2013-03-07 11:12:08.71
14,Strabane,,95J,3,SysImport,2013-03-07 11:12:08.71
15,Omagh,,95K,3,SysImport,2013-03-07 11:12:08.713
16,Fermanagh,,95L,3,SysImport,2013-03-07 11:12:08.713
17,Dungannon,,95M,3,SysImport,2013-03-07 11:12:08.713
18,Craigavon,,95N,3,SysImport,2013-03-07 11:12:08.713
19,Armagh,,95O,3,SysImport,2013-03-07 11:12:08.713
20,Newry and Mourne,,95P,3,SysImport,2013-03-07 11:12:08.713
21,Banbridge,,95Q,3,SysImport,2013-03-07 11:12:08.713
22,Down,,95R,3,SysImport,2013-03-07 11:12:08.713
23,Lisburn,,95S,3,SysImport,2013-03-07 11:12:08.713
24,Antrim,,95T,3,SysImport,2013-03-07 11:12:08.713
25,Newtownabbey,,95U,3,SysImport,2013-03-07 11:12:08.717
26,Carrickfergus,,95V,3,SysImport,2013-03-07 11:12:08.717
27,North Down,,95W,3,SysImport,2013-03-07 11:12:08.717
28,Ards,,95X,3,SysImport,2013-03-07 11:12:08.717
29,Castlereagh,,95Y,3,SysImport,2013-03-07 11:12:08.717
30,Belfast,,95Z,3,SysImport,2013-03-07 11:12:08.717
31,West Midlands (Former metropolitan county),Former metropolitan county,28,4,PARLIAMENT\hardacrej,2013-11-11 16:35:37.08
32,South Yorkshire,Former metropolitan county,36,4,SysImport,2013-03-07 11:12:08.717
33,West Yorkshire,Former metropolitan county,37,4,SysImport,2013-03-07 11:12:08.717
34,Greater Manchester,Former metropolitan county,39,4,SysImport,2013-03-07 11:12:08.717
35,Merseyside,Former metropolitan county,41,4,SysImport,2013-03-07 11:12:08.717
36,Tyne & Wear,Former metropolitan county,46,4,SysImport,2013-03-07 11:12:08.72
37,City of London,,00AA,5,SysImport,2013-03-07 11:12:08.72
