ec_id,link to ec page,name,,In MNIS,MNIS ID 1,MNIS Name 1,MNIS ID 2,MNIS Name 2,MNIS ID 3,MNIS Name 3,MNIS ID 4,MNIS Name 4
PP2533,PP2533,2015 Constitutionalists UK,GB,No,,,,,,,,
PP2115,PP2115,21st Century Democracy,GB,No,,,,,,,,
PP2119,PP2119,21st Century Democracy,NI,No,,,,,,,,
PP851,PP851,A Better Way to Govern,GB,No,,,,,,,,
PP893,PP893,A-Team Properties,GB,No,,,,,,,,
PP2720,PP2720,"Abolish Magna Carta, Reinstate Monarchy",GB,No,,,,,,,,
PP6673,PP6673,Abolish the Scottish Parliament Party,GB,No,,,,,,,,
PP6745,PP6745,Abolish the TV Licence Party,GB,No,,,,,,,,
PP2802,PP2802,Abolish The Welsh Assembly Party,GB,Yes,1008,Abolish the Welsh Assembly Party,,,,,,
PP2331,PP2331,ACC,GB,No,,,,,,,,
PP12578,PP12578,Action for Independence,GB,No,,,,,,,,
PP1887,PP1887,Action on Digital Addiction and Cyberstalking,GB,No,,,,,,,,
PP12509,PP12509,Active For Westhoughton,GB,No,,,,,,,,
PP6667,PP6667,Advance Together,GB,Yes,1015,Advance Together,,,,,,
PP3901,PP3901,Alba Independence Party,GB,No,,,,,,,,
PP12700,PP12700,Alba Party,GB,Yes,1034,Alba Party,,,,,,
PP6885,PP6885,All 4 Freedoms,GB,No,,,,,,,,
PP12579,PP12579,All For Unity,GB,No,,,,,,,,
PP2137,PP2137,All People's Party,GB,Yes,181,All People's Party,,,,,,
PP276,PP276,All Scotland Pensioners Party,GB,No,,,,,,,,
PP856,PP856,All The South Party,GB,Yes,59,ATSP,,,,,,
PP103,PP103,Alliance - Alliance Party of Northern Ireland,NI,Yes,1,Alliance,,,,,,
PP1952,PP1952,Alliance EPP (European People’s Party) UK,GB,No,,,,,,,,
PP10288,PP10288,Alliance for Democracy and Freedom,GB,No,,,,,,,,
PP5260,PP5260,Alliance for Europe,GB,No,,,,,,,,
PP67,PP67,Alliance For Green Socialism,GB,No,97,Green Soc,,,,,,
PP7997,PP7997,Alliance For Local Living (ALL),GB,No,,,,,,,,
PP2658,PP2658,Alliance for London,GB,No,,,,,,,,
PP766,PP766,Alliance for Workers' Liberty,GB,Yes,60,AWL,,,,,,
PP2051,PP2051,Alliance Party of Scotland,GB,No,,,,,,,,
PP7998,PP7998,Andover Alliance,GB,No,,,,,,,,
PP9225,PP9225,Andover Independents Party,GB,No,,,,,,,,
PP900,PP900,Angus Independents Representatives (AIR),GB,No,,,,,,,,
PP4041,PP4041,Animal Welfare Party,NI,Yes,220,Animal Welfare Party,,,,,,
PP616,PP616,Animal Welfare Party,GB,Yes,220,Animal Welfare Party,,,,,,
PP806,PP806,Anti-Political Political Party,GB,No,,,,,,,,
PP828,PP828,Anticapitalists - Workers Power,GB,Yes,165,WP (see note in MNIS tab),,,,,,
PP7968,PP7968,Aontú,NI,Yes,1025,Aontú,,,,,,
PP2719,PP2719,Apni Party,GB,Yes,196,Apni Party,,,,,,
PP6393,PP6393,Arts Party,GB,No,,,,,,,,
PP3902,PP3902,Ashfield Independents,GB,Yes,264,Ashfield Independents,,,,,,
PP625,PP625,Ashtead Independents,GB,No,,,,,,,,
PP2567,PP2567,Atomist,GB,No,,,,,,,,
PPm3958,PPm3958,Autarchic Party,GB,No,,,,,,,,
PP2824,PP2824,Baker Street: No Two Ways,GB,No,,,,,,,,
PP904,PP904,Ban Bankers Bonuses,GB,No,,,,,,,,
PP530,PP530,Barnsley Independent Group,GB,No,,,,,,,,
PP10225,PP10225,Basingstoke & Deane Independents,GB,No,,,,,,,,
PP855,PP855,Basingstoke Community Party,GB,No,,,,,,,,
PP800,PP800,Beavers Cranford Party,GB,No,,,,,,,,
PP764,PP764,Best of a Bad Bunch,GB,Yes,65,Best,,,,,,
PP2091,PP2091,Better Bedford,GB,No,,,,,,,,
